; Candidate 11536
; ADRP+ADD at VM 0xfffffff008f811b0 (fileoff 0x1f7d1b0): page=0x1fe4a2000 add_imm=0xcff

0xfffffff008f81130: 010080d2  mov	x1, #0
0xfffffff008f81134: f10309aa  mov	x17, x9
0xfffffff008f81138: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008f8113c: 11093fd7  blraa	x8, x17
0xfffffff008f81140: 18000014  b	#0xfffffff008f811a0
0xfffffff008f81144: a8f35e38  ldurb	w8, [x29, #-0x11]
0xfffffff008f81148: 08791f12  and	w8, w8, #0xfffffffe
0xfffffff008f8114c: a8f31e38  sturb	w8, [x29, #-0x11]
0xfffffff008f81150: 0801142a  orr	w8, w8, w20
0xfffffff008f81154: a8e31e38  sturb	w8, [x29, #-0x12]
0xfffffff008f81158: 700240f9  ldr	x16, [x19]
0xfffffff008f8115c: f10313aa  mov	x17, x19
0xfffffff008f81160: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f81164: 301ac1da  autda	x16, x17
0xfffffff008f81168: 11ad80d2  mov	x17, #0x568
0xfffffff008f8116c: 1002118b  add	x16, x16, x17
0xfffffff008f81170: 080240f9  ldr	x8, [x16]
0xfffffff008f81174: e90310aa  mov	x9, x16
0xfffffff008f81178: a24b00d1  sub	x2, x29, #0x12
0xfffffff008f8117c: e00313aa  mov	x0, x19
0xfffffff008f81180: 01008052  mov	w1, #0
0xfffffff008f81184: 23008052  mov	w3, #1
0xfffffff008f81188: f10309aa  mov	x17, x9
0xfffffff008f8118c: 5104fbf2  movk	x17, #0xd822, lsl #48
0xfffffff008f81190: 11093fd7  blraa	x8, x17
0xfffffff008f81194: 0c000014  b	#0xfffffff008f811c4
0xfffffff008f81198: 0025ffb0  adrp	x0, #0xfffffff007422000
0xfffffff008f8119c: 00c81f91  add	x0, x0, #0x7f2
0xfffffff008f811a0: 0825ffd0  adrp	x8, #0xfffffff007423000
0xfffffff008f811a4: 08ad3491  add	x8, x8, #0xd2b
0xfffffff008f811a8: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008f811ac: f40300f9  str	x20, [sp]
0xfffffff008f811b0: 0025ffd0  adrp	x0, #0xfffffff007423000
0xfffffff008f811b4: 00fc3391  add	x0, x0, #0xcff
0xfffffff008f811b8: 9a57cf97  bl	#0xfffffff008357020
0xfffffff008f811bc: 80578052  mov	w0, #0x2bc
0xfffffff008f811c0: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff008f811c4: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008f811c8: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008f811cc: ff030191  add	sp, sp, #0x40
0xfffffff008f811d0: ff0f5fd6  retab	
0xfffffff008f811d4: 7f2303d5  pacibsp	
0xfffffff008f811d8: ff4301d1  sub	sp, sp, #0x50
0xfffffff008f811dc: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff008f811e0: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff008f811e4: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff008f811e8: fd030191  add	x29, sp, #0x40
0xfffffff008f811ec: f50302aa  mov	x21, x2
0xfffffff008f811f0: f40301aa  mov	x20, x1
0xfffffff008f811f4: f30300aa  mov	x19, x0
0xfffffff008f811f8: ff7f0039  strb	wzr, [sp, #0x1f]
0xfffffff008f811fc: 100040f9  ldr	x16, [x0]
0xfffffff008f81200: f10300aa  mov	x17, x0
0xfffffff008f81204: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f81208: 301ac1da  autda	x16, x17
0xfffffff008f8120c: 11ae80d2  mov	x17, #0x570
0xfffffff008f81210: 1002118b  add	x16, x16, x17
0xfffffff008f81214: 080240f9  ldr	x8, [x16]
0xfffffff008f81218: e90310aa  mov	x9, x16
0xfffffff008f8121c: e27f0091  add	x2, sp, #0x1f
0xfffffff008f81220: 41008052  mov	w1, #2
0xfffffff008f81224: 23008052  mov	w3, #1
0xfffffff008f81228: f10309aa  mov	x17, x9
0xfffffff008f8122c: f12ce0f2  movk	x17, #0x167, lsl #48
