; Candidate 4902
; ADRP+ADD at VM 0xfffffff0087cc61c (fileoff 0x17c861c): page=0x1fea1d000 add_imm=0xe80

0xfffffff0087cc59c: f40300aa  mov	x20, x0
0xfffffff0087cc5a0: 039f0394  bl	#0xfffffff0088b41ac
0xfffffff0087cc5a4: f30300aa  mov	x19, x0
0xfffffff0087cc5a8: 80008052  mov	w0, #4
0xfffffff0087cc5ac: a9bc0294  bl	#0xfffffff00887b850
0xfffffff0087cc5b0: d4380034  cbz	w20, #0xfffffff0087cccc8
0xfffffff0087cc5b4: 2852ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087cc5b8: 08350c91  add	x8, x8, #0x30d
0xfffffff0087cc5bc: 89c98052  mov	w9, #0x64c
0xfffffff0087cc5c0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087cc5c4: 0852fff0  adrp	x8, #0xfffffff00720f000
0xfffffff0087cc5c8: 08b52091  add	x8, x8, #0x82d
0xfffffff0087cc5cc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087cc5d0: 68008052  mov	w8, #3
0xfffffff0087cc5d4: f32300a9  stp	x19, x8, [sp]
0xfffffff0087cc5d8: 2052ff90  adrp	x0, #0xfffffff007210000
0xfffffff0087cc5dc: 00140b91  add	x0, x0, #0x2c5
0xfffffff0087cc5e0: 10020014  b	#0xfffffff0087cce20
0xfffffff0087cc5e4: f29e0394  bl	#0xfffffff0088b41ac
0xfffffff0087cc5e8: f30300aa  mov	x19, x0
0xfffffff0087cc5ec: 80008052  mov	w0, #4
0xfffffff0087cc5f0: 98bc0294  bl	#0xfffffff00887b850
0xfffffff0087cc5f4: 0852fff0  adrp	x8, #0xfffffff00720f000
0xfffffff0087cc5f8: 08012e91  add	x8, x8, #0xb80
0xfffffff0087cc5fc: a99e8052  mov	w9, #0x4f5
0xfffffff0087cc600: e8d702a9  stp	x8, x21, [sp, #0x28]
0xfffffff0087cc604: 0852fff0  adrp	x8, #0xfffffff00720f000
0xfffffff0087cc608: 08b52091  add	x8, x8, #0x82d
0xfffffff0087cc60c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087cc610: 68008052  mov	w8, #3
0xfffffff0087cc614: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087cc618: f30300f9  str	x19, [sp]
0xfffffff0087cc61c: e050ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087cc620: 00003a91  add	x0, x0, #0xe80
0xfffffff0087cc624: e191ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087cc628: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087cc62c: 6353ffb0  adrp	x3, #0xfffffff007239000
0xfffffff0087cc630: 63980691  add	x3, x3, #0x1a6
0xfffffff0087cc634: 02008052  mov	w2, #0
0xfffffff0087cc638: be9aed97  bl	#0xfffffff008333130
0xfffffff0087cc63c: 5afeff17  b	#0xfffffff0087cbfa4
0xfffffff0087cc640: db9e0394  bl	#0xfffffff0088b41ac
0xfffffff0087cc644: f30300aa  mov	x19, x0
0xfffffff0087cc648: 80008052  mov	w0, #4
0xfffffff0087cc64c: 81bc0294  bl	#0xfffffff00887b850
0xfffffff0087cc650: 2852ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087cc654: 08b90a91  add	x8, x8, #0x2ae
0xfffffff0087cc658: 69c98052  mov	w9, #0x64b
0xfffffff0087cc65c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087cc660: 0852fff0  adrp	x8, #0xfffffff00720f000
0xfffffff0087cc664: 08b52091  add	x8, x8, #0x82d
0xfffffff0087cc668: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087cc66c: 68008052  mov	w8, #3
0xfffffff0087cc670: f32300a9  stp	x19, x8, [sp]
0xfffffff0087cc674: e050ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087cc678: 00003a91  add	x0, x0, #0xe80
0xfffffff0087cc67c: e191ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087cc680: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087cc684: 6353ffb0  adrp	x3, #0xfffffff007239000
0xfffffff0087cc688: 63102991  add	x3, x3, #0xa44
0xfffffff0087cc68c: 02008052  mov	w2, #0
0xfffffff0087cc690: a89aed97  bl	#0xfffffff008333130
0xfffffff0087cc694: e4010014  b	#0xfffffff0087cce24
0xfffffff0087cc698: c59e0394  bl	#0xfffffff0088b41ac
