; Candidate 831
; ADRP+ADD at VM 0xfffffff0080d6dc0 (fileoff 0x10d2dc0): page=0x1ff8a2000 add_imm=0xdb0

0xfffffff0080d6d40: 894a40f9  ldr	x9, [x20, #0x90]
0xfffffff0080d6d44: 090109cb  sub	x9, x8, x9
0xfffffff0080d6d48: 3f0100f1  cmp	x9, #0
0xfffffff0080d6d4c: 6c000054  b.gt	#0xfffffff0080d6d58
0xfffffff0080d6d50: 886a40f9  ldr	x8, [x20, #0xd0]
0xfffffff0080d6d54: a80b00b4  cbz	x8, #0xfffffff0080d6ec8
0xfffffff0080d6d58: 480f40f9  ldr	x8, [x26, #0x18]
0xfffffff0080d6d5c: 080940f9  ldr	x8, [x8, #0x10]
0xfffffff0080d6d60: 080140b9  ldr	w8, [x8]
0xfffffff0080d6d64: 1f9d0071  cmp	w8, #0x27
0xfffffff0080d6d68: 41440054  b.ne	#0xfffffff0080d75f0
0xfffffff0080d6d6c: 480b40f9  ldr	x8, [x26, #0x10]
0xfffffff0080d6d70: 081540f9  ldr	x8, [x8, #0x28]
0xfffffff0080d6d74: 170540f9  ldr	x23, [x8, #8]
0xfffffff0080d6d78: 984f40f9  ldr	x24, [x28, #0x98]
0xfffffff0080d6d7c: e84a40f9  ldr	x8, [x23, #0x90]
0xfffffff0080d6d80: 1f0308eb  cmp	x24, x8
0xfffffff0080d6d84: e0010054  b.eq	#0xfffffff0080d6dc0
0xfffffff0080d6d88: 486f40b9  ldr	w8, [x26, #0x6c]
0xfffffff0080d6d8c: 097d0a53  lsr	w9, w8, #0xa
0xfffffff0080d6d90: 1f654071  cmp	w8, #0x19, lsl #12
0xfffffff0080d6d94: 880c8052  mov	w8, #0x64
0xfffffff0080d6d98: 0831891a  csel	w8, w8, w9, lo
0xfffffff0080d6d9c: c90601b0  adrp	x9, #0xfffffff00a1af000
0xfffffff0080d6da0: 290147b9  ldr	w9, [x9, #0x700]
0xfffffff0080d6da4: 297d0a53  lsr	w9, w9, #0xa
0xfffffff0080d6da8: 1f01096b  cmp	w8, w9
0xfffffff0080d6dac: 0831891a  csel	w8, w8, w9, lo
0xfffffff0080d6db0: e9da40b9  ldr	w9, [x23, #0xd8]
0xfffffff0080d6db4: 29050011  add	w9, w9, #1
0xfffffff0080d6db8: 3f01086b  cmp	w9, w8
0xfffffff0080d6dbc: 22070054  b.hs	#0xfffffff0080d6ea0
0xfffffff0080d6dc0: 00c5ffd0  adrp	x0, #0xfffffff007978000
0xfffffff0080d6dc4: 00c03691  add	x0, x0, #0xdb0
0xfffffff0080d6dc8: 01009052  mov	w1, #0x8000
0xfffffff0080d6dcc: 4240f397  bl	#0xfffffff007da6ed4
0xfffffff0080d6dd0: f90300aa  mov	x25, x0
0xfffffff0080d6dd4: e8da40b9  ldr	w8, [x23, #0xd8]
0xfffffff0080d6dd8: 08050011  add	w8, w8, #1
0xfffffff0080d6ddc: e8da00b9  str	w8, [x23, #0xd8]
0xfffffff0080d6de0: 28008052  mov	w8, #1
0xfffffff0080d6de4: 690901f0  adrp	x9, #0xfffffff00a205000
0xfffffff0080d6de8: 29312391  add	x9, x9, #0x8cc
0xfffffff0080d6dec: 280128b8  ldadd	w8, w8, [x9]
0xfffffff0080d6df0: f30317aa  mov	x19, x23
0xfffffff0080d6df4: 7a0e4df8  ldr	x26, [x19, #0xd0]!
0xfffffff0080d6df8: 7a0400b4  cbz	x26, #0xfffffff0080d6e84
0xfffffff0080d6dfc: 481340f9  ldr	x8, [x26, #0x20]
0xfffffff0080d6e00: 084d40f9  ldr	x8, [x8, #0x98]
0xfffffff0080d6e04: 090118cb  sub	x9, x8, x24
0xfffffff0080d6e08: 3f0100f1  cmp	x9, #0
0xfffffff0080d6e0c: e92700f9  str	x9, [sp, #0x48]
0xfffffff0080d6e10: ed000054  b.le	#0xfffffff0080d6e2c
0xfffffff0080d6e14: 160080d2  mov	x22, #0
0xfffffff0080d6e18: 690901f0  adrp	x9, #0xfffffff00a205000
0xfffffff0080d6e1c: 280d4bb9  ldr	w8, [x9, #0xb0c]
0xfffffff0080d6e20: 08050011  add	w8, w8, #1
0xfffffff0080d6e24: 280d0bb9  str	w8, [x9, #0xb0c]
0xfffffff0080d6e28: 72000014  b	#0xfffffff0080d6ff0
0xfffffff0080d6e2c: f6031aaa  mov	x22, x26
0xfffffff0080d6e30: 5a0340f9  ldr	x26, [x26]
0xfffffff0080d6e34: da0a00b4  cbz	x26, #0xfffffff0080d6f8c
0xfffffff0080d6e38: 481340f9  ldr	x8, [x26, #0x20]
0xfffffff0080d6e3c: 084d40f9  ldr	x8, [x8, #0x98]
