; Candidate 9444
; ADRP+ADD at VM 0xfffffff008a4d56c (fileoff 0x1a4956c): page=0x1fe858000 add_imm=0xce7

0xfffffff008a4d4ec: b9ffff17  b	#0xfffffff008a4d3d0
0xfffffff008a4d4f0: c042ffb0  adrp	x0, #0xfffffff0072a6000
0xfffffff008a4d4f4: 00e80791  add	x0, x0, #0x1fa
0xfffffff008a4d4f8: fc040094  bl	#0xfffffff008a4e8e8
0xfffffff008a4d4fc: c042ffb0  adrp	x0, #0xfffffff0072a6000
0xfffffff008a4d500: 00b00991  add	x0, x0, #0x26c
0xfffffff008a4d504: f9040094  bl	#0xfffffff008a4e8e8
0xfffffff008a4d508: f50313aa  mov	x21, x19
0xfffffff008a4d50c: 35b4f9f2  movk	x21, #0xcda1, lsl #48
0xfffffff008a4d510: 94158052  mov	w20, #0xac
0xfffffff008a4d514: d842ff90  adrp	x24, #0xfffffff0072a5000
0xfffffff008a4d518: 18533291  add	x24, x24, #0xc94
0xfffffff008a4d51c: f8d301a9  stp	x24, x20, [sp, #0x18]
0xfffffff008a4d520: d942ff90  adrp	x25, #0xfffffff0072a5000
0xfffffff008a4d524: 394f3291  add	x25, x25, #0xc93
0xfffffff008a4d528: d642ff90  adrp	x22, #0xfffffff0072a5000
0xfffffff008a4d52c: d6ba3891  add	x22, x22, #0xe2e
0xfffffff008a4d530: f6e700a9  stp	x22, x25, [sp, #8]
0xfffffff008a4d534: d742ff90  adrp	x23, #0xfffffff0072a5000
0xfffffff008a4d538: f7563191  add	x23, x23, #0xc55
0xfffffff008a4d53c: f70300f9  str	x23, [sp]
0xfffffff008a4d540: a042fff0  adrp	x0, #0xfffffff0072a4000
0xfffffff008a4d544: 00402e91  add	x0, x0, #0xb90
0xfffffff008a4d548: 6180fff0  adrp	x1, #0xfffffff007a5c000
0xfffffff008a4d54c: 215847f9  ldr	x1, [x1, #0xeb0]
0xfffffff008a4d550: c342fff0  adrp	x3, #0xfffffff0072a8000
0xfffffff008a4d554: 63e82e91  add	x3, x3, #0xbba
0xfffffff008a4d558: 02028052  mov	w2, #0x10
0xfffffff008a4d55c: f596e397  bl	#0xfffffff008333130
0xfffffff008a4d560: f8d301a9  stp	x24, x20, [sp, #0x18]
0xfffffff008a4d564: f6e700a9  stp	x22, x25, [sp, #8]
0xfffffff008a4d568: f70300f9  str	x23, [sp]
0xfffffff008a4d56c: c042ff90  adrp	x0, #0xfffffff0072a5000
0xfffffff008a4d570: 009c3391  add	x0, x0, #0xce7
0xfffffff008a4d574: ab26e497  bl	#0xfffffff008357020
0xfffffff008a4d578: c1ffff17  b	#0xfffffff008a4d47c
0xfffffff008a4d57c: 7f2303d5  pacibsp	
0xfffffff008a4d580: ffc301d1  sub	sp, sp, #0x70
0xfffffff008a4d584: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff008a4d588: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff008a4d58c: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff008a4d590: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff008a4d594: fd830191  add	x29, sp, #0x60
0xfffffff008a4d598: a10900b4  cbz	x1, #0xfffffff008a4d6cc
0xfffffff008a4d59c: f30300aa  mov	x19, x0
0xfffffff008a4d5a0: 000c00b4  cbz	x0, #0xfffffff008a4d720
0xfffffff008a4d5a4: f40301aa  mov	x20, x1
0xfffffff008a4d5a8: 88c400d0  adrp	x8, #0xfffffff00a2df000
0xfffffff008a4d5ac: 01fd40f9  ldr	x1, [x8, #0x1f8]
0xfffffff008a4d5b0: 900240f9  ldr	x16, [x20]
0xfffffff008a4d5b4: f10314aa  mov	x17, x20
0xfffffff008a4d5b8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a4d5bc: 301ac1da  autda	x16, x17
0xfffffff008a4d5c0: 112780d2  mov	x17, #0x138
0xfffffff008a4d5c4: 1002118b  add	x16, x16, x17
0xfffffff008a4d5c8: 080240f9  ldr	x8, [x16]
0xfffffff008a4d5cc: e90310aa  mov	x9, x16
0xfffffff008a4d5d0: e00314aa  mov	x0, x20
0xfffffff008a4d5d4: f10309aa  mov	x17, x9
0xfffffff008a4d5d8: 71c7e5f2  movk	x17, #0x2e3b, lsl #48
0xfffffff008a4d5dc: 11093fd7  blraa	x8, x17
0xfffffff008a4d5e0: 6880fff0  adrp	x8, #0xfffffff007a5c000
0xfffffff008a4d5e4: 083147f9  ldr	x8, [x8, #0xe60]
0xfffffff008a4d5e8: 160140f9  ldr	x22, [x8]
