; Candidate 2685
; ADRP+ADD at VM 0xfffffff0086dee2c (fileoff 0x16dae2c): page=0x1fea53000 add_imm=0xd90

0xfffffff0086dedac: 4a050011  add	w10, w10, #1
0xfffffff0086dedb0: 4a791f12  and	w10, w10, #0xfffffffe
0xfffffff0086dedb4: 4b1d0011  add	w11, w10, #7
0xfffffff0086dedb8: 6b711d12  and	w11, w11, #0xfffffff8
0xfffffff0086dedbc: 3f050071  cmp	w9, #1
0xfffffff0086dedc0: 49018b1a  csel	w9, w10, w11, eq
0xfffffff0086dedc4: 3f210071  cmp	w9, #8
0xfffffff0086dedc8: 88020054  b.hi	#0xfffffff0086dee18
0xfffffff0086dedcc: e80300aa  mov	x8, x0
0xfffffff0086dedd0: f00309aa  mov	x16, x9
0xfffffff0086dedd4: 1f2200f1  cmp	x16, #8
0xfffffff0086dedd8: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff0086deddc: 11000090  adrp	x17, #0xfffffff0086de000
0xfffffff0086dede0: 31b23c91  add	x17, x17, #0xf2c
0xfffffff0086dede4: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff0086dede8: 11000010  adr	x17, #0xfffffff0086dede8
0xfffffff0086dedec: 3002108b  add	x16, x17, x16
0xfffffff0086dedf0: 00021fd6  br	x16
0xfffffff0086dedf4: 9f2403d5  bti	j
0xfffffff0086dedf8: 00008052  mov	w0, #0
0xfffffff0086dedfc: 29fc0011  add	w9, w1, #0x3f
0xfffffff0086dee00: 29651a12  and	w9, w9, #0xffffffc0
0xfffffff0086dee04: 09f12eb9  str	w9, [x8, #0x2ef0]
0xfffffff0086dee08: 29781f53  lsl	w9, w1, #1
0xfffffff0086dee0c: 41000014  b	#0xfffffff0086def10
0xfffffff0086dee10: 00008052  mov	w0, #0
0xfffffff0086dee14: 43000014  b	#0xfffffff0086def20
0xfffffff0086dee18: 9f2403d5  bti	j
0xfffffff0086dee1c: 28210011  add	w8, w9, #8
0xfffffff0086dee20: 8953ffb0  adrp	x9, #0xfffffff00714f000
0xfffffff0086dee24: 29351b91  add	x9, x9, #0x6cd
0xfffffff0086dee28: e92300a9  stp	x9, x8, [sp]
0xfffffff0086dee2c: 8052fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086dee30: 00403691  add	x0, x0, #0xd90
0xfffffff0086dee34: e198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086dee38: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086dee3c: a352ffb0  adrp	x3, #0xfffffff007133000
0xfffffff0086dee40: 630c1a91  add	x3, x3, #0x683
0xfffffff0086dee44: 02008052  mov	w2, #0
0xfffffff0086dee48: ba50f197  bl	#0xfffffff008333130
0xfffffff0086dee4c: 00008012  mov	w0, #-1
0xfffffff0086dee50: 34000014  b	#0xfffffff0086def20
0xfffffff0086dee54: 9f2403d5  bti	j
0xfffffff0086dee58: 00008052  mov	w0, #0
0xfffffff0086dee5c: 29080011  add	w9, w1, #2
0xfffffff0086dee60: 6a559552  mov	w10, #0xaaab
0xfffffff0086dee64: 4a55b572  movk	w10, #0xaaaa, lsl #16
0xfffffff0086dee68: 297daa9b  umull	x9, w9, w10
0xfffffff0086dee6c: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff0086dee70: 29791f53  lsl	w9, w9, #1
0xfffffff0086dee74: 29751e12  and	w9, w9, #0xfffffffc
0xfffffff0086dee78: 29fd0011  add	w9, w9, #0x3f
0xfffffff0086dee7c: 29651a12  and	w9, w9, #0xffffffc0
0xfffffff0086dee80: 09f12eb9  str	w9, [x8, #0x2ef0]
0xfffffff0086dee84: 29781f53  lsl	w9, w1, #1
0xfffffff0086dee88: 2909c41a  udiv	w9, w9, w4
0xfffffff0086dee8c: 29150011  add	w9, w9, #5
0xfffffff0086dee90: 297daa9b  umull	x9, w9, w10
0xfffffff0086dee94: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff0086dee98: 29791f53  lsl	w9, w9, #1
0xfffffff0086dee9c: 29711d12  and	w9, w9, #0xfffffff8
0xfffffff0086deea0: 1d000014  b	#0xfffffff0086def14
0xfffffff0086deea4: 9f2403d5  bti	j
0xfffffff0086deea8: 00008052  mov	w0, #0
