; Candidate 7843
; ADRP+ADD at VM 0xfffffff008882a10 (fileoff 0x187ea10): page=0x1fe967000 add_imm=0xe80

0xfffffff008882990: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff008882994: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff008882998: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff00888299c: 484dfff0  adrp	x8, #0xfffffff00722d000
0xfffffff0088829a0: 097d0291  add	x9, x8, #0x9f
0xfffffff0088829a4: 484dfff0  adrp	x8, #0xfffffff00722d000
0xfffffff0088829a8: 08fd0891  add	x8, x8, #0x23f
0xfffffff0088829ac: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088829b0: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088829b4: 880b8052  mov	w8, #0x5c
0xfffffff0088829b8: 404dfff0  adrp	x0, #0xfffffff00722d000
0xfffffff0088829bc: 00dc0091  add	x0, x0, #0x37
0xfffffff0088829c0: f62300a9  stp	x22, x8, [sp]
0xfffffff0088829c4: a7d2d497  bl	#0xfffffff007db7460
0xfffffff0088829c8: 1a000014  b	#0xfffffff008882a30
0xfffffff0088829cc: f8c50094  bl	#0xfffffff0088b41ac
0xfffffff0088829d0: f60300aa  mov	x22, x0
0xfffffff0088829d4: 00018052  mov	w0, #8
0xfffffff0088829d8: 9ee3ff97  bl	#0xfffffff00887b850
0xfffffff0088829dc: e80315aa  mov	x8, x21
0xfffffff0088829e0: 691a40b9  ldr	w9, [x19, #0x18]
0xfffffff0088829e4: e82300f9  str	x8, [sp, #0x40]
0xfffffff0088829e8: e80314aa  mov	x8, x20
0xfffffff0088829ec: e92303a9  stp	x9, x8, [sp, #0x30]
0xfffffff0088829f0: 484dfff0  adrp	x8, #0xfffffff00722d000
0xfffffff0088829f4: 087d0291  add	x8, x8, #0x9f
0xfffffff0088829f8: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088829fc: 484dfff0  adrp	x8, #0xfffffff00722d000
0xfffffff008882a00: 08fd0891  add	x8, x8, #0x23f
0xfffffff008882a04: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008882a08: 880b8052  mov	w8, #0x5c
0xfffffff008882a0c: f62300a9  stp	x22, x8, [sp]
0xfffffff008882a10: 204bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008882a14: 00003a91  add	x0, x0, #0xe80
0xfffffff008882a18: 218cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008882a1c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008882a20: c34effb0  adrp	x3, #0xfffffff00725b000
0xfffffff008882a24: 63183a91  add	x3, x3, #0xe86
0xfffffff008882a28: 02008052  mov	w2, #0
0xfffffff008882a2c: c1c1ea97  bl	#0xfffffff008333130
0xfffffff008882a30: 080080d2  mov	x8, #0
0xfffffff008882a34: 8926c81a  lsr	w9, w20, w8
0xfffffff008882a38: a9000036  tbz	w9, #0, #0xfffffff008882a4c
0xfffffff008882a3c: 690a088b  add	x9, x19, x8, lsl #2
0xfffffff008882a40: 293140b9  ldr	w9, [x9, #0x30]
0xfffffff008882a44: 3f01156b  cmp	w9, w21
0xfffffff008882a48: cc000054  b.gt	#0xfffffff008882a60
0xfffffff008882a4c: 08050091  add	x8, x8, #1
0xfffffff008882a50: 1f2d00f1  cmp	x8, #0xb
0xfffffff008882a54: 01ffff54  b.ne	#0xfffffff008882a34
0xfffffff008882a58: 16008052  mov	w22, #0
0xfffffff008882a5c: 02000014  b	#0xfffffff008882a64
0xfffffff008882a60: 167e8012  mov	w22, #-0x3f1
0xfffffff008882a64: 800b8052  mov	w0, #0x5c
0xfffffff008882a68: 01018052  mov	w1, #8
0xfffffff008882a6c: 59e3ff97  bl	#0xfffffff00887b7d0
0xfffffff008882a70: 00060034  cbz	w0, #0xfffffff008882b30
0xfffffff008882a74: 800b8052  mov	w0, #0x5c
0xfffffff008882a78: 68e3ff97  bl	#0xfffffff00887b818
0xfffffff008882a7c: f80300aa  mov	x24, x0
0xfffffff008882a80: cbc50094  bl	#0xfffffff0088b41ac
0xfffffff008882a84: f70300aa  mov	x23, x0
0xfffffff008882a88: 00018052  mov	w0, #8
0xfffffff008882a8c: 71e3ff97  bl	#0xfffffff00887b850
