; Candidate 6427
; ADRP+ADD at VM 0xfffffff00882aa2c (fileoff 0x1826a2c): page=0x1fe9bf000 add_imm=0xe80

0xfffffff00882a9ac: b70a0034  cbz	w23, #0xfffffff00882ab00
0xfffffff00882a9b0: c84fff90  adrp	x8, #0xfffffff007222000
0xfffffff00882a9b4: 08cd0291  add	x8, x8, #0xb3
0xfffffff00882a9b8: 69198052  mov	w9, #0xcb
0xfffffff00882a9bc: e8d702a9  stp	x8, x21, [sp, #0x28]
0xfffffff00882a9c0: c84fff90  adrp	x8, #0xfffffff007222000
0xfffffff00882a9c4: 08c50191  add	x8, x8, #0x71
0xfffffff00882a9c8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00882a9cc: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00882a9d0: a80a8052  mov	w8, #0x55
0xfffffff00882a9d4: c04fff90  adrp	x0, #0xfffffff007222000
0xfffffff00882a9d8: 00e80191  add	x0, x0, #0x7a
0xfffffff00882a9dc: f62300a9  stp	x22, x8, [sp]
0xfffffff00882a9e0: a032d697  bl	#0xfffffff007db7460
0xfffffff00882a9e4: 160080d2  mov	x22, #0
0xfffffff00882a9e8: 740600b5  cbnz	x20, #0xfffffff00882aab4
0xfffffff00882a9ec: 33000014  b	#0xfffffff00882aab8
0xfffffff00882a9f0: ef250294  bl	#0xfffffff0088b41ac
0xfffffff00882a9f4: f70300aa  mov	x23, x0
0xfffffff00882a9f8: c0008052  mov	w0, #6
0xfffffff00882a9fc: 95430194  bl	#0xfffffff00887b850
0xfffffff00882aa00: e80315aa  mov	x8, x21
0xfffffff00882aa04: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff00882aa08: 081a8052  mov	w8, #0xd0
0xfffffff00882aa0c: c94fff90  adrp	x9, #0xfffffff007222000
0xfffffff00882aa10: 29c50191  add	x9, x9, #0x71
0xfffffff00882aa14: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00882aa18: c84fff90  adrp	x8, #0xfffffff007222000
0xfffffff00882aa1c: 081d0d91  add	x8, x8, #0x347
0xfffffff00882aa20: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00882aa24: a80a8052  mov	w8, #0x55
0xfffffff00882aa28: f72300a9  stp	x23, x8, [sp]
0xfffffff00882aa2c: e04dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00882aa30: 00003a91  add	x0, x0, #0xe80
0xfffffff00882aa34: e18effd0  adrp	x1, #0xfffffff007a08000
0xfffffff00882aa38: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00882aa3c: 0351ffd0  adrp	x3, #0xfffffff00724c000
0xfffffff00882aa40: 63200b91  add	x3, x3, #0x2c8
0xfffffff00882aa44: 02008052  mov	w2, #0
0xfffffff00882aa48: ba21ec97  bl	#0xfffffff008333130
0xfffffff00882aa4c: 540300b5  cbnz	x20, #0xfffffff00882aab4
0xfffffff00882aa50: 1a000014  b	#0xfffffff00882aab8
0xfffffff00882aa54: d6250294  bl	#0xfffffff0088b41ac
0xfffffff00882aa58: f50300aa  mov	x21, x0
0xfffffff00882aa5c: 80008052  mov	w0, #4
0xfffffff00882aa60: 7c430194  bl	#0xfffffff00887b850
0xfffffff00882aa64: a84ffff0  adrp	x8, #0xfffffff007221000
0xfffffff00882aa68: 083d0391  add	x8, x8, #0xcf
0xfffffff00882aa6c: e9188052  mov	w9, #0xc7
0xfffffff00882aa70: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00882aa74: c84fff90  adrp	x8, #0xfffffff007222000
0xfffffff00882aa78: 08c50191  add	x8, x8, #0x71
0xfffffff00882aa7c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00882aa80: a80a8052  mov	w8, #0x55
0xfffffff00882aa84: f52300a9  stp	x21, x8, [sp]
0xfffffff00882aa88: e04dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00882aa8c: 00003a91  add	x0, x0, #0xe80
0xfffffff00882aa90: e18effd0  adrp	x1, #0xfffffff007a08000
0xfffffff00882aa94: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00882aa98: 0351ffd0  adrp	x3, #0xfffffff00724c000
0xfffffff00882aa9c: 63740991  add	x3, x3, #0x25d
0xfffffff00882aaa0: 02008052  mov	w2, #0
0xfffffff00882aaa4: a321ec97  bl	#0xfffffff008333130
0xfffffff00882aaa8: 160080d2  mov	x22, #0
