; Candidate 11075
; ADRP+ADD at VM 0xfffffff008e4cab4 (fileoff 0x1e48ab4): page=0x1fe588000 add_imm=0xcec

0xfffffff008e4ca34: fa6703a9  stp	x26, x25, [sp, #0x30]
0xfffffff008e4ca38: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff008e4ca3c: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff008e4ca40: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff008e4ca44: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff008e4ca48: fdc30191  add	x29, sp, #0x70
0xfffffff008e4ca4c: 280040b9  ldr	w8, [x1]
0xfffffff008e4ca50: 1f090071  cmp	w8, #2
0xfffffff008e4ca54: e1030054  b.ne	#0xfffffff008e4cad0
0xfffffff008e4ca58: f50302aa  mov	x21, x2
0xfffffff008e4ca5c: f70300aa  mov	x23, x0
0xfffffff008e4ca60: 08e45db9  ldr	w8, [x0, #0x1de4]
0xfffffff008e4ca64: 1f01026b  cmp	w8, w2
0xfffffff008e4ca68: 49040054  b.ls	#0xfffffff008e4caf0
0xfffffff008e4ca6c: f40303aa  mov	x20, x3
0xfffffff008e4ca70: e8fe5db9  ldr	w8, [x23, #0x1dfc]
0xfffffff008e4ca74: 1f01036b  cmp	w8, w3
0xfffffff008e4ca78: e9040054  b.ls	#0xfffffff008e4cb14
0xfffffff008e4ca7c: f30304aa  mov	x19, x4
0xfffffff008e4ca80: e8425eb9  ldr	w8, [x23, #0x1e40]
0xfffffff008e4ca84: 1f01046b  cmp	w8, w4
0xfffffff008e4ca88: 89050054  b.ls	#0xfffffff008e4cb38
0xfffffff008e4ca8c: 08b88352  mov	w8, #0x1dc0
0xfffffff008e4ca90: fa02088b  add	x26, x23, x8
0xfffffff008e4ca94: 489b68b9  ldr	w8, [x26, #0x2898]
0xfffffff008e4ca98: 1f010a71  cmp	w8, #0x280
0xfffffff008e4ca9c: 23070054  b.lo	#0xfffffff008e4cb80
0xfffffff008e4caa0: 09508052  mov	w9, #0x280
0xfffffff008e4caa4: 4a2cff90  adrp	x10, #0xfffffff0073d4000
0xfffffff008e4caa8: 4ac53191  add	x10, x10, #0xc71
0xfffffff008e4caac: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008e4cab0: ea0300f9  str	x10, [sp]
0xfffffff008e4cab4: 402cff90  adrp	x0, #0xfffffff0073d4000
0xfffffff008e4cab8: 00b03391  add	x0, x0, #0xcec
0xfffffff008e4cabc: 5929d497  bl	#0xfffffff008357020
0xfffffff008e4cac0: 48588052  mov	w8, #0x2c2
0xfffffff008e4cac4: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff008e4cac8: 16110051  sub	w22, w8, #4
0xfffffff008e4cacc: 24000014  b	#0xfffffff008e4cb5c
0xfffffff008e4cad0: 56588052  mov	w22, #0x2c2
0xfffffff008e4cad4: 1600bc72  movk	w22, #0xe000, lsl #16
0xfffffff008e4cad8: 492cff90  adrp	x9, #0xfffffff0073d4000
0xfffffff008e4cadc: 29c53191  add	x9, x9, #0xc71
0xfffffff008e4cae0: e92300a9  stp	x9, x8, [sp]
0xfffffff008e4cae4: 402cff90  adrp	x0, #0xfffffff0073d4000
0xfffffff008e4cae8: 00f82991  add	x0, x0, #0xa7e
0xfffffff008e4caec: 1b000014  b	#0xfffffff008e4cb58
0xfffffff008e4caf0: 56588052  mov	w22, #0x2c2
0xfffffff008e4caf4: 1600bc72  movk	w22, #0xe000, lsl #16
0xfffffff008e4caf8: 492cff90  adrp	x9, #0xfffffff0073d4000
0xfffffff008e4cafc: 29c53191  add	x9, x9, #0xc71
0xfffffff008e4cb00: f5a300a9  stp	x21, x8, [sp, #8]
0xfffffff008e4cb04: e90300f9  str	x9, [sp]
0xfffffff008e4cb08: 402cff90  adrp	x0, #0xfffffff0073d4000
0xfffffff008e4cb0c: 00fc2191  add	x0, x0, #0x87f
0xfffffff008e4cb10: 12000014  b	#0xfffffff008e4cb58
0xfffffff008e4cb14: 56588052  mov	w22, #0x2c2
0xfffffff008e4cb18: 1600bc72  movk	w22, #0xe000, lsl #16
0xfffffff008e4cb1c: 492cff90  adrp	x9, #0xfffffff0073d4000
0xfffffff008e4cb20: 29c53191  add	x9, x9, #0xc71
0xfffffff008e4cb24: f4a300a9  stp	x20, x8, [sp, #8]
0xfffffff008e4cb28: e90300f9  str	x9, [sp]
0xfffffff008e4cb2c: 402cff90  adrp	x0, #0xfffffff0073d4000
0xfffffff008e4cb30: 00a82491  add	x0, x0, #0x92a
