; Candidate 6114
; ADRP+ADD at VM 0xfffffff00881578c (fileoff 0x181178c): page=0x1fe9fe000 add_imm=0xd2e

0xfffffff00881570c: 8976ec97  bl	#0xfffffff008333130
0xfffffff008815710: b2ffff17  b	#0xfffffff0088155d8
0xfffffff008815714: 7f2303d5  pacibsp	
0xfffffff008815718: ffc302d1  sub	sp, sp, #0xb0
0xfffffff00881571c: fa6706a9  stp	x26, x25, [sp, #0x60]
0xfffffff008815720: f85f07a9  stp	x24, x23, [sp, #0x70]
0xfffffff008815724: f65708a9  stp	x22, x21, [sp, #0x80]
0xfffffff008815728: f44f09a9  stp	x20, x19, [sp, #0x90]
0xfffffff00881572c: fd7b0aa9  stp	x29, x30, [sp, #0xa0]
0xfffffff008815730: fd830291  add	x29, sp, #0xa0
0xfffffff008815734: f40301aa  mov	x20, x1
0xfffffff008815738: f30300aa  mov	x19, x0
0xfffffff00881573c: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008815740: e00302ad  stp	q0, q0, [sp, #0x40]
0xfffffff008815744: 800e8052  mov	w0, #0x74
0xfffffff008815748: 01018052  mov	w1, #8
0xfffffff00881574c: 21980194  bl	#0xfffffff00887b7d0
0xfffffff008815750: 40020034  cbz	w0, #0xfffffff008815798
0xfffffff008815754: 800e8052  mov	w0, #0x74
0xfffffff008815758: 30980194  bl	#0xfffffff00887b818
0xfffffff00881575c: f60300aa  mov	x22, x0
0xfffffff008815760: 937a0294  bl	#0xfffffff0088b41ac
0xfffffff008815764: f50300aa  mov	x21, x0
0xfffffff008815768: 00018052  mov	w0, #8
0xfffffff00881576c: 39980194  bl	#0xfffffff00887b850
0xfffffff008815770: b6030034  cbz	w22, #0xfffffff0088157e4
0xfffffff008815774: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff008815778: 4850ffb0  adrp	x8, #0xfffffff00721e000
0xfffffff00881577c: 08392291  add	x8, x8, #0x88e
0xfffffff008815780: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008815784: 880e8052  mov	w8, #0x74
0xfffffff008815788: f52300a9  stp	x21, x8, [sp]
0xfffffff00881578c: e04fffd0  adrp	x0, #0xfffffff007213000
0xfffffff008815790: 00b83491  add	x0, x0, #0xd2e
0xfffffff008815794: 3387d697  bl	#0xfffffff007db7460
0xfffffff008815798: d30400b4  cbz	x19, #0xfffffff008815830
0xfffffff00881579c: b40400b4  cbz	x20, #0xfffffff008815830
0xfffffff0088157a0: 68ca4391  add	x8, x19, #0xf2, lsl #12
0xfffffff0088157a4: 1a211f91  add	x26, x8, #0x7c8
0xfffffff0088157a8: 88a649a9  ldp	x8, x9, [x20, #0x98]
0xfffffff0088157ac: e82704a9  stp	x8, x9, [sp, #0x40]
0xfffffff0088157b0: 95a24aa9  ldp	x21, x8, [x20, #0xa8]
0xfffffff0088157b4: f52305a9  stp	x21, x8, [sp, #0x50]
0xfffffff0088157b8: 765a40b9  ldr	w22, [x19, #0x58]
0xfffffff0088157bc: 97c640b9  ldr	w23, [x20, #0xc4]
0xfffffff0088157c0: d50600b4  cbz	x21, #0xfffffff008815898
0xfffffff0088157c4: e00315aa  mov	x0, x21
0xfffffff0088157c8: ddd10194  bl	#0xfffffff008889f3c
0xfffffff0088157cc: f90300aa  mov	x25, x0
0xfffffff0088157d0: e00315aa  mov	x0, x21
0xfffffff0088157d4: dad70194  bl	#0xfffffff00888b73c
0xfffffff0088157d8: f803002a  mov	w24, w0
0xfffffff0088157dc: 387f60b3  bfi	x24, x25, #0x20, #0x20
0xfffffff0088157e0: 2f000014  b	#0xfffffff00881589c
0xfffffff0088157e4: 727a0294  bl	#0xfffffff0088b41ac
0xfffffff0088157e8: f50300aa  mov	x21, x0
0xfffffff0088157ec: 00018052  mov	w0, #8
0xfffffff0088157f0: 18980194  bl	#0xfffffff00887b850
0xfffffff0088157f4: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0088157f8: 4850ffb0  adrp	x8, #0xfffffff00721e000
0xfffffff0088157fc: 08392291  add	x8, x8, #0x88e
0xfffffff008815800: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008815804: 880e8052  mov	w8, #0x74
0xfffffff008815808: f52300a9  stp	x21, x8, [sp]
