; Candidate 11426
; ADRP+ADD at VM 0xfffffff008f46c2c (fileoff 0x1f42c2c): page=0x1febda000 add_imm=0xd38

0xfffffff008f46bac: 10021f91  add	x16, x16, #0x7c0
0xfffffff008f46bb0: 10420091  add	x16, x16, #0x10
0xfffffff008f46bb4: f10300aa  mov	x17, x0
0xfffffff008f46bb8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f46bbc: 300ac1da  pacda	x16, x17
0xfffffff008f46bc0: 100000f9  str	x16, [x0]
0xfffffff008f46bc4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008f46bc8: ff0f5fd6  retab	
0xfffffff008f46bcc: 5f2403d5  bti	c
0xfffffff008f46bd0: 42e8ff17  b	#0xfffffff008f40cd8
0xfffffff008f46bd4: 5f2403d5  bti	c
0xfffffff008f46bd8: 40e8ff17  b	#0xfffffff008f40cd8
0xfffffff008f46bdc: 7f2303d5  pacibsp	
0xfffffff008f46be0: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008f46be4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008f46be8: fd430091  add	x29, sp, #0x10
0xfffffff008f46bec: f30300aa  mov	x19, x0
0xfffffff008f46bf0: 3ae8ff97  bl	#0xfffffff008f40cd8
0xfffffff008f46bf4: c05effd0  adrp	x0, #0xfffffff007b20000
0xfffffff008f46bf8: 00e03491  add	x0, x0, #0xd38
0xfffffff008f46bfc: e10313aa  mov	x1, x19
0xfffffff008f46c00: 021e8052  mov	w2, #0xf0
0xfffffff008f46c04: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008f46c08: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008f46c0c: ff2303d5  autibsp	
0xfffffff008f46c10: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008f46c14: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008f46c1c
0xfffffff008f46c18: 208e38d4  brk	#0xc471
0xfffffff008f46c1c: a082ce17  b	#0xfffffff0082e769c
0xfffffff008f46c20: 5f2403d5  bti	c
0xfffffff008f46c24: e20301aa  mov	x2, x1
0xfffffff008f46c28: e10300aa  mov	x1, x0
0xfffffff008f46c2c: c05effd0  adrp	x0, #0xfffffff007b20000
0xfffffff008f46c30: 00e03491  add	x0, x0, #0xd38
0xfffffff008f46c34: 9a82ce17  b	#0xfffffff0082e769c
0xfffffff008f46c38: 5f2403d5  bti	c
0xfffffff008f46c3c: 209e00d0  adrp	x0, #0xfffffff00a30c000
0xfffffff008f46c40: 00a00091  add	x0, x0, #0x28
0xfffffff008f46c44: c0035fd6  ret	
0xfffffff008f46c48: 7f2303d5  pacibsp	
0xfffffff008f46c4c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008f46c50: fd030091  mov	x29, sp
0xfffffff008f46c54: a126ff90  adrp	x1, #0xfffffff00741a000
0xfffffff008f46c58: 21c00a91  add	x1, x1, #0x2b0
0xfffffff008f46c5c: 229e00b0  adrp	x2, #0xfffffff00a30b000
0xfffffff008f46c60: 42603f91  add	x2, x2, #0xfd8
0xfffffff008f46c64: 031e8052  mov	w3, #0xf0
0xfffffff008f46c68: b473ce97  bl	#0xfffffff0082e3b38
0xfffffff008f46c6c: d05effd0  adrp	x16, #0xfffffff007b20000
0xfffffff008f46c70: 10c22491  add	x16, x16, #0x930
0xfffffff008f46c74: 10420091  add	x16, x16, #0x10
0xfffffff008f46c78: f10300aa  mov	x17, x0
0xfffffff008f46c7c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f46c80: 300ac1da  pacda	x16, x17
0xfffffff008f46c84: 100000f9  str	x16, [x0]
0xfffffff008f46c88: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008f46c8c: ff0f5fd6  retab	
0xfffffff008f46c90: 7f2303d5  pacibsp	
0xfffffff008f46c94: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008f46c98: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008f46c9c: fd430091  add	x29, sp, #0x10
0xfffffff008f46ca0: c05effd0  adrp	x0, #0xfffffff007b20000
0xfffffff008f46ca4: 00e03491  add	x0, x0, #0xd38
0xfffffff008f46ca8: 011e8052  mov	w1, #0xf0
