; Candidate 14855
; ADRP+ADD at VM 0xfffffff0099c3c60 (fileoff 0x29bfc60): page=0x1fdc36000 add_imm=0xe73

0xfffffff0099c3be0: e6a30091  add	x6, sp, #0x28
0xfffffff0099c3be4: 21008052  mov	w1, #1
0xfffffff0099c3be8: 020080d2  mov	x2, #0
0xfffffff0099c3bec: 03008052  mov	w3, #0
0xfffffff0099c3bf0: 040080d2  mov	x4, #0
0xfffffff0099c3bf4: 050080d2  mov	x5, #0
0xfffffff0099c3bf8: 07008052  mov	w7, #0
0xfffffff0099c3bfc: c3eeff97  bl	#0xfffffff0099bf708
0xfffffff0099c3c00: f40300aa  mov	x20, x0
0xfffffff0099c3c04: 800e0035  cbnz	w0, #0xfffffff0099c3dd4
0xfffffff0099c3c08: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff0099c3c0c: 100040f9  ldr	x16, [x0]
0xfffffff0099c3c10: f10300aa  mov	x17, x0
0xfffffff0099c3c14: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0099c3c18: 301ac1da  autda	x16, x17
0xfffffff0099c3c1c: 11af80d2  mov	x17, #0x578
0xfffffff0099c3c20: 1002118b  add	x16, x16, x17
0xfffffff0099c3c24: 080240f9  ldr	x8, [x16]
0xfffffff0099c3c28: e90310aa  mov	x9, x16
0xfffffff0099c3c2c: f10309aa  mov	x17, x9
0xfffffff0099c3c30: 1113f3f2  movk	x17, #0x9898, lsl #48
0xfffffff0099c3c34: 11093fd7  blraa	x8, x17
0xfffffff0099c3c38: 57000014  b	#0xfffffff0099c3d94
0xfffffff0099c3c3c: 9f2403d5  bti	j
0xfffffff0099c3c40: 884f00d0  adrp	x8, #0xfffffff00a3b5000
0xfffffff0099c3c44: 08413d91  add	x8, x8, #0xf50
0xfffffff0099c3c48: 08014039  ldrb	w8, [x8]
0xfffffff0099c3c4c: 08010036  tbz	w8, #0, #0xfffffff0099c3c6c
0xfffffff0099c3c50: a8e1fed0  adrp	x8, #0xfffffff0075f9000
0xfffffff0099c3c54: 08413791  add	x8, x8, #0xdd0
0xfffffff0099c3c58: 49168052  mov	w9, #0xb2
0xfffffff0099c3c5c: e82700a9  stp	x8, x9, [sp]
0xfffffff0099c3c60: a0e1fed0  adrp	x0, #0xfffffff0075f9000
0xfffffff0099c3c64: 00cc3991  add	x0, x0, #0xe73
0xfffffff0099c3c68: 3aaeaa97  bl	#0xfffffff00846f550
0xfffffff0099c3c6c: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff0099c3c70: 11eeff97  bl	#0xfffffff0099bf4b4
0xfffffff0099c3c74: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff0099c3c78: 611640f9  ldr	x1, [x19, #0x28]
0xfffffff0099c3c7c: 76f1ff97  bl	#0xfffffff0099c0254
0xfffffff0099c3c80: f40300aa  mov	x20, x0
0xfffffff0099c3c84: e00b0035  cbnz	w0, #0xfffffff0099c3e00
0xfffffff0099c3c88: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff0099c3c8c: ffff01a9  stp	xzr, xzr, [sp, #0x18]
0xfffffff0099c3c90: ffff00a9  stp	xzr, xzr, [sp, #8]
0xfffffff0099c3c94: ff0300f9  str	xzr, [sp]
0xfffffff0099c3c98: e6430091  add	x6, sp, #0x10
0xfffffff0099c3c9c: 21008052  mov	w1, #1
0xfffffff0099c3ca0: 020080d2  mov	x2, #0
0xfffffff0099c3ca4: 03008052  mov	w3, #0
0xfffffff0099c3ca8: 040080d2  mov	x4, #0
0xfffffff0099c3cac: 050080d2  mov	x5, #0
0xfffffff0099c3cb0: 07008052  mov	w7, #0
0xfffffff0099c3cb4: 95eeff97  bl	#0xfffffff0099bf708
0xfffffff0099c3cb8: e0060034  cbz	w0, #0xfffffff0099c3d94
0xfffffff0099c3cbc: f30300aa  mov	x19, x0
0xfffffff0099c3cc0: 40e1fed0  adrp	x0, #0xfffffff0075ed000
0xfffffff0099c3cc4: 00781291  add	x0, x0, #0x49e
0xfffffff0099c3cc8: 41e1fed0  adrp	x1, #0xfffffff0075ed000
0xfffffff0099c3ccc: 21801491  add	x1, x1, #0x520
0xfffffff0099c3cd0: 42e1fed0  adrp	x2, #0xfffffff0075ed000
0xfffffff0099c3cd4: 42d81291  add	x2, x2, #0x4b6
0xfffffff0099c3cd8: a4e1fed0  adrp	x4, #0xfffffff0075f9000
0xfffffff0099c3cdc: 84dc3491  add	x4, x4, #0xd37
