; Candidate 6078
; ADRP+ADD at VM 0xfffffff008813454 (fileoff 0x180f454): page=0x1fea0a000 add_imm=0xcfc

0xfffffff0088133d4: c12f0054  b.ne	#0xfffffff0088139cc
0xfffffff0088133d8: 1f050071  cmp	w8, #1
0xfffffff0088133dc: 81380054  b.ne	#0xfffffff008813aec
0xfffffff0088133e0: 00008052  mov	w0, #0
0xfffffff0088133e4: 96000014  b	#0xfffffff00881363c
0xfffffff0088133e8: 800e8052  mov	w0, #0x74
0xfffffff0088133ec: 81008052  mov	w1, #4
0xfffffff0088133f0: f8a00194  bl	#0xfffffff00887b7d0
0xfffffff0088133f4: 20120034  cbz	w0, #0xfffffff008813638
0xfffffff0088133f8: 800e8052  mov	w0, #0x74
0xfffffff0088133fc: 07a10194  bl	#0xfffffff00887b818
0xfffffff008813400: f70300aa  mov	x23, x0
0xfffffff008813404: 6a830294  bl	#0xfffffff0088b41ac
0xfffffff008813408: f60300aa  mov	x22, x0
0xfffffff00881340c: 80008052  mov	w0, #4
0xfffffff008813410: 10a10194  bl	#0xfffffff00887b850
0xfffffff008813414: 17120034  cbz	w23, #0xfffffff008813654
0xfffffff008813418: 685a40b9  ldr	w8, [x19, #0x58]
0xfffffff00881341c: a9b646b9  ldr	w9, [x21, #0x6b4]
0xfffffff008813420: 6a008052  mov	w10, #3
0xfffffff008813424: e9ab04a9  stp	x9, x10, [sp, #0x48]
0xfffffff008813428: ea03142a  mov	w10, w20
0xfffffff00881342c: e8ab03a9  stp	x8, x10, [sp, #0x38]
0xfffffff008813430: 4850ffd0  adrp	x8, #0xfffffff00721d000
0xfffffff008813434: 08193591  add	x8, x8, #0xd46
0xfffffff008813438: e97f8052  mov	w9, #0x3ff
0xfffffff00881343c: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff008813440: 4850ffd0  adrp	x8, #0xfffffff00721d000
0xfffffff008813444: 086d2e91  add	x8, x8, #0xb9b
0xfffffff008813448: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00881344c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008813450: 880e8052  mov	w8, #0x74
0xfffffff008813454: 4050ffd0  adrp	x0, #0xfffffff00721d000
0xfffffff008813458: 00f03391  add	x0, x0, #0xcfc
0xfffffff00881345c: f62300a9  stp	x22, x8, [sp]
0xfffffff008813460: 75000014  b	#0xfffffff008813634
0xfffffff008813464: 800e8052  mov	w0, #0x74
0xfffffff008813468: 81008052  mov	w1, #4
0xfffffff00881346c: d9a00194  bl	#0xfffffff00887b7d0
0xfffffff008813470: 400e0034  cbz	w0, #0xfffffff008813638
0xfffffff008813474: 800e8052  mov	w0, #0x74
0xfffffff008813478: e8a00194  bl	#0xfffffff00887b818
0xfffffff00881347c: f60300aa  mov	x22, x0
0xfffffff008813480: 4b830294  bl	#0xfffffff0088b41ac
0xfffffff008813484: f50300aa  mov	x21, x0
0xfffffff008813488: 80008052  mov	w0, #4
0xfffffff00881348c: f1a00194  bl	#0xfffffff00887b850
0xfffffff008813490: 16150034  cbz	w22, #0xfffffff008813730
0xfffffff008813494: 685a40b9  ldr	w8, [x19, #0x58]
0xfffffff008813498: e90240b9  ldr	w9, [x23]
0xfffffff00881349c: 0a048052  mov	w10, #0x20
0xfffffff0088134a0: ff2b05a9  stp	xzr, x10, [sp, #0x50]
0xfffffff0088134a4: ea03142a  mov	w10, w20
0xfffffff0088134a8: ea2704a9  stp	x10, x9, [sp, #0x40]
0xfffffff0088134ac: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0088134b0: 4850ffd0  adrp	x8, #0xfffffff00721d000
0xfffffff0088134b4: 08cd3691  add	x8, x8, #0xdb3
0xfffffff0088134b8: c9808052  mov	w9, #0x406
0xfffffff0088134bc: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088134c0: 4850ffd0  adrp	x8, #0xfffffff00721d000
0xfffffff0088134c4: 086d2e91  add	x8, x8, #0xb9b
0xfffffff0088134c8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088134cc: 880e8052  mov	w8, #0x74
0xfffffff0088134d0: 4050ffd0  adrp	x0, #0xfffffff00721d000
