; Candidate 1387
; ADRP+ADD at VM 0xfffffff00838f7fc (fileoff 0x138b7fc): page=0x1e89000 add_imm=0xd50

0xfffffff00838f77c: 60afffd0  adrp	x0, #0xfffffff00797d000
0xfffffff00838f780: 00c02a91  add	x0, x0, #0xab0
0xfffffff00838f784: 22e9e997  bl	#0xfffffff007e09c0c
0xfffffff00838f788: 07000014  b	#0xfffffff00838f7a4
0xfffffff00838f78c: 68afffd0  adrp	x8, #0xfffffff00797d000
0xfffffff00838f790: 08dd4ab9  ldr	w8, [x8, #0xadc]
0xfffffff00838f794: 025d4092  and	x2, x8, #0xffffff
0xfffffff00838f798: e0acffd0  adrp	x0, #0xfffffff00792d000
0xfffffff00838f79c: 00c01c91  add	x0, x0, #0x730
0xfffffff00838f7a0: b35ce897  bl	#0xfffffff007da6a6c
0xfffffff00838f7a4: 08008092  mov	x8, #-1
0xfffffff00838f7a8: 680200f9  str	x8, [x19]
0xfffffff00838f7ac: e00313aa  mov	x0, x19
0xfffffff00838f7b0: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff00838f7b4: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff00838f7b8: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff00838f7bc: ff0f5fd6  retab	
0xfffffff00838f7c0: e10314aa  mov	x1, x20
0xfffffff00838f7c4: 02008052  mov	w2, #0
0xfffffff00838f7c8: cc70e897  bl	#0xfffffff007dabaf8
0xfffffff00838f7cc: 87ffff17  b	#0xfffffff00838f5e8
0xfffffff00838f7d0: e10314aa  mov	x1, x20
0xfffffff00838f7d4: e473e897  bl	#0xfffffff007dac764
0xfffffff00838f7d8: 35f5ffb5  cbnz	x21, #0xfffffff00838f67c
0xfffffff00838f7dc: ccffff17  b	#0xfffffff00838f70c
0xfffffff00838f7e0: e10314aa  mov	x1, x20
0xfffffff00838f7e4: e073e897  bl	#0xfffffff007dac764
0xfffffff00838f7e8: c9ffff17  b	#0xfffffff00838f70c
0xfffffff00838f7ec: 7f2303d5  pacibsp	
0xfffffff00838f7f0: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00838f7f4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00838f7f8: fd430091  add	x29, sp, #0x10
0xfffffff00838f7fc: 40f400b0  adrp	x0, #0xfffffff00a218000
0xfffffff00838f800: 00403591  add	x0, x0, #0xd50
0xfffffff00838f804: 8168ff90  adrp	x1, #0xfffffff00709f000
0xfffffff00838f808: 214c1391  add	x1, x1, #0x4d3
0xfffffff00838f80c: 53f400f0  adrp	x19, #0xfffffff00a21a000
0xfffffff00838f810: 73622191  add	x19, x19, #0x858
0xfffffff00838f814: e20313aa  mov	x2, x19
0xfffffff00838f818: 03048052  mov	w3, #0x20
0xfffffff00838f81c: c750fd97  bl	#0xfffffff0082e3b38
0xfffffff00838f820: 10adffb0  adrp	x16, #0xfffffff007930000
0xfffffff00838f824: 10a22891  add	x16, x16, #0xa28
0xfffffff00838f828: 10420091  add	x16, x16, #0x10
0xfffffff00838f82c: f10300aa  mov	x17, x0
0xfffffff00838f830: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00838f834: 300ac1da  pacda	x16, x17
0xfffffff00838f838: 100000f9  str	x16, [x0]
0xfffffff00838f83c: 40f400b0  adrp	x0, #0xfffffff00a218000
0xfffffff00838f840: 00e03591  add	x0, x0, #0xd78
0xfffffff00838f844: 8168ff90  adrp	x1, #0xfffffff00709f000
0xfffffff00838f848: 21742291  add	x1, x1, #0x89d
0xfffffff00838f84c: 42f400d0  adrp	x2, #0xfffffff00a219000
0xfffffff00838f850: 42e00491  add	x2, x2, #0x138
0xfffffff00838f854: 03118052  mov	w3, #0x88
0xfffffff00838f858: b850fd97  bl	#0xfffffff0082e3b38
0xfffffff00838f85c: 10adffb0  adrp	x16, #0xfffffff007930000
0xfffffff00838f860: 10422d91  add	x16, x16, #0xb50
0xfffffff00838f864: 10420091  add	x16, x16, #0x10
0xfffffff00838f868: f10300aa  mov	x17, x0
0xfffffff00838f86c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00838f870: 300ac1da  pacda	x16, x17
0xfffffff00838f874: 100000f9  str	x16, [x0]
0xfffffff00838f878: 40f400b0  adrp	x0, #0xfffffff00a218000
