; Candidate 10667
; ADRP+ADD at VM 0xfffffff008de2798 (fileoff 0x1dde798): page=0x1fe5e2000 add_imm=0xd21

0xfffffff008de2718: 00543891  add	x0, x0, #0xe15
0xfffffff008de271c: 41d2d597  bl	#0xfffffff008357020
0xfffffff008de2720: c8088052  mov	w8, #0x46
0xfffffff008de2724: a0ffff17  b	#0xfffffff008de25a4
0xfffffff008de2728: c9edbd97  bl	#0xfffffff007d5de4c
0xfffffff008de272c: 7f2303d5  pacibsp	
0xfffffff008de2730: ffc302d1  sub	sp, sp, #0xb0
0xfffffff008de2734: fc6f05a9  stp	x28, x27, [sp, #0x50]
0xfffffff008de2738: fa6706a9  stp	x26, x25, [sp, #0x60]
0xfffffff008de273c: f85f07a9  stp	x24, x23, [sp, #0x70]
0xfffffff008de2740: f65708a9  stp	x22, x21, [sp, #0x80]
0xfffffff008de2744: f44f09a9  stp	x20, x19, [sp, #0x90]
0xfffffff008de2748: fd7b0aa9  stp	x29, x30, [sp, #0xa0]
0xfffffff008de274c: fd830291  add	x29, sp, #0xa0
0xfffffff008de2750: f80307aa  mov	x24, x7
0xfffffff008de2754: f40306aa  mov	x20, x6
0xfffffff008de2758: f90305aa  mov	x25, x5
0xfffffff008de275c: fa0304aa  mov	x26, x4
0xfffffff008de2760: fb0303aa  mov	x27, x3
0xfffffff008de2764: fc0302aa  mov	x28, x2
0xfffffff008de2768: f60301aa  mov	x22, x1
0xfffffff008de276c: f50300aa  mov	x21, x0
0xfffffff008de2770: f3a800b0  adrp	x19, #0xfffffff00a2ff000
0xfffffff008de2774: 73422c91  add	x19, x19, #0xb10
0xfffffff008de2778: 68024039  ldrb	w8, [x19]
0xfffffff008de277c: 092fff90  adrp	x9, #0xfffffff0073c2000
0xfffffff008de2780: 298d0191  add	x9, x9, #0x63
0xfffffff008de2784: ea2efff0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de2788: 4a9d0c91  add	x10, x10, #0x327
0xfffffff008de278c: 1f290071  cmp	w8, #0xa
0xfffffff008de2790: a8000054  b.hi	#0xfffffff008de27a4
0xfffffff008de2794: ea2700a9  stp	x10, x9, [sp]
0xfffffff008de2798: 002fffd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de279c: 00843491  add	x0, x0, #0xd21
0xfffffff008de27a0: 20d2d597  bl	#0xfffffff008357020
0xfffffff008de27a4: 08008252  mov	w8, #0x1000
0xfffffff008de27a8: e87f04a9  stp	x8, xzr, [sp, #0x40]
0xfffffff008de27ac: ff7f03a9  stp	xzr, xzr, [sp, #0x30]
0xfffffff008de27b0: 9c1200b4  cbz	x28, #0xfffffff008de2a00
0xfffffff008de27b4: 9b1300b4  cbz	x27, #0xfffffff008de2a24
0xfffffff008de27b8: b70b40f9  ldr	x23, [x29, #0x10]
0xfffffff008de27bc: 771400b4  cbz	x23, #0xfffffff008de2a48
0xfffffff008de27c0: f51700f9  str	x21, [sp, #0x28]
0xfffffff008de27c4: e6230191  add	x6, sp, #0x48
0xfffffff008de27c8: e0031caa  mov	x0, x28
0xfffffff008de27cc: e1031baa  mov	x1, x27
0xfffffff008de27d0: e2031aaa  mov	x2, x26
0xfffffff008de27d4: e30318aa  mov	x3, x24
0xfffffff008de27d8: e40319aa  mov	x4, x25
0xfffffff008de27dc: e50314aa  mov	x5, x20
0xfffffff008de27e0: 81110094  bl	#0xfffffff008de6de4
0xfffffff008de27e4: 00150035  cbnz	w0, #0xfffffff008de2a84
0xfffffff008de27e8: f52740f9  ldr	x21, [sp, #0x48]
0xfffffff008de27ec: e00315aa  mov	x0, x21
0xfffffff008de27f0: bf100094  bl	#0xfffffff008de6aec
0xfffffff008de27f4: f30300aa  mov	x19, x0
0xfffffff008de27f8: e02efff0  adrp	x0, #0xfffffff0073c1000
0xfffffff008de27fc: 00c00a91  add	x0, x0, #0x2b0
0xfffffff008de2800: e82efff0  adrp	x8, #0xfffffff0073c1000
0xfffffff008de2804: 08490d91  add	x8, x8, #0x352
0xfffffff008de2808: 052fff90  adrp	x5, #0xfffffff0073c2000
0xfffffff008de280c: a58c0191  add	x5, x5, #0x63
0xfffffff008de2810: e10313aa  mov	x1, x19
0xfffffff008de2814: e20315aa  mov	x2, x21
