; Candidate 15881
; ADRP+ADD at VM 0xfffffff009dbf5a0 (fileoff 0x2dbb5a0): page=0x1fd8d9000 add_imm=0xd65

0xfffffff009dbf520: f60300aa  mov	x22, x0
0xfffffff009dbf524: 400a0035  cbnz	w0, #0xfffffff009dbf66c
0xfffffff009dbf528: e10f40f9  ldr	x1, [sp, #0x18]
0xfffffff009dbf52c: 58000014  b	#0xfffffff009dbf68c
0xfffffff009dbf530: e00315aa  mov	x0, x21
0xfffffff009dbf534: caf98797  bl	#0xfffffff007fbdc5c
0xfffffff009dbf538: 087c0b53  lsr	w8, w0, #0xb
0xfffffff009dbf53c: 14051f12  and	w20, w8, #6
0xfffffff009dbf540: 14080233  bfxil	w20, w0, #2, #1
0xfffffff009dbf544: 740200b9  str	w20, [x19]
0xfffffff009dbf548: e00315aa  mov	x0, x21
0xfffffff009dbf54c: c4f98797  bl	#0xfffffff007fbdc5c
0xfffffff009dbf550: c0081036  tbz	w0, #2, #0xfffffff009dbf668
0xfffffff009dbf554: f40300f9  str	x20, [sp]
0xfffffff009dbf558: c0c6feb0  adrp	x0, #0xfffffff007698000
0xfffffff009dbf55c: 00043291  add	x0, x0, #0xc81
0xfffffff009dbf560: b05e9697  bl	#0xfffffff008357020
0xfffffff009dbf564: 41000014  b	#0xfffffff009dbf668
0xfffffff009dbf568: e00315aa  mov	x0, x21
0xfffffff009dbf56c: bcf98797  bl	#0xfffffff007fbdc5c
0xfffffff009dbf570: 80001036  tbz	w0, #2, #0xfffffff009dbf580
0xfffffff009dbf574: c0c6feb0  adrp	x0, #0xfffffff007698000
0xfffffff009dbf578: 00ac3491  add	x0, x0, #0xd2b
0xfffffff009dbf57c: a95e9697  bl	#0xfffffff008357020
0xfffffff009dbf580: e00315aa  mov	x0, x21
0xfffffff009dbf584: 70f98797  bl	#0xfffffff007fbdb44
0xfffffff009dbf588: 16008052  mov	w22, #0
0xfffffff009dbf58c: 600200b9  str	w0, [x19]
0xfffffff009dbf590: 37000014  b	#0xfffffff009dbf66c
0xfffffff009dbf594: e00315aa  mov	x0, x21
0xfffffff009dbf598: b1f98797  bl	#0xfffffff007fbdc5c
0xfffffff009dbf59c: 80001036  tbz	w0, #2, #0xfffffff009dbf5ac
0xfffffff009dbf5a0: c0c6feb0  adrp	x0, #0xfffffff007698000
0xfffffff009dbf5a4: 00943591  add	x0, x0, #0xd65
0xfffffff009dbf5a8: 9e5e9697  bl	#0xfffffff008357020
0xfffffff009dbf5ac: 730240b9  ldr	w19, [x19]
0xfffffff009dbf5b0: 68420051  sub	w8, w19, #0x10
0xfffffff009dbf5b4: 1f450031  cmn	w8, #0x11
0xfffffff009dbf5b8: a3020054  b.lo	#0xfffffff009dbf60c
0xfffffff009dbf5bc: 803a40f9  ldr	x0, [x20, #0x70]
0xfffffff009dbf5c0: 200100b5  cbnz	x0, #0xfffffff009dbf5e4
0xfffffff009dbf5c4: e0fafeb0  adrp	x0, #0xfffffff007d1c000
0xfffffff009dbf5c8: 00e03f91  add	x0, x0, #0xff8
0xfffffff009dbf5cc: 01009052  mov	w1, #0x8000
0xfffffff009dbf5d0: fc9c7f97  bl	#0xfffffff007da69c0
0xfffffff009dbf5d4: 803a00f9  str	x0, [x20, #0x70]
0xfffffff009dbf5d8: 01008012  mov	w1, #-1
0xfffffff009dbf5dc: eb0c0094  bl	#0xfffffff009dc2988
0xfffffff009dbf5e0: 803a40f9  ldr	x0, [x20, #0x70]
0xfffffff009dbf5e4: e10313aa  mov	x1, x19
0xfffffff009dbf5e8: e80c0094  bl	#0xfffffff009dc2988
0xfffffff009dbf5ec: 1f000014  b	#0xfffffff009dbf668
0xfffffff009dbf5f0: e00315aa  mov	x0, x21
0xfffffff009dbf5f4: 9af98797  bl	#0xfffffff007fbdc5c
0xfffffff009dbf5f8: a0001036  tbz	w0, #2, #0xfffffff009dbf60c
0xfffffff009dbf5fc: f60300f9  str	x22, [sp]
0xfffffff009dbf600: c0c6fed0  adrp	x0, #0xfffffff007699000
0xfffffff009dbf604: 00840991  add	x0, x0, #0x261
0xfffffff009dbf608: 865e9697  bl	#0xfffffff008357020
0xfffffff009dbf60c: d6028052  mov	w22, #0x16
0xfffffff009dbf610: 17000014  b	#0xfffffff009dbf66c
0xfffffff009dbf614: 080080d2  mov	x8, #0
0xfffffff009dbf618: 89898e52  mov	w9, #0x744c
0xfffffff009dbf61c: 0901b872  movk	w9, #0xc008, lsl #16
