; Candidate 7133
; ADRP+ADD at VM 0xfffffff008859d08 (fileoff 0x1855d08): page=0x1fe990000 add_imm=0xe80

0xfffffff008859c88: 16110035  cbnz	w22, #0xfffffff008859ea8
0xfffffff008859c8c: e00314aa  mov	x0, x20
0xfffffff008859c90: e10315aa  mov	x1, x21
0xfffffff008859c94: 42008052  mov	w2, #2
0xfffffff008859c98: 6b7cfe97  bl	#0xfffffff0087f8e44
0xfffffff008859c9c: 47000014  b	#0xfffffff008859db8
0xfffffff008859ca0: 43690194  bl	#0xfffffff0088b41ac
0xfffffff008859ca4: f60300aa  mov	x22, x0
0xfffffff008859ca8: a0008052  mov	w0, #5
0xfffffff008859cac: e9860094  bl	#0xfffffff00887b850
0xfffffff008859cb0: a80e40f9  ldr	x8, [x21, #0x18]
0xfffffff008859cb4: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff008859cb8: 8a1a40b9  ldr	w10, [x20, #0x18]
0xfffffff008859cbc: 2b5b40b9  ldr	w11, [x25, #0x58]
0xfffffff008859cc0: 6ca240b9  ldr	w12, [x19, #0xa0]
0xfffffff008859cc4: 4d7e8012  mov	w13, #-0x3f3
0xfffffff008859cc8: ec3707a9  stp	x12, x13, [sp, #0x70]
0xfffffff008859ccc: f52306a9  stp	x21, x8, [sp, #0x60]
0xfffffff008859cd0: f92f05a9  stp	x25, x11, [sp, #0x50]
0xfffffff008859cd4: f42b04a9  stp	x20, x10, [sp, #0x40]
0xfffffff008859cd8: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff008859cdc: 684f8152  mov	w8, #0xa7b
0xfffffff008859ce0: 694effd0  adrp	x9, #0xfffffff007227000
0xfffffff008859ce4: 29250191  add	x9, x9, #0x49
0xfffffff008859ce8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008859cec: 684effd0  adrp	x8, #0xfffffff007227000
0xfffffff008859cf0: 08811191  add	x8, x8, #0x460
0xfffffff008859cf4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008859cf8: 880c8052  mov	w8, #0x64
0xfffffff008859cfc: c34ffff0  adrp	x3, #0xfffffff007254000
0xfffffff008859d00: 63d42191  add	x3, x3, #0x875
0xfffffff008859d04: f62300a9  stp	x22, x8, [sp]
0xfffffff008859d08: 804cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008859d0c: 00003a91  add	x0, x0, #0xe80
0xfffffff008859d10: 618dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008859d14: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008859d18: 02008052  mov	w2, #0
0xfffffff008859d1c: 0565eb97  bl	#0xfffffff008333130
0xfffffff008859d20: 21000014  b	#0xfffffff008859da4
0xfffffff008859d24: 22690194  bl	#0xfffffff0088b41ac
0xfffffff008859d28: f60300aa  mov	x22, x0
0xfffffff008859d2c: a0008052  mov	w0, #5
0xfffffff008859d30: c8860094  bl	#0xfffffff00887b850
0xfffffff008859d34: a80e40f9  ldr	x8, [x21, #0x18]
0xfffffff008859d38: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff008859d3c: 8a1a40b9  ldr	w10, [x20, #0x18]
0xfffffff008859d40: 2b5b40b9  ldr	w11, [x25, #0x58]
0xfffffff008859d44: 8c2640b9  ldr	w12, [x20, #0x24]
0xfffffff008859d48: 4d7e8012  mov	w13, #-0x3f3
0xfffffff008859d4c: ec3707a9  stp	x12, x13, [sp, #0x70]
0xfffffff008859d50: f52306a9  stp	x21, x8, [sp, #0x60]
0xfffffff008859d54: f92f05a9  stp	x25, x11, [sp, #0x50]
0xfffffff008859d58: f42b04a9  stp	x20, x10, [sp, #0x40]
0xfffffff008859d5c: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff008859d60: 48518152  mov	w8, #0xa8a
0xfffffff008859d64: 694effd0  adrp	x9, #0xfffffff007227000
0xfffffff008859d68: 29250191  add	x9, x9, #0x49
0xfffffff008859d6c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008859d70: 684effd0  adrp	x8, #0xfffffff007227000
0xfffffff008859d74: 08811191  add	x8, x8, #0x460
0xfffffff008859d78: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008859d7c: 880c8052  mov	w8, #0x64
0xfffffff008859d80: c34ffff0  adrp	x3, #0xfffffff007254000
0xfffffff008859d84: 630c2391  add	x3, x3, #0x8c3
