; Candidate 7127
; ADRP+ADD at VM 0xfffffff008859584 (fileoff 0x1855584): page=0x1fe990000 add_imm=0xe80

0xfffffff008859504: f60c0035  cbnz	w22, #0xfffffff0088596a0
0xfffffff008859508: e00314aa  mov	x0, x20
0xfffffff00885950c: e10315aa  mov	x1, x21
0xfffffff008859510: 42008052  mov	w2, #2
0xfffffff008859514: 4c7efe97  bl	#0xfffffff0087f8e44
0xfffffff008859518: 26000014  b	#0xfffffff0088595b0
0xfffffff00885951c: 246b0194  bl	#0xfffffff0088b41ac
0xfffffff008859520: f60300aa  mov	x22, x0
0xfffffff008859524: a0008052  mov	w0, #5
0xfffffff008859528: ca880094  bl	#0xfffffff00887b850
0xfffffff00885952c: a80e40f9  ldr	x8, [x21, #0x18]
0xfffffff008859530: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff008859534: 8a1a40b9  ldr	w10, [x20, #0x18]
0xfffffff008859538: 2b5b40b9  ldr	w11, [x25, #0x58]
0xfffffff00885953c: 8c2640b9  ldr	w12, [x20, #0x24]
0xfffffff008859540: 4d7e8012  mov	w13, #-0x3f3
0xfffffff008859544: ec3707a9  stp	x12, x13, [sp, #0x70]
0xfffffff008859548: f52306a9  stp	x21, x8, [sp, #0x60]
0xfffffff00885954c: f92f05a9  stp	x25, x11, [sp, #0x50]
0xfffffff008859550: f42b04a9  stp	x20, x10, [sp, #0x40]
0xfffffff008859554: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff008859558: 48448152  mov	w8, #0xa22
0xfffffff00885955c: 694effb0  adrp	x9, #0xfffffff007226000
0xfffffff008859560: 29413f91  add	x9, x9, #0xfd0
0xfffffff008859564: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008859568: 684effd0  adrp	x8, #0xfffffff007227000
0xfffffff00885956c: 08811191  add	x8, x8, #0x460
0xfffffff008859570: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008859574: 880c8052  mov	w8, #0x64
0xfffffff008859578: c34ffff0  adrp	x3, #0xfffffff007254000
0xfffffff00885957c: 63bc1b91  add	x3, x3, #0x6ef
0xfffffff008859580: f62300a9  stp	x22, x8, [sp]
0xfffffff008859584: 804cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008859588: 00003a91  add	x0, x0, #0xe80
0xfffffff00885958c: 618dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008859590: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008859594: 02008052  mov	w2, #0
0xfffffff008859598: e666eb97  bl	#0xfffffff008333130
0xfffffff00885959c: e00314aa  mov	x0, x20
0xfffffff0088595a0: e10315aa  mov	x1, x21
0xfffffff0088595a4: 02008052  mov	w2, #0
0xfffffff0088595a8: c57efe97  bl	#0xfffffff0087f90bc
0xfffffff0088595ac: 567e8012  mov	w22, #-0x3f3
0xfffffff0088595b0: 800c8052  mov	w0, #0x64
0xfffffff0088595b4: e1008052  mov	w1, #7
0xfffffff0088595b8: 86880094  bl	#0xfffffff00887b7d0
0xfffffff0088595bc: 20060034  cbz	w0, #0xfffffff008859680
0xfffffff0088595c0: 800c8052  mov	w0, #0x64
0xfffffff0088595c4: 95880094  bl	#0xfffffff00887b818
0xfffffff0088595c8: f80300aa  mov	x24, x0
0xfffffff0088595cc: f86a0194  bl	#0xfffffff0088b41ac
0xfffffff0088595d0: f70300aa  mov	x23, x0
0xfffffff0088595d4: e0008052  mov	w0, #7
0xfffffff0088595d8: 9e880094  bl	#0xfffffff00887b850
0xfffffff0088595dc: 38020034  cbz	w24, #0xfffffff008859620
0xfffffff0088595e0: e80316aa  mov	x8, x22
0xfffffff0088595e4: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff0088595e8: f52304a9  stp	x21, x8, [sp, #0x40]
0xfffffff0088595ec: e95303a9  stp	x9, x20, [sp, #0x30]
0xfffffff0088595f0: 684effb0  adrp	x8, #0xfffffff007226000
0xfffffff0088595f4: 08413f91  add	x8, x8, #0xfd0
0xfffffff0088595f8: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088595fc: 684effd0  adrp	x8, #0xfffffff007227000
0xfffffff008859600: 08811191  add	x8, x8, #0x460
