; Candidate 16818
; ADRP+ADD at VM 0xfffffff009f70a00 (fileoff 0x2f6ca00): page=0x1fddd3000 add_imm=0xe58

0xfffffff009f70980: 297542f9  ldr	x9, [x9, #0x4e8]
0xfffffff009f70984: 290140f9  ldr	x9, [x9]
0xfffffff009f70988: 3f0108eb  cmp	x9, x8
0xfffffff009f7098c: 81000054  b.ne	#0xfffffff009f7099c
0xfffffff009f70990: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009f70994: ff830091  add	sp, sp, #0x20
0xfffffff009f70998: ff0f5fd6  retab	
0xfffffff009f7099c: 2cb57797  bl	#0xfffffff007d5de4c
0xfffffff009f709a0: 5f2403d5  bti	c
0xfffffff009f709a4: 081040f9  ldr	x8, [x0, #0x20]
0xfffffff009f709a8: 0001c03d  ldr	q0, [x8]
0xfffffff009f709ac: 2000803d  str	q0, [x1]
0xfffffff009f709b0: 00008052  mov	w0, #0
0xfffffff009f709b4: c0035fd6  ret	
0xfffffff009f709b8: 5f2403d5  bti	c
0xfffffff009f709bc: 081040f9  ldr	x8, [x0, #0x20]
0xfffffff009f709c0: 001540f9  ldr	x0, [x8, #0x28]
0xfffffff009f709c4: c0035fd6  ret	
0xfffffff009f709c8: 7f2303d5  pacibsp	
0xfffffff009f709cc: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009f709d0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009f709d4: fd430091  add	x29, sp, #0x10
0xfffffff009f709d8: f30300aa  mov	x19, x0
0xfffffff009f709dc: 1a000094  bl	#0xfffffff009f70a44
0xfffffff009f709e0: 601240f9  ldr	x0, [x19, #0x20]
0xfffffff009f709e4: 600100b4  cbz	x0, #0xfffffff009f70a10
0xfffffff009f709e8: 019e8052  mov	w1, #0x4f0
0xfffffff009f709ec: 02008052  mov	w2, #0
0xfffffff009f709f0: 039e8052  mov	w3, #0x4f0
0xfffffff009f709f4: 836d7797  bl	#0xfffffff007d4c000
0xfffffff009f709f8: 611240f9  ldr	x1, [x19, #0x20]
0xfffffff009f709fc: 7f1200f9  str	xzr, [x19, #0x20]
0xfffffff009f70a00: 80eefef0  adrp	x0, #0xfffffff007d43000
0xfffffff009f70a04: 00603991  add	x0, x0, #0xe58
0xfffffff009f70a08: 41978f97  bl	#0xfffffff00835670c
0xfffffff009f70a0c: 7f1200f9  str	xzr, [x19, #0x20]
0xfffffff009f70a10: 61eefe90  adrp	x1, #0xfffffff007d3c000
0xfffffff009f70a14: 216c42f9  ldr	x1, [x1, #0x4d8]
0xfffffff009f70a18: 300c48f8  ldr	x16, [x1, #0x80]!
0xfffffff009f70a1c: e00313aa  mov	x0, x19
0xfffffff009f70a20: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009f70a24: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009f70a28: ff2303d5  autibsp	
0xfffffff009f70a2c: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff009f70a30: 5100f0b6  tbz	x17, #0x3e, #0xfffffff009f70a38
0xfffffff009f70a34: 208e38d4  brk	#0xc471
0xfffffff009f70a38: f10301aa  mov	x17, x1
0xfffffff009f70a3c: b1b8fdf2  movk	x17, #0xedc5, lsl #48
0xfffffff009f70a40: 110a1fd7  braa	x16, x17
0xfffffff009f70a44: 7f2303d5  pacibsp	
0xfffffff009f70a48: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff009f70a4c: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff009f70a50: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009f70a54: fd830091  add	x29, sp, #0x20
0xfffffff009f70a58: 081040f9  ldr	x8, [x0, #0x20]
0xfffffff009f70a5c: 880600b4  cbz	x8, #0xfffffff009f70b2c
0xfffffff009f70a60: f30300aa  mov	x19, x0
0xfffffff009f70a64: 001540f9  ldr	x0, [x8, #0x28]
0xfffffff009f70a68: 600100b4  cbz	x0, #0xfffffff009f70a94
0xfffffff009f70a6c: 100040f9  ldr	x16, [x0]
0xfffffff009f70a70: f10300aa  mov	x17, x0
0xfffffff009f70a74: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009f70a78: 301ac1da  autda	x16, x17
0xfffffff009f70a7c: 088e42f8  ldr	x8, [x16, #0x28]!
