; Candidate 11413
; ADRP+ADD at VM 0xfffffff008f3dfe0 (fileoff 0x1f39fe0): page=0x1fe4d9000 add_imm=0xe07

0xfffffff008f3df60: 050080d2  mov	x5, #0
0xfffffff008f3df64: 060080d2  mov	x6, #0
0xfffffff008f3df68: f10308aa  mov	x17, x8
0xfffffff008f3df6c: b103ebf2  movk	x17, #0x581d, lsl #48
0xfffffff008f3df70: 31093fd7  blraa	x9, x17
0xfffffff008f3df74: f50300aa  mov	x21, x0
0xfffffff008f3df78: 648e41f9  ldr	x4, [x19, #0x318]
0xfffffff008f3df7c: 668a41f9  ldr	x6, [x19, #0x310]
0xfffffff008f3df80: 053f0012  and	w5, w24, #0xffff
0xfffffff008f3df84: e00313aa  mov	x0, x19
0xfffffff008f3df88: 61008052  mov	w1, #3
0xfffffff008f3df8c: 02008052  mov	w2, #0
0xfffffff008f3df90: 63008052  mov	w3, #3
0xfffffff008f3df94: e70305aa  mov	x7, x5
0xfffffff008f3df98: 99acff97  bl	#0xfffffff008f291fc
0xfffffff008f3df9c: b5020034  cbz	w21, #0xfffffff008f3dff0
0xfffffff008f3dfa0: 94578052  mov	w20, #0x2bc
0xfffffff008f3dfa4: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff008f3dfa8: 700240f9  ldr	x16, [x19]
0xfffffff008f3dfac: f10313aa  mov	x17, x19
0xfffffff008f3dfb0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f3dfb4: 301ac1da  autda	x16, x17
0xfffffff008f3dfb8: 113d80d2  mov	x17, #0x1e8
0xfffffff008f3dfbc: 1002118b  add	x16, x16, x17
0xfffffff008f3dfc0: 080240f9  ldr	x8, [x16]
0xfffffff008f3dfc4: e90310aa  mov	x9, x16
0xfffffff008f3dfc8: e00313aa  mov	x0, x19
0xfffffff008f3dfcc: 010080d2  mov	x1, #0
0xfffffff008f3dfd0: f10309aa  mov	x17, x9
0xfffffff008f3dfd4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008f3dfd8: 11093fd7  blraa	x8, x17
0xfffffff008f3dfdc: e05700a9  stp	x0, x21, [sp]
0xfffffff008f3dfe0: c026ffb0  adrp	x0, #0xfffffff007416000
0xfffffff008f3dfe4: 001c3891  add	x0, x0, #0xe07
0xfffffff008f3dfe8: 1ee5b997  bl	#0xfffffff007db7460
0xfffffff008f3dfec: 24000014  b	#0xfffffff008f3e07c
0xfffffff008f3dff0: 608a41f9  ldr	x0, [x19, #0x310]
0xfffffff008f3dff4: 08004039  ldrb	w8, [x0]
0xfffffff008f3dff8: 1fa90371  cmp	w8, #0xea
0xfffffff008f3dffc: a0000054  b.eq	#0xfffffff008f3e010
0xfffffff008f3e000: 1fad0371  cmp	w8, #0xeb
0xfffffff008f3e004: 41020054  b.ne	#0xfffffff008f3e04c
0xfffffff008f3e008: 69624f39  ldrb	w9, [x19, #0x3d8]
0xfffffff008f3e00c: 09020034  cbz	w9, #0xfffffff008f3e04c
0xfffffff008f3e010: a1008052  mov	w1, #5
0xfffffff008f3e014: 631b0094  bl	#0xfffffff008f44da0
0xfffffff008f3e018: 081c0072  ands	w8, w0, #0xff
0xfffffff008f3e01c: e0030054  b.eq	#0xfffffff008f3e098
0xfffffff008f3e020: 94578052  mov	w20, #0x2bc
0xfffffff008f3e024: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff008f3e028: c426fff0  adrp	x4, #0xfffffff007419000
0xfffffff008f3e02c: 84ac0991  add	x4, x4, #0x26b
0xfffffff008f3e030: e80300f9  str	x8, [sp]
0xfffffff008f3e034: e00313aa  mov	x0, x19
0xfffffff008f3e038: 21008052  mov	w1, #1
0xfffffff008f3e03c: 02008052  mov	w2, #0
0xfffffff008f3e040: 63008052  mov	w3, #3
0xfffffff008f3e044: a3aaff97  bl	#0xfffffff008f28ad0
0xfffffff008f3e048: 0d000014  b	#0xfffffff008f3e07c
0xfffffff008f3e04c: 69666939  ldrb	w9, [x19, #0xa59]
0xfffffff008f3e050: c426ff90  adrp	x4, #0xfffffff007416000
0xfffffff008f3e054: 84443b91  add	x4, x4, #0xed1
0xfffffff008f3e058: e92300a9  stp	x9, x8, [sp]
0xfffffff008f3e05c: e00313aa  mov	x0, x19
