; Candidate 10597
; ADRP+ADD at VM 0xfffffff008ddf254 (fileoff 0x1ddb254): page=0x1fe5e5000 add_imm=0xe15

0xfffffff008ddf1d4: ea0300f9  str	x10, [sp]
0xfffffff008ddf1d8: 202fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008ddf1dc: 00543891  add	x0, x0, #0xe15
0xfffffff008ddf1e0: 90dfd597  bl	#0xfffffff008357020
0xfffffff008ddf1e4: 16008052  mov	w22, #0
0xfffffff008ddf1e8: 150080d2  mov	x21, #0
0xfffffff008ddf1ec: deffff17  b	#0xfffffff008ddf164
0xfffffff008ddf1f0: 28108052  mov	w8, #0x81
0xfffffff008ddf1f4: f6a301a9  stp	x22, x8, [sp, #0x18]
0xfffffff008ddf1f8: 282fffb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008ddf1fc: 08493991  add	x8, x8, #0xe52
0xfffffff008ddf200: 092fffd0  adrp	x9, #0xfffffff0073c1000
0xfffffff008ddf204: 29bd1591  add	x9, x9, #0x56f
0xfffffff008ddf208: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008ddf20c: e90300f9  str	x9, [sp]
0xfffffff008ddf210: 202fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008ddf214: 00543891  add	x0, x0, #0xe15
0xfffffff008ddf218: 82dfd597  bl	#0xfffffff008357020
0xfffffff008ddf21c: c8088052  mov	w8, #0x46
0xfffffff008ddf220: 76008012  mov	w22, #-4
0xfffffff008ddf224: d1ffff17  b	#0xfffffff008ddf168
0xfffffff008ddf228: e87e4093  sxtw	x8, w23
0xfffffff008ddf22c: 090e8052  mov	w9, #0x70
0xfffffff008ddf230: 0a2fffd0  adrp	x10, #0xfffffff0073c1000
0xfffffff008ddf234: 4a490d91  add	x10, x10, #0x352
0xfffffff008ddf238: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008ddf23c: 292fffb0  adrp	x9, #0xfffffff0073c4000
0xfffffff008ddf240: 29493991  add	x9, x9, #0xe52
0xfffffff008ddf244: 2b2fffb0  adrp	x11, #0xfffffff0073c4000
0xfffffff008ddf248: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008ddf24c: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008ddf250: eb0300f9  str	x11, [sp]
0xfffffff008ddf254: 202fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008ddf258: 00543891  add	x0, x0, #0xe15
0xfffffff008ddf25c: 71dfd597  bl	#0xfffffff008357020
0xfffffff008ddf260: 150080d2  mov	x21, #0
0xfffffff008ddf264: c8088052  mov	w8, #0x46
0xfffffff008ddf268: f60317aa  mov	x22, x23
0xfffffff008ddf26c: bfffff17  b	#0xfffffff008ddf168
0xfffffff008ddf270: f60300aa  mov	x22, x0
0xfffffff008ddf274: c87e4093  sxtw	x8, w22
0xfffffff008ddf278: 490f8052  mov	w9, #0x7a
0xfffffff008ddf27c: 0a2fffd0  adrp	x10, #0xfffffff0073c1000
0xfffffff008ddf280: 4a490d91  add	x10, x10, #0x352
0xfffffff008ddf284: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008ddf288: 292fffb0  adrp	x9, #0xfffffff0073c4000
0xfffffff008ddf28c: 29493991  add	x9, x9, #0xe52
0xfffffff008ddf290: 2b2fffb0  adrp	x11, #0xfffffff0073c4000
0xfffffff008ddf294: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008ddf298: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008ddf29c: eb0300f9  str	x11, [sp]
0xfffffff008ddf2a0: 202fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008ddf2a4: 00543891  add	x0, x0, #0xe15
0xfffffff008ddf2a8: 5edfd597  bl	#0xfffffff008357020
0xfffffff008ddf2ac: 0f000014  b	#0xfffffff008ddf2e8
0xfffffff008ddf2b0: 680f8052  mov	w8, #0x7b
0xfffffff008ddf2b4: 092fffd0  adrp	x9, #0xfffffff0073c1000
0xfffffff008ddf2b8: 29490d91  add	x9, x9, #0x352
0xfffffff008ddf2bc: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008ddf2c0: 282fffb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008ddf2c4: 08493991  add	x8, x8, #0xe52
0xfffffff008ddf2c8: 0a2fffd0  adrp	x10, #0xfffffff0073c1000
0xfffffff008ddf2cc: 4a211791  add	x10, x10, #0x5c8
0xfffffff008ddf2d0: ffa300a9  stp	xzr, x8, [sp, #8]
