; Candidate 15538
; ADRP+ADD at VM 0xfffffff009c17c5c (fileoff 0x2c13c5c): page=0x1fda2b000 add_imm=0xe1a

0xfffffff009c17bdc: b0d88a97  bl	#0xfffffff007ecde9c
0xfffffff009c17be0: 1f040071  cmp	w0, #1
0xfffffff009c17be4: 41040054  b.ne	#0xfffffff009c17c6c
0xfffffff009c17be8: 700240f9  ldr	x16, [x19]
0xfffffff009c17bec: f10313aa  mov	x17, x19
0xfffffff009c17bf0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c17bf4: 301ac1da  autda	x16, x17
0xfffffff009c17bf8: 113d80d2  mov	x17, #0x1e8
0xfffffff009c17bfc: 1002118b  add	x16, x16, x17
0xfffffff009c17c00: 080240f9  ldr	x8, [x16]
0xfffffff009c17c04: e90310aa  mov	x9, x16
0xfffffff009c17c08: e00313aa  mov	x0, x19
0xfffffff009c17c0c: 010080d2  mov	x1, #0
0xfffffff009c17c10: f10309aa  mov	x17, x9
0xfffffff009c17c14: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009c17c18: 11093fd7  blraa	x8, x17
0xfffffff009c17c1c: fa0300aa  mov	x26, x0
0xfffffff009c17c20: 700240f9  ldr	x16, [x19]
0xfffffff009c17c24: f10313aa  mov	x17, x19
0xfffffff009c17c28: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c17c2c: 301ac1da  autda	x16, x17
0xfffffff009c17c30: 114380d2  mov	x17, #0x218
0xfffffff009c17c34: 1002118b  add	x16, x16, x17
0xfffffff009c17c38: 080240f9  ldr	x8, [x16]
0xfffffff009c17c3c: e90310aa  mov	x9, x16
0xfffffff009c17c40: e00313aa  mov	x0, x19
0xfffffff009c17c44: 010080d2  mov	x1, #0
0xfffffff009c17c48: f10309aa  mov	x17, x9
0xfffffff009c17c4c: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009c17c50: 11093fd7  blraa	x8, x17
0xfffffff009c17c54: fb6301a9  stp	x27, x24, [sp, #0x10]
0xfffffff009c17c58: fa0300a9  stp	x26, x0, [sp]
0xfffffff009c17c5c: 40d1fef0  adrp	x0, #0xfffffff007642000
0xfffffff009c17c60: 00683891  add	x0, x0, #0xe1a
0xfffffff009c17c64: effc9c97  bl	#0xfffffff008357020
0xfffffff009c17c68: 47000014  b	#0xfffffff009c17d84
0xfffffff009c17c6c: a8027c92  and	x8, x21, #0x10
0xfffffff009c17c70: 08fd43d3  lsr	x8, x8, #3
0xfffffff009c17c74: 1a011f52  eor	w26, w8, #2
0xfffffff009c17c78: 700240f9  ldr	x16, [x19]
0xfffffff009c17c7c: f10313aa  mov	x17, x19
0xfffffff009c17c80: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c17c84: 301ac1da  autda	x16, x17
0xfffffff009c17c88: 113d80d2  mov	x17, #0x1e8
0xfffffff009c17c8c: 1002118b  add	x16, x16, x17
0xfffffff009c17c90: 080240f9  ldr	x8, [x16]
0xfffffff009c17c94: e90310aa  mov	x9, x16
0xfffffff009c17c98: e00313aa  mov	x0, x19
0xfffffff009c17c9c: 010080d2  mov	x1, #0
0xfffffff009c17ca0: f10309aa  mov	x17, x9
0xfffffff009c17ca4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009c17ca8: 11093fd7  blraa	x8, x17
0xfffffff009c17cac: 700240f9  ldr	x16, [x19]
0xfffffff009c17cb0: f10313aa  mov	x17, x19
0xfffffff009c17cb4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c17cb8: 301ac1da  autda	x16, x17
0xfffffff009c17cbc: 114380d2  mov	x17, #0x218
0xfffffff009c17cc0: 1002118b  add	x16, x16, x17
0xfffffff009c17cc4: 080240f9  ldr	x8, [x16]
0xfffffff009c17cc8: e90310aa  mov	x9, x16
0xfffffff009c17ccc: e00313aa  mov	x0, x19
0xfffffff009c17cd0: 010080d2  mov	x1, #0
0xfffffff009c17cd4: f10309aa  mov	x17, x9
0xfffffff009c17cd8: 11a8e6f2  movk	x17, #0x3540, lsl #48
