; Candidate 16781
; ADRP+ADD at VM 0xfffffff009f5b448 (fileoff 0x2f57448): page=0x1fd90a000 add_imm=0xd06

0xfffffff009f5b3c8: 00020034  cbz	w0, #0xfffffff009f5b408
0xfffffff009f5b3cc: 083e8452  mov	w8, #0x21f0
0xfffffff009f5b3d0: 6802088b  add	x8, x19, x8
0xfffffff009f5b3d4: 890640f9  ldr	x9, [x20, #8]
0xfffffff009f5b3d8: e98301a9  stp	x9, x0, [sp, #0x18]
0xfffffff009f5b3dc: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009f5b3e0: 48c8fed0  adrp	x8, #0xfffffff007865000
0xfffffff009f5b3e4: 08b53391  add	x8, x8, #0xced
0xfffffff009f5b3e8: 49998052  mov	w9, #0x4ca
0xfffffff009f5b3ec: e82700a9  stp	x8, x9, [sp]
0xfffffff009f5b3f0: 40c8fed0  adrp	x0, #0xfffffff007865000
0xfffffff009f5b3f4: 00b83291  add	x0, x0, #0xcae
0xfffffff009f5b3f8: 3391fc97  bl	#0xfffffff009e7f8c4
0xfffffff009f5b3fc: e00314aa  mov	x0, x20
0xfffffff009f5b400: 271bfe97  bl	#0xfffffff009ee209c
0xfffffff009f5b404: 18000014  b	#0xfffffff009f5b464
0xfffffff009f5b408: e01740f9  ldr	x0, [sp, #0x28]
0xfffffff009f5b40c: 801200f9  str	x0, [x20, #0x20]
0xfffffff009f5b410: 21038052  mov	w1, #0x19
0xfffffff009f5b414: c27e7f97  bl	#0xfffffff007f3af1c
0xfffffff009f5b418: e01740f9  ldr	x0, [sp, #0x28]
0xfffffff009f5b41c: 5ec87e97  bl	#0xfffffff007f0d594
0xfffffff009f5b420: c0030034  cbz	w0, #0xfffffff009f5b498
0xfffffff009f5b424: 083e8452  mov	w8, #0x21f0
0xfffffff009f5b428: 6802088b  add	x8, x19, x8
0xfffffff009f5b42c: 890640f9  ldr	x9, [x20, #8]
0xfffffff009f5b430: e98301a9  stp	x9, x0, [sp, #0x18]
0xfffffff009f5b434: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009f5b438: 48c8fed0  adrp	x8, #0xfffffff007865000
0xfffffff009f5b43c: 08b53391  add	x8, x8, #0xced
0xfffffff009f5b440: 699a8052  mov	w9, #0x4d3
0xfffffff009f5b444: e82700a9  stp	x8, x9, [sp]
0xfffffff009f5b448: 40c8fed0  adrp	x0, #0xfffffff007865000
0xfffffff009f5b44c: 00183491  add	x0, x0, #0xd06
0xfffffff009f5b450: 1d91fc97  bl	#0xfffffff009e7f8c4
0xfffffff009f5b454: e01740f9  ldr	x0, [sp, #0x28]
0xfffffff009f5b458: 6ccb7e97  bl	#0xfffffff007f0e208
0xfffffff009f5b45c: e01740f9  ldr	x0, [sp, #0x28]
0xfffffff009f5b460: b0b87e97  bl	#0xfffffff007f09720
0xfffffff009f5b464: 000080d2  mov	x0, #0
0xfffffff009f5b468: a8835cf8  ldur	x8, [x29, #-0x38]
0xfffffff009f5b46c: 89eefef0  adrp	x9, #0xfffffff007d2e000
0xfffffff009f5b470: 29d147f9  ldr	x9, [x9, #0xfa0]
0xfffffff009f5b474: 290140f9  ldr	x9, [x9]
0xfffffff009f5b478: 3f0108eb  cmp	x9, x8
0xfffffff009f5b47c: 21010054  b.ne	#0xfffffff009f5b4a0
0xfffffff009f5b480: fd7b55a9  ldp	x29, x30, [sp, #0x150]
0xfffffff009f5b484: f44f54a9  ldp	x20, x19, [sp, #0x140]
0xfffffff009f5b488: f65753a9  ldp	x22, x21, [sp, #0x130]
0xfffffff009f5b48c: f85f52a9  ldp	x24, x23, [sp, #0x120]
0xfffffff009f5b490: ff830591  add	sp, sp, #0x160
0xfffffff009f5b494: ff0f5fd6  retab	
0xfffffff009f5b498: e01740f9  ldr	x0, [sp, #0x28]
0xfffffff009f5b49c: f3ffff17  b	#0xfffffff009f5b468
0xfffffff009f5b4a0: 6b0a7897  bl	#0xfffffff007d5de4c
0xfffffff009f5b4a4: 7f2303d5  pacibsp	
0xfffffff009f5b4a8: ff4302d1  sub	sp, sp, #0x90
0xfffffff009f5b4ac: fc6f03a9  stp	x28, x27, [sp, #0x30]
0xfffffff009f5b4b0: fa6704a9  stp	x26, x25, [sp, #0x40]
0xfffffff009f5b4b4: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff009f5b4b8: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff009f5b4bc: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff009f5b4c0: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff009f5b4c4: fd030291  add	x29, sp, #0x80
