; Candidate 4914
; ADRP+ADD at VM 0xfffffff0087ccfe8 (fileoff 0x17c8fe8): page=0x1fea1d000 add_imm=0xe80

0xfffffff0087ccf68: e1008052  mov	w1, #7
0xfffffff0087ccf6c: 19ba0294  bl	#0xfffffff00887b7d0
0xfffffff0087ccf70: d3230034  cbz	w19, #0xfffffff0087cd3e8
0xfffffff0087ccf74: 00280034  cbz	w0, #0xfffffff0087cd474
0xfffffff0087ccf78: a00f8052  mov	w0, #0x7d
0xfffffff0087ccf7c: 27ba0294  bl	#0xfffffff00887b818
0xfffffff0087ccf80: f40300aa  mov	x20, x0
0xfffffff0087ccf84: 8a9c0394  bl	#0xfffffff0088b41ac
0xfffffff0087ccf88: f50300aa  mov	x21, x0
0xfffffff0087ccf8c: e0008052  mov	w0, #7
0xfffffff0087ccf90: 30ba0294  bl	#0xfffffff00887b850
0xfffffff0087ccf94: d4240034  cbz	w20, #0xfffffff0087cd42c
0xfffffff0087ccf98: 681b40b9  ldr	w8, [x27, #0x18]
0xfffffff0087ccf9c: 69774bb9  ldr	w9, [x27, #0xb74]
0xfffffff0087ccfa0: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087ccfa4: a80f8052  mov	w8, #0x7d
0xfffffff0087ccfa8: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087ccfac: f50300f9  str	x21, [sp]
0xfffffff0087ccfb0: 2052ff90  adrp	x0, #0xfffffff007210000
0xfffffff0087ccfb4: 002c1791  add	x0, x0, #0x5cb
0xfffffff0087ccfb8: 2aa9d797  bl	#0xfffffff007db7460
0xfffffff0087ccfbc: 2e010014  b	#0xfffffff0087cd474
0xfffffff0087ccfc0: 7b9c0394  bl	#0xfffffff0088b41ac
0xfffffff0087ccfc4: f40300aa  mov	x20, x0
0xfffffff0087ccfc8: e0008052  mov	w0, #7
0xfffffff0087ccfcc: 21ba0294  bl	#0xfffffff00887b850
0xfffffff0087ccfd0: 681b40b9  ldr	w8, [x27, #0x18]
0xfffffff0087ccfd4: 490b40b9  ldr	w9, [x26, #8]
0xfffffff0087ccfd8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087ccfdc: a80f8052  mov	w8, #0x7d
0xfffffff0087ccfe0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087ccfe4: f40300f9  str	x20, [sp]
0xfffffff0087ccfe8: e050ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087ccfec: 00003a91  add	x0, x0, #0xe80
0xfffffff0087ccff0: e191ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087ccff4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087ccff8: 6353ffb0  adrp	x3, #0xfffffff007239000
0xfffffff0087ccffc: 633c1991  add	x3, x3, #0x64f
0xfffffff0087cd000: 02008052  mov	w2, #0
0xfffffff0087cd004: 4b98ed97  bl	#0xfffffff008333130
0xfffffff0087cd008: ebfcff17  b	#0xfffffff0087cc3b4
0xfffffff0087cd00c: 689c0394  bl	#0xfffffff0088b41ac
0xfffffff0087cd010: f40300aa  mov	x20, x0
0xfffffff0087cd014: e0008052  mov	w0, #7
0xfffffff0087cd018: 0eba0294  bl	#0xfffffff00887b850
0xfffffff0087cd01c: 680740b9  ldr	w8, [x27, #4]
0xfffffff0087cd020: 69734bb9  ldr	w9, [x27, #0xb70]
0xfffffff0087cd024: 08050051  sub	w8, w8, #1
0xfffffff0087cd028: 2801080a  and	w8, w9, w8
0xfffffff0087cd02c: 693351f9  ldr	x9, [x27, #0x2260]
0xfffffff0087cd030: 6a1b40b9  ldr	w10, [x27, #0x18]
0xfffffff0087cd034: 4b0b40b9  ldr	w11, [x26, #8]
0xfffffff0087cd038: 291540b9  ldr	w9, [x9, #0x14]
0xfffffff0087cd03c: e8a702a9  stp	x8, x9, [sp, #0x28]
0xfffffff0087cd040: eaaf01a9  stp	x10, x11, [sp, #0x18]
0xfffffff0087cd044: a80f8052  mov	w8, #0x7d
0xfffffff0087cd048: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087cd04c: f40300f9  str	x20, [sp]
0xfffffff0087cd050: e050ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087cd054: 00003a91  add	x0, x0, #0xe80
0xfffffff0087cd058: c191fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087cd05c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087cd060: 6353ff90  adrp	x3, #0xfffffff007239000
0xfffffff0087cd064: 63441a91  add	x3, x3, #0x691
