; Candidate 995
; ADRP+ADD at VM 0xfffffff00815f7d8 (fileoff 0x115b7d8): page=0x1fef20000 add_imm=0xd19

0xfffffff00815f758: 0979ff90  adrp	x9, #0xfffffff00707f000
0xfffffff00815f75c: 29f13591  add	x9, x9, #0xd7c
0xfffffff00815f760: e90300f9  str	x9, [sp]
0xfffffff00815f764: 6075ffb0  adrp	x0, #0xfffffff00700c000
0xfffffff00815f768: 00000091  add	x0, x0, #0
0xfffffff00815f76c: c10501f0  adrp	x1, #0xfffffff00a21a000
0xfffffff00815f770: 21502f91  add	x1, x1, #0xbd4
0xfffffff00815f774: 237bffd0  adrp	x3, #0xfffffff0070c5000
0xfffffff00815f778: 63e03891  add	x3, x3, #0xe38
0xfffffff00815f77c: 42008052  mov	w2, #2
0xfffffff00815f780: 6c4e0794  bl	#0xfffffff008333130
0xfffffff00815f784: bfffff17  b	#0xfffffff00815f680
0xfffffff00815f788: 800501b0  adrp	x0, #0xfffffff00a210000
0xfffffff00815f78c: 00202791  add	x0, x0, #0x9c8
0xfffffff00815f790: e10315aa  mov	x1, x21
0xfffffff00815f794: 02008052  mov	w2, #0
0xfffffff00815f798: d830f197  bl	#0xfffffff007dabaf8
0xfffffff00815f79c: afffff17  b	#0xfffffff00815f658
0xfffffff00815f7a0: 800501b0  adrp	x0, #0xfffffff00a210000
0xfffffff00815f7a4: 00202791  add	x0, x0, #0x9c8
0xfffffff00815f7a8: e10315aa  mov	x1, x21
0xfffffff00815f7ac: ee33f197  bl	#0xfffffff007dac764
0xfffffff00815f7b0: b3ffff17  b	#0xfffffff00815f67c
0xfffffff00815f7b4: 800501b0  adrp	x0, #0xfffffff00a210000
0xfffffff00815f7b8: 00202791  add	x0, x0, #0x9c8
0xfffffff00815f7bc: e10315aa  mov	x1, x21
0xfffffff00815f7c0: e933f197  bl	#0xfffffff007dac764
0xfffffff00815f7c4: deffff17  b	#0xfffffff00815f73c
0xfffffff00815f7c8: 0879ff90  adrp	x8, #0xfffffff00707f000
0xfffffff00815f7cc: 08153591  add	x8, x8, #0xd45
0xfffffff00815f7d0: a95a8052  mov	w9, #0x2d5
0xfffffff00815f7d4: e82700a9  stp	x8, x9, [sp]
0xfffffff00815f7d8: 0079ff90  adrp	x0, #0xfffffff00707f000
0xfffffff00815f7dc: 00643491  add	x0, x0, #0xd19
0xfffffff00815f7e0: 4bd30c94  bl	#0xfffffff00849450c
0xfffffff00815f7e4: 0879ff90  adrp	x8, #0xfffffff00707f000
0xfffffff00815f7e8: 08153591  add	x8, x8, #0xd45
0xfffffff00815f7ec: c95b8052  mov	w9, #0x2de
0xfffffff00815f7f0: e82700a9  stp	x8, x9, [sp]
0xfffffff00815f7f4: 0079ff90  adrp	x0, #0xfffffff00707f000
0xfffffff00815f7f8: 002c3591  add	x0, x0, #0xd4b
0xfffffff00815f7fc: 44d30c94  bl	#0xfffffff00849450c
0xfffffff00815f800: 7f2303d5  pacibsp	
0xfffffff00815f804: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff00815f808: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff00815f80c: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff00815f810: fd830091  add	x29, sp, #0x20
0xfffffff00815f814: 080001aa  orr	x8, x0, x1
0xfffffff00815f818: 680000b5  cbnz	x8, #0xfffffff00815f824
0xfffffff00815f81c: 20008052  mov	w0, #1
0xfffffff00815f820: 9f000014  b	#0xfffffff00815fa9c
0xfffffff00815f824: f30300aa  mov	x19, x0
0xfffffff00815f828: 00008052  mov	w0, #0
0xfffffff00815f82c: 931300b4  cbz	x19, #0xfffffff00815fa9c
0xfffffff00815f830: f40301aa  mov	x20, x1
0xfffffff00815f834: 411300b4  cbz	x1, #0xfffffff00815fa9c
0xfffffff00815f838: 69624439  ldrb	w9, [x19, #0x118]
0xfffffff00815f83c: 3f010071  cmp	w9, #0
0xfffffff00815f840: 28238052  mov	w8, #0x119
0xfffffff00815f844: 2a018052  mov	w10, #9
0xfffffff00815f848: 4801889a  csel	x8, x10, x8, eq
0xfffffff00815f84c: 686a6838  ldrb	w8, [x19, x8]
0xfffffff00815f850: 8a264039  ldrb	w10, [x20, #9]
0xfffffff00815f854: 1f010a6b  cmp	w8, w10
