; Candidate 8419
; ADRP+ADD at VM 0xfffffff0088a9a3c (fileoff 0x18a5a3c): page=0x1fe940000 add_imm=0xe80

0xfffffff0088a99bc: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0088a99c0: 484cffb0  adrp	x8, #0xfffffff007232000
0xfffffff0088a99c4: 08153f91  add	x8, x8, #0xfc5
0xfffffff0088a99c8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088a99cc: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088a99d0: c80f8052  mov	w8, #0x7e
0xfffffff0088a99d4: 404cffd0  adrp	x0, #0xfffffff007233000
0xfffffff0088a99d8: 00000291  add	x0, x0, #0x80
0xfffffff0088a99dc: f82300a9  stp	x24, x8, [sp]
0xfffffff0088a99e0: a036d497  bl	#0xfffffff007db7460
0xfffffff0088a99e4: 92000014  b	#0xfffffff0088a9c2c
0xfffffff0088a99e8: f1290094  bl	#0xfffffff0088b41ac
0xfffffff0088a99ec: f80300aa  mov	x24, x0
0xfffffff0088a99f0: 80008052  mov	w0, #4
0xfffffff0088a99f4: 9747ff97  bl	#0xfffffff00887b850
0xfffffff0088a99f8: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff0088a99fc: f6a304a9  stp	x22, x8, [sp, #0x48]
0xfffffff0088a9a00: e80317aa  mov	x8, x23
0xfffffff0088a9a04: e82300f9  str	x8, [sp, #0x40]
0xfffffff0088a9a08: e80314aa  mov	x8, x20
0xfffffff0088a9a0c: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0088a9a10: 484cffd0  adrp	x8, #0xfffffff007233000
0xfffffff0088a9a14: 08710091  add	x8, x8, #0x1c
0xfffffff0088a9a18: 292a8052  mov	w9, #0x151
0xfffffff0088a9a1c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088a9a20: 484cffb0  adrp	x8, #0xfffffff007232000
0xfffffff0088a9a24: 08153f91  add	x8, x8, #0xfc5
0xfffffff0088a9a28: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a9a2c: c80f8052  mov	w8, #0x7e
0xfffffff0088a9a30: c34dffd0  adrp	x3, #0xfffffff007263000
0xfffffff0088a9a34: 63c40391  add	x3, x3, #0xf1
0xfffffff0088a9a38: f82300a9  stp	x24, x8, [sp]
0xfffffff0088a9a3c: 004aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a9a40: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a9a44: e18afff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088a9a48: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a9a4c: 02008052  mov	w2, #0
0xfffffff0088a9a50: b825ea97  bl	#0xfffffff008333130
0xfffffff0088a9a54: 187d8012  mov	w24, #-0x3e9
0xfffffff0088a9a58: 7c000014  b	#0xfffffff0088a9c48
0xfffffff0088a9a5c: d4290094  bl	#0xfffffff0088b41ac
0xfffffff0088a9a60: f80300aa  mov	x24, x0
0xfffffff0088a9a64: 00018052  mov	w0, #8
0xfffffff0088a9a68: 7a47ff97  bl	#0xfffffff00887b850
0xfffffff0088a9a6c: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff0088a9a70: a9035af8  ldur	x9, [x29, #-0x60]
0xfffffff0088a9a74: e95b04a9  stp	x9, x22, [sp, #0x40]
0xfffffff0088a9a78: e90314aa  mov	x9, x20
0xfffffff0088a9a7c: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff0088a9a80: 88308052  mov	w8, #0x184
0xfffffff0088a9a84: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088a9a88: 484cffb0  adrp	x8, #0xfffffff007232000
0xfffffff0088a9a8c: 08153f91  add	x8, x8, #0xfc5
0xfffffff0088a9a90: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a9a94: c80f8052  mov	w8, #0x7e
0xfffffff0088a9a98: f82300a9  stp	x24, x8, [sp]
0xfffffff0088a9a9c: 004aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a9aa0: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a9aa4: e18afff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088a9aa8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a9aac: c34dffd0  adrp	x3, #0xfffffff007263000
0xfffffff0088a9ab0: 63c80591  add	x3, x3, #0x172
0xfffffff0088a9ab4: 02008052  mov	w2, #0
0xfffffff0088a9ab8: 9e25ea97  bl	#0xfffffff008333130
