; Candidate 4622
; ADRP+ADD at VM 0xfffffff0087be0bc (fileoff 0x17ba0bc): page=0x1fe973000 add_imm=0xd90

0xfffffff0087be03c: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087be040: 0909188b  add	x9, x8, x24, lsl #2
0xfffffff0087be044: 299d86b9  ldrsw	x9, [x9, #0x69c]
0xfffffff0087be048: 3f050031  cmn	w9, #1
0xfffffff0087be04c: 000e0054  b.eq	#0xfffffff0087be20c
0xfffffff0087be050: 080d098b  add	x8, x8, x9, lsl #3
0xfffffff0087be054: 089d43f9  ldr	x8, [x8, #0x738]
0xfffffff0087be058: a80d00b4  cbz	x8, #0xfffffff0087be20c
0xfffffff0087be05c: 7f070031  cmn	w27, #1
0xfffffff0087be060: 600d0054  b.eq	#0xfffffff0087be20c
0xfffffff0087be064: 492b40b9  ldr	w9, [x26, #0x28]
0xfffffff0087be068: 290d0034  cbz	w9, #0xfffffff0087be20c
0xfffffff0087be06c: 160540b9  ldr	w22, [x8, #4]
0xfffffff0087be070: 542f40b9  ldr	w20, [x26, #0x2c]
0xfffffff0087be074: 7401f836  tbz	w20, #0x1f, #0xfffffff0087be0a0
0xfffffff0087be078: 08a48152  mov	w8, #0xd20
0xfffffff0087be07c: f52300a9  stp	x21, x8, [sp]
0xfffffff0087be080: 804bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087be084: 00403691  add	x0, x0, #0xd90
0xfffffff0087be088: e191fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087be08c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087be090: 02008052  mov	w2, #0
0xfffffff0087be094: 634cfff0  adrp	x3, #0xfffffff00714d000
0xfffffff0087be098: 638c0f91  add	x3, x3, #0x3e3
0xfffffff0087be09c: 25d4ed97  bl	#0xfffffff008333130
0xfffffff0087be0a0: 88060011  add	w8, w20, #1
0xfffffff0087be0a4: 3c23c81a  lsl	w28, w25, w8
0xfffffff0087be0a8: 7600f837  tbnz	w22, #0x1f, #0xfffffff0087be0b4
0xfffffff0087be0ac: 9f03166b  cmp	w28, w22
0xfffffff0087be0b0: 6c010054  b.gt	#0xfffffff0087be0dc
0xfffffff0087be0b4: 28a48152  mov	w8, #0xd21
0xfffffff0087be0b8: f52300a9  stp	x21, x8, [sp]
0xfffffff0087be0bc: 804bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087be0c0: 00403691  add	x0, x0, #0xd90
0xfffffff0087be0c4: e191fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087be0c8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087be0cc: 02008052  mov	w2, #0
0xfffffff0087be0d0: 634cfff0  adrp	x3, #0xfffffff00714d000
0xfffffff0087be0d4: 63581091  add	x3, x3, #0x416
0xfffffff0087be0d8: 16d4ed97  bl	#0xfffffff008333130
0xfffffff0087be0dc: f9031baa  mov	x25, x27
0xfffffff0087be0e0: 7b00f837  tbnz	w27, #0x1f, #0xfffffff0087be0ec
0xfffffff0087be0e4: 9f03196b  cmp	w28, w25
0xfffffff0087be0e8: 6c010054  b.gt	#0xfffffff0087be114
0xfffffff0087be0ec: 48a48152  mov	w8, #0xd22
0xfffffff0087be0f0: f52300a9  stp	x21, x8, [sp]
0xfffffff0087be0f4: 804bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087be0f8: 00403691  add	x0, x0, #0xd90
0xfffffff0087be0fc: e191fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087be100: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087be104: 02008052  mov	w2, #0
0xfffffff0087be108: 634cfff0  adrp	x3, #0xfffffff00714d000
0xfffffff0087be10c: 63241191  add	x3, x3, #0x449
0xfffffff0087be110: 08d4ed97  bl	#0xfffffff008333130
0xfffffff0087be114: c802194b  sub	w8, w22, w25
0xfffffff0087be118: 39008052  mov	w25, #1
0xfffffff0087be11c: 2923d41a  lsl	w9, w25, w20
0xfffffff0087be120: 2a050051  sub	w10, w9, #1
0xfffffff0087be124: 4a01080a  and	w10, w10, w8
0xfffffff0087be128: 2801080a  and	w8, w9, w8
0xfffffff0087be12c: 5f01086b  cmp	w10, w8
0xfffffff0087be130: ea060054  b.ge	#0xfffffff0087be20c
0xfffffff0087be134: ff060031  cmn	w23, #1
0xfffffff0087be138: 40060054  b.eq	#0xfffffff0087be200
