; Candidate 8523
; ADRP+ADD at VM 0xfffffff0088af550 (fileoff 0x18ab550): page=0x1fe93a000 add_imm=0xe80

0xfffffff0088af4d0: eb03172a  mov	w11, w23
0xfffffff0088af4d4: 28411ff8  stur	x8, [x9, #-0xc]
0xfffffff0088af4d8: 6b0500f1  subs	x11, x11, #1
0xfffffff0088af4dc: ec079f1a  cset	w12, ne
0xfffffff0088af4e0: 2ab13f29  stp	w10, w12, [x9, #-4]
0xfffffff0088af4e4: 29410091  add	x9, x9, #0x10
0xfffffff0088af4e8: 08050091  add	x8, x8, #1
0xfffffff0088af4ec: 4a050011  add	w10, w10, #1
0xfffffff0088af4f0: 2bffffb5  cbnz	x11, #0xfffffff0088af4d4
0xfffffff0088af4f4: 17008052  mov	w23, #0
0xfffffff0088af4f8: 9f5200b9  str	wzr, [x20, #0x50]
0xfffffff0088af4fc: 084aff90  adrp	x8, #0xfffffff0071ef000
0xfffffff0088af500: 005940fd  ldr	d0, [x8, #0xb0]
0xfffffff0088af504: 800200fd  str	d0, [x20]
0xfffffff0088af508: 1b000014  b	#0xfffffff0088af574
0xfffffff0088af50c: 28130094  bl	#0xfffffff0088b41ac
0xfffffff0088af510: f70300aa  mov	x23, x0
0xfffffff0088af514: 80008052  mov	w0, #4
0xfffffff0088af518: ce30ff97  bl	#0xfffffff00887b850
0xfffffff0088af51c: e80316aa  mov	x8, x22
0xfffffff0088af520: e85304a9  stp	x8, x20, [sp, #0x40]
0xfffffff0088af524: e80315aa  mov	x8, x21
0xfffffff0088af528: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0088af52c: 284cffb0  adrp	x8, #0xfffffff007234000
0xfffffff0088af530: 08f90791  add	x8, x8, #0x1fe
0xfffffff0088af534: 89d18052  mov	w9, #0x68c
0xfffffff0088af538: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088af53c: 284cffb0  adrp	x8, #0xfffffff007234000
0xfffffff0088af540: 08c10691  add	x8, x8, #0x1b0
0xfffffff0088af544: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088af548: c80f8052  mov	w8, #0x7e
0xfffffff0088af54c: f72300a9  stp	x23, x8, [sp]
0xfffffff0088af550: c049ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088af554: 00003a91  add	x0, x0, #0xe80
0xfffffff0088af558: c18affb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088af55c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088af560: a34dffb0  adrp	x3, #0xfffffff007264000
0xfffffff0088af564: 63bc0a91  add	x3, x3, #0x2af
0xfffffff0088af568: 02008052  mov	w2, #0
0xfffffff0088af56c: f10eea97  bl	#0xfffffff008333130
0xfffffff0088af570: 177d8012  mov	w23, #-0x3e9
0xfffffff0088af574: c00f8052  mov	w0, #0x7e
0xfffffff0088af578: e1008052  mov	w1, #7
0xfffffff0088af57c: 9530ff97  bl	#0xfffffff00887b7d0
0xfffffff0088af580: 40050034  cbz	w0, #0xfffffff0088af628
0xfffffff0088af584: c00f8052  mov	w0, #0x7e
0xfffffff0088af588: a430ff97  bl	#0xfffffff00887b818
0xfffffff0088af58c: f90300aa  mov	x25, x0
0xfffffff0088af590: 07130094  bl	#0xfffffff0088b41ac
0xfffffff0088af594: f80300aa  mov	x24, x0
0xfffffff0088af598: e0008052  mov	w0, #7
0xfffffff0088af59c: ad30ff97  bl	#0xfffffff00887b850
0xfffffff0088af5a0: b9010034  cbz	w25, #0xfffffff0088af5d4
0xfffffff0088af5a4: f4df03a9  stp	x20, x23, [sp, #0x38]
0xfffffff0088af5a8: f5db02a9  stp	x21, x22, [sp, #0x28]
0xfffffff0088af5ac: 284cffb0  adrp	x8, #0xfffffff007234000
0xfffffff0088af5b0: 08c10691  add	x8, x8, #0x1b0
0xfffffff0088af5b4: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088af5b8: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088af5bc: c80f8052  mov	w8, #0x7e
0xfffffff0088af5c0: 204cffb0  adrp	x0, #0xfffffff007234000
0xfffffff0088af5c4: 00880891  add	x0, x0, #0x222
0xfffffff0088af5c8: f82300a9  stp	x24, x8, [sp]
0xfffffff0088af5cc: a51fd497  bl	#0xfffffff007db7460
