; Candidate 952
; ADRP+ADD at VM 0xfffffff00811bb0c (fileoff 0x1117b0c): page=0x20fc000 add_imm=0xda8

0xfffffff00811ba8c: 8b2e4039  ldrb	w11, [x20, #0xb]
0xfffffff00811ba90: 8c324039  ldrb	w12, [x20, #0xc]
0xfffffff00811ba94: 8d364039  ldrb	w13, [x20, #0xd]
0xfffffff00811ba98: 8e3a4039  ldrb	w14, [x20, #0xe]
0xfffffff00811ba9c: 8f3e4039  ldrb	w15, [x20, #0xf]
0xfffffff00811baa0: 701240f9  ldr	x16, [x19, #0x20]
0xfffffff00811baa4: eebf03a9  stp	x14, x15, [sp, #0x38]
0xfffffff00811baa8: ecb702a9  stp	x12, x13, [sp, #0x28]
0xfffffff00811baac: eaaf01a9  stp	x10, x11, [sp, #0x18]
0xfffffff00811bab0: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff00811bab4: f00300f9  str	x16, [sp]
0xfffffff00811bab8: 8077ffb0  adrp	x0, #0xfffffff00700c000
0xfffffff00811babc: 00000091  add	x0, x0, #0
0xfffffff00811bac0: e10701f0  adrp	x1, #0xfffffff00a21a000
0xfffffff00811bac4: 21502f91  add	x1, x1, #0xbd4
0xfffffff00811bac8: 237dfff0  adrp	x3, #0xfffffff0070c2000
0xfffffff00811bacc: 638c0c91  add	x3, x3, #0x323
0xfffffff00811bad0: 22008052  mov	w2, #1
0xfffffff00811bad4: 975d0894  bl	#0xfffffff008333130
0xfffffff00811bad8: a8835bf8  ldur	x8, [x29, #-0x48]
0xfffffff00811badc: 69050190  adrp	x9, #0xfffffff00a1c7000
0xfffffff00811bae0: 29010091  add	x9, x9, #0
0xfffffff00811bae4: 290140f9  ldr	x9, [x9]
0xfffffff00811bae8: 3f0108eb  cmp	x9, x8
0xfffffff00811baec: 61020054  b.ne	#0xfffffff00811bb38
0xfffffff00811baf0: fd7b53a9  ldp	x29, x30, [sp, #0x130]
0xfffffff00811baf4: f44f52a9  ldp	x20, x19, [sp, #0x120]
0xfffffff00811baf8: f65751a9  ldp	x22, x21, [sp, #0x110]
0xfffffff00811bafc: f85f50a9  ldp	x24, x23, [sp, #0x100]
0xfffffff00811bb00: fc6f4fa9  ldp	x28, x27, [sp, #0xf0]
0xfffffff00811bb04: ff030591  add	sp, sp, #0x140
0xfffffff00811bb08: ff0f5fd6  retab	
0xfffffff00811bb0c: e0070190  adrp	x0, #0xfffffff00a217000
0xfffffff00811bb10: 00a03691  add	x0, x0, #0xda8
0xfffffff00811bb14: e10315aa  mov	x1, x21
0xfffffff00811bb18: 02008052  mov	w2, #0
0xfffffff00811bb1c: f73ff297  bl	#0xfffffff007dabaf8
0xfffffff00811bb20: 69ffff17  b	#0xfffffff00811b8c4
0xfffffff00811bb24: e0070190  adrp	x0, #0xfffffff00a217000
0xfffffff00811bb28: 00a03691  add	x0, x0, #0xda8
0xfffffff00811bb2c: e10315aa  mov	x1, x21
0xfffffff00811bb30: 0d43f297  bl	#0xfffffff007dac764
0xfffffff00811bb34: 75ffff17  b	#0xfffffff00811b908
0xfffffff00811bb38: c508f197  bl	#0xfffffff007d5de4c
0xfffffff00811bb3c: a8058052  mov	w8, #0x2d
0xfffffff00811bb40: 097cffb0  adrp	x9, #0xfffffff00709c000
0xfffffff00811bb44: 29251e91  add	x9, x9, #0x789
0xfffffff00811bb48: 0a7cffb0  adrp	x10, #0xfffffff00709c000
0xfffffff00811bb4c: 4af51d91  add	x10, x10, #0x77d
0xfffffff00811bb50: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff00811bb54: ea0300f9  str	x10, [sp]
0xfffffff00811bb58: 007cffb0  adrp	x0, #0xfffffff00709c000
0xfffffff00811bb5c: 00341d91  add	x0, x0, #0x74d
0xfffffff00811bb60: 6be20d94  bl	#0xfffffff00849450c
0xfffffff00811bb64: 7f2303d5  pacibsp	
0xfffffff00811bb68: ff4305d1  sub	sp, sp, #0x150
0xfffffff00811bb6c: f65712a9  stp	x22, x21, [sp, #0x120]
0xfffffff00811bb70: f44f13a9  stp	x20, x19, [sp, #0x130]
0xfffffff00811bb74: fd7b14a9  stp	x29, x30, [sp, #0x140]
0xfffffff00811bb78: fd030591  add	x29, sp, #0x140
0xfffffff00811bb7c: bf831df8  stur	xzr, [x29, #-0x28]
0xfffffff00811bb80: c10f00b4  cbz	x1, #0xfffffff00811bd78
0xfffffff00811bb84: f40301aa  mov	x20, x1
0xfffffff00811bb88: f30300aa  mov	x19, x0
