; Candidate 7841
; ADRP+ADD at VM 0xfffffff0088827fc (fileoff 0x187e7fc): page=0x1fe967000 add_imm=0xe80

0xfffffff00888277c: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff008882780: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff008882784: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff008882788: 484dfff0  adrp	x8, #0xfffffff00722d000
0xfffffff00888278c: 098d0191  add	x9, x8, #0x63
0xfffffff008882790: 484dfff0  adrp	x8, #0xfffffff00722d000
0xfffffff008882794: 08fd0891  add	x8, x8, #0x23f
0xfffffff008882798: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00888279c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088827a0: 880b8052  mov	w8, #0x5c
0xfffffff0088827a4: 404dfff0  adrp	x0, #0xfffffff00722d000
0xfffffff0088827a8: 00dc0091  add	x0, x0, #0x37
0xfffffff0088827ac: f62300a9  stp	x22, x8, [sp]
0xfffffff0088827b0: 2cd3d497  bl	#0xfffffff007db7460
0xfffffff0088827b4: 1a000014  b	#0xfffffff00888281c
0xfffffff0088827b8: 7dc60094  bl	#0xfffffff0088b41ac
0xfffffff0088827bc: f60300aa  mov	x22, x0
0xfffffff0088827c0: 00018052  mov	w0, #8
0xfffffff0088827c4: 23e4ff97  bl	#0xfffffff00887b850
0xfffffff0088827c8: e80315aa  mov	x8, x21
0xfffffff0088827cc: 691a40b9  ldr	w9, [x19, #0x18]
0xfffffff0088827d0: e82300f9  str	x8, [sp, #0x40]
0xfffffff0088827d4: e80314aa  mov	x8, x20
0xfffffff0088827d8: e92303a9  stp	x9, x8, [sp, #0x30]
0xfffffff0088827dc: 484dfff0  adrp	x8, #0xfffffff00722d000
0xfffffff0088827e0: 088d0191  add	x8, x8, #0x63
0xfffffff0088827e4: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088827e8: 484dfff0  adrp	x8, #0xfffffff00722d000
0xfffffff0088827ec: 08fd0891  add	x8, x8, #0x23f
0xfffffff0088827f0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088827f4: 880b8052  mov	w8, #0x5c
0xfffffff0088827f8: f62300a9  stp	x22, x8, [sp]
0xfffffff0088827fc: 204bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008882800: 00003a91  add	x0, x0, #0xe80
0xfffffff008882804: 218cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008882808: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00888280c: c34effb0  adrp	x3, #0xfffffff00725b000
0xfffffff008882810: 63b83891  add	x3, x3, #0xe2e
0xfffffff008882814: 02008052  mov	w2, #0
0xfffffff008882818: 46c2ea97  bl	#0xfffffff008333130
0xfffffff00888281c: 080080d2  mov	x8, #0
0xfffffff008882820: 8926c81a  lsr	w9, w20, w8
0xfffffff008882824: a9000036  tbz	w9, #0, #0xfffffff008882838
0xfffffff008882828: 690a088b  add	x9, x19, x8, lsl #2
0xfffffff00888282c: 293140b9  ldr	w9, [x9, #0x30]
0xfffffff008882830: 3f01156b  cmp	w9, w21
0xfffffff008882834: ca000054  b.ge	#0xfffffff00888284c
0xfffffff008882838: 08050091  add	x8, x8, #1
0xfffffff00888283c: 1f2d00f1  cmp	x8, #0xb
0xfffffff008882840: 01ffff54  b.ne	#0xfffffff008882820
0xfffffff008882844: 167e8012  mov	w22, #-0x3f1
0xfffffff008882848: 02000014  b	#0xfffffff008882850
0xfffffff00888284c: 16008052  mov	w22, #0
0xfffffff008882850: 800b8052  mov	w0, #0x5c
0xfffffff008882854: 01018052  mov	w1, #8
0xfffffff008882858: dee3ff97  bl	#0xfffffff00887b7d0
0xfffffff00888285c: 00060034  cbz	w0, #0xfffffff00888291c
0xfffffff008882860: 800b8052  mov	w0, #0x5c
0xfffffff008882864: ede3ff97  bl	#0xfffffff00887b818
0xfffffff008882868: f80300aa  mov	x24, x0
0xfffffff00888286c: 50c60094  bl	#0xfffffff0088b41ac
0xfffffff008882870: f70300aa  mov	x23, x0
0xfffffff008882874: 00018052  mov	w0, #8
0xfffffff008882878: f6e3ff97  bl	#0xfffffff00887b850
