; Candidate 9759
; ADRP+ADD at VM 0xfffffff008b07604 (fileoff 0x1b03604): page=0x1fe7e4000 add_imm=0xe51

0xfffffff008b07584: 08050011  add	w8, w8, #1
0xfffffff008b07588: 684202b9  str	w8, [x19, #0x240]
0xfffffff008b0758c: d00240f9  ldr	x16, [x22]
0xfffffff008b07590: f10316aa  mov	x17, x22
0xfffffff008b07594: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b07598: 301ac1da  autda	x16, x17
0xfffffff008b0759c: 088e48f8  ldr	x8, [x16, #0x88]!
0xfffffff008b075a0: e90310aa  mov	x9, x16
0xfffffff008b075a4: 3b008052  mov	w27, #1
0xfffffff008b075a8: e00316aa  mov	x0, x22
0xfffffff008b075ac: e10317aa  mov	x1, x23
0xfffffff008b075b0: 22008052  mov	w2, #1
0xfffffff008b075b4: f10309aa  mov	x17, x9
0xfffffff008b075b8: 3172e1f2  movk	x17, #0xb91, lsl #48
0xfffffff008b075bc: 11093fd7  blraa	x8, x17
0xfffffff008b075c0: ff1300f9  str	xzr, [sp, #0x20]
0xfffffff008b075c4: fb1f00b9  str	w27, [sp, #0x1c]
0xfffffff008b075c8: d00240f9  ldr	x16, [x22]
0xfffffff008b075cc: f10316aa  mov	x17, x22
0xfffffff008b075d0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b075d4: 301ac1da  autda	x16, x17
0xfffffff008b075d8: 088e4bf8  ldr	x8, [x16, #0xb8]!
0xfffffff008b075dc: e90310aa  mov	x9, x16
0xfffffff008b075e0: e1830091  add	x1, sp, #0x20
0xfffffff008b075e4: e2a30091  add	x2, sp, #0x28
0xfffffff008b075e8: e3730091  add	x3, sp, #0x1c
0xfffffff008b075ec: e00316aa  mov	x0, x22
0xfffffff008b075f0: f10309aa  mov	x17, x9
0xfffffff008b075f4: 112de7f2  movk	x17, #0x3968, lsl #48
0xfffffff008b075f8: 11093fd7  blraa	x8, x17
0xfffffff008b075fc: a0120034  cbz	w0, #0xfffffff008b07850
0xfffffff008b07600: f90300aa  mov	x25, x0
0xfffffff008b07604: 203fff90  adrp	x0, #0xfffffff0072eb000
0xfffffff008b07608: 00443991  add	x0, x0, #0xe51
0xfffffff008b0760c: 6187e097  bl	#0xfffffff008329390
0xfffffff008b07610: f80300aa  mov	x24, x0
0xfffffff008b07614: 3a3fff90  adrp	x26, #0xfffffff0072eb000
0xfffffff008b07618: 5a933991  add	x26, x26, #0xe64
0xfffffff008b0761c: fa6700a9  stp	x26, x25, [sp]
0xfffffff008b07620: e03dffd0  adrp	x0, #0xfffffff0072c5000
0xfffffff008b07624: 00402f91  add	x0, x0, #0xbd0
0xfffffff008b07628: a17bfff0  adrp	x1, #0xfffffff007a7e000
0xfffffff008b0762c: 211046f9  ldr	x1, [x1, #0xc20]
0xfffffff008b07630: 833ffff0  adrp	x3, #0xfffffff0072fa000
0xfffffff008b07634: 63b80c91  add	x3, x3, #0x32e
0xfffffff008b07638: 02008052  mov	w2, #0
0xfffffff008b0763c: bdaee097  bl	#0xfffffff008333130
0xfffffff008b07640: d00240f9  ldr	x16, [x22]
0xfffffff008b07644: f10316aa  mov	x17, x22
0xfffffff008b07648: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b0764c: 301ac1da  autda	x16, x17
0xfffffff008b07650: 080e49f8  ldr	x8, [x16, #0x90]!
0xfffffff008b07654: e90310aa  mov	x9, x16
0xfffffff008b07658: e00316aa  mov	x0, x22
0xfffffff008b0765c: 21008052  mov	w1, #1
0xfffffff008b07660: f10309aa  mov	x17, x9
0xfffffff008b07664: 5186f3f2  movk	x17, #0x9c32, lsl #48
0xfffffff008b07668: 11093fd7  blraa	x8, x17
0xfffffff008b0766c: 601a41f9  ldr	x0, [x19, #0x230]
0xfffffff008b07670: 100040f9  ldr	x16, [x0]
0xfffffff008b07674: f10300aa  mov	x17, x0
0xfffffff008b07678: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b0767c: 301ac1da  autda	x16, x17
0xfffffff008b07680: f10310aa  mov	x17, x16
