; Candidate 8598
; ADRP+ADD at VM 0xfffffff0088b5ed4 (fileoff 0x18b1ed4): page=0x1fe934000 add_imm=0xe80

0xfffffff0088b5e54: 730100b4  cbz	x19, #0xfffffff0088b5e80
0xfffffff0088b5e58: 700240f9  ldr	x16, [x19]
0xfffffff0088b5e5c: f10313aa  mov	x17, x19
0xfffffff0088b5e60: 71f7e2f2  movk	x17, #0x17bb, lsl #48
0xfffffff0088b5e64: 301ac1da  autda	x16, x17
0xfffffff0088b5e68: 088e40f8  ldr	x8, [x16, #8]!
0xfffffff0088b5e6c: e90310aa  mov	x9, x16
0xfffffff0088b5e70: e00313aa  mov	x0, x19
0xfffffff0088b5e74: f10309aa  mov	x17, x9
0xfffffff0088b5e78: 719fe6f2  movk	x17, #0x34fb, lsl #48
0xfffffff0088b5e7c: 11093fd7  blraa	x8, x17
0xfffffff0088b5e80: e00315aa  mov	x0, x21
0xfffffff0088b5e84: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0088b5e88: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0088b5e8c: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0088b5e90: ff030291  add	sp, sp, #0x80
0xfffffff0088b5e94: ff0f5fd6  retab	
0xfffffff0088b5e98: c5f8ff97  bl	#0xfffffff0088b41ac
0xfffffff0088b5e9c: f40300aa  mov	x20, x0
0xfffffff0088b5ea0: 80008052  mov	w0, #4
0xfffffff0088b5ea4: 6b16ff97  bl	#0xfffffff00887b850
0xfffffff0088b5ea8: e80315aa  mov	x8, x21
0xfffffff0088b5eac: e81b00f9  str	x8, [sp, #0x30]
0xfffffff0088b5eb0: 08198052  mov	w8, #0xc8
0xfffffff0088b5eb4: 094cff90  adrp	x9, #0xfffffff007235000
0xfffffff0088b5eb8: 29bd0f91  add	x9, x9, #0x3ef
0xfffffff0088b5ebc: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088b5ec0: 084cff90  adrp	x8, #0xfffffff007235000
0xfffffff0088b5ec4: 084d3a91  add	x8, x8, #0xe93
0xfffffff0088b5ec8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b5ecc: 88088052  mov	w8, #0x44
0xfffffff0088b5ed0: f42300a9  stp	x20, x8, [sp]
0xfffffff0088b5ed4: a049ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b5ed8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b5edc: 818afff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b5ee0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b5ee4: 834dff90  adrp	x3, #0xfffffff007265000
0xfffffff0088b5ee8: 63040591  add	x3, x3, #0x141
0xfffffff0088b5eec: 02008052  mov	w2, #0
0xfffffff0088b5ef0: 90f4e997  bl	#0xfffffff008333130
0xfffffff0088b5ef4: 33fbffb5  cbnz	x19, #0xfffffff0088b5e58
0xfffffff0088b5ef8: e2ffff17  b	#0xfffffff0088b5e80
0xfffffff0088b5efc: acf8ff97  bl	#0xfffffff0088b41ac
0xfffffff0088b5f00: f50300aa  mov	x21, x0
0xfffffff0088b5f04: e0008052  mov	w0, #7
0xfffffff0088b5f08: 5216ff97  bl	#0xfffffff00887b850
0xfffffff0088b5f0c: 88b644b9  ldr	w8, [x20, #0x4b4]
0xfffffff0088b5f10: 097d43d3  ubfx	x9, x8, #3, #0x1d
0xfffffff0088b5f14: 4a188052  mov	w10, #0xc2
0xfffffff0088b5f18: 0b4cff90  adrp	x11, #0xfffffff007235000
0xfffffff0088b5f1c: 6bbd0f91  add	x11, x11, #0x3ef
0xfffffff0088b5f20: eb2b02a9  stp	x11, x10, [sp, #0x20]
0xfffffff0088b5f24: 0a4cff90  adrp	x10, #0xfffffff007235000
0xfffffff0088b5f28: 4a4d3a91  add	x10, x10, #0xe93
0xfffffff0088b5f2c: e02b01a9  stp	x0, x10, [sp, #0x10]
0xfffffff0088b5f30: 8a088052  mov	w10, #0x44
0xfffffff0088b5f34: f52b00a9  stp	x21, x10, [sp]
0xfffffff0088b5f38: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff0088b5f3c: a049ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b5f40: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b5f44: 818afff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b5f48: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b5f4c: 834dff90  adrp	x3, #0xfffffff007265000
0xfffffff0088b5f50: 63100491  add	x3, x3, #0x104
