; Candidate 2180
; ADRP+ADD at VM 0xfffffff0085a97fc (fileoff 0x15a57fc): page=0x1ff40f000 add_imm=0xcf0

0xfffffff0085a977c: 10622f91  add	x16, x16, #0xbd8
0xfffffff0085a9780: 10420091  add	x16, x16, #0x10
0xfffffff0085a9784: f10300aa  mov	x17, x0
0xfffffff0085a9788: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0085a978c: 300ac1da  pacda	x16, x17
0xfffffff0085a9790: 100000f9  str	x16, [x0]
0xfffffff0085a9794: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0085a9798: ff0f5fd6  retab	
0xfffffff0085a979c: 5f2403d5  bti	c
0xfffffff0085a97a0: 44f9ff17  b	#0xfffffff0085a7cb0
0xfffffff0085a97a4: 5f2403d5  bti	c
0xfffffff0085a97a8: 42f9ff17  b	#0xfffffff0085a7cb0
0xfffffff0085a97ac: 7f2303d5  pacibsp	
0xfffffff0085a97b0: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0085a97b4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0085a97b8: fd430091  add	x29, sp, #0x10
0xfffffff0085a97bc: f30300aa  mov	x19, x0
0xfffffff0085a97c0: 3cf9ff97  bl	#0xfffffff0085a7cb0
0xfffffff0085a97c4: 60a0fff0  adrp	x0, #0xfffffff0079b8000
0xfffffff0085a97c8: 00c03391  add	x0, x0, #0xcf0
0xfffffff0085a97cc: e10313aa  mov	x1, x19
0xfffffff0085a97d0: 02318052  mov	w2, #0x188
0xfffffff0085a97d4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0085a97d8: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0085a97dc: ff2303d5  autibsp	
0xfffffff0085a97e0: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0085a97e4: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0085a97ec
0xfffffff0085a97e8: 208e38d4  brk	#0xc471
0xfffffff0085a97ec: acf7f417  b	#0xfffffff0082e769c
0xfffffff0085a97f0: 5f2403d5  bti	c
0xfffffff0085a97f4: e20301aa  mov	x2, x1
0xfffffff0085a97f8: e10300aa  mov	x1, x0
0xfffffff0085a97fc: 60a0fff0  adrp	x0, #0xfffffff0079b8000
0xfffffff0085a9800: 00c03391  add	x0, x0, #0xcf0
0xfffffff0085a9804: a6f7f417  b	#0xfffffff0082e769c
0xfffffff0085a9808: 5f2403d5  bti	c
0xfffffff0085a980c: 60e900d0  adrp	x0, #0xfffffff00a2d7000
0xfffffff0085a9810: 00c00d91  add	x0, x0, #0x370
0xfffffff0085a9814: c0035fd6  ret	
0xfffffff0085a9818: 7f2303d5  pacibsp	
0xfffffff0085a981c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0085a9820: fd030091  mov	x29, sp
0xfffffff0085a9824: 615aff90  adrp	x1, #0xfffffff0070f5000
0xfffffff0085a9828: 21942c91  add	x1, x1, #0xb25
0xfffffff0085a982c: 62e900d0  adrp	x2, #0xfffffff00a2d7000
0xfffffff0085a9830: 42e00b91  add	x2, x2, #0x2f8
0xfffffff0085a9834: 03318052  mov	w3, #0x188
0xfffffff0085a9838: c0e8f497  bl	#0xfffffff0082e3b38
0xfffffff0085a983c: 50a0ff90  adrp	x16, #0xfffffff0079b1000
0xfffffff0085a9840: 10420b91  add	x16, x16, #0x2d0
0xfffffff0085a9844: 10420091  add	x16, x16, #0x10
0xfffffff0085a9848: f10300aa  mov	x17, x0
0xfffffff0085a984c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0085a9850: 300ac1da  pacda	x16, x17
0xfffffff0085a9854: 100000f9  str	x16, [x0]
0xfffffff0085a9858: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0085a985c: ff0f5fd6  retab	
0xfffffff0085a9860: 7f2303d5  pacibsp	
0xfffffff0085a9864: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0085a9868: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0085a986c: fd430091  add	x29, sp, #0x10
0xfffffff0085a9870: 60a0fff0  adrp	x0, #0xfffffff0079b8000
0xfffffff0085a9874: 00c03391  add	x0, x0, #0xcf0
0xfffffff0085a9878: 01318052  mov	w1, #0x188
