; Candidate 2895
; ADRP+ADD at VM 0xfffffff0086f44f0 (fileoff 0x16f04f0): page=0x1fea3d000 add_imm=0xd90

0xfffffff0086f4470: fc6f06a9  stp	x28, x27, [sp, #0x60]
0xfffffff0086f4474: fa6707a9  stp	x26, x25, [sp, #0x70]
0xfffffff0086f4478: f85f08a9  stp	x24, x23, [sp, #0x80]
0xfffffff0086f447c: f65709a9  stp	x22, x21, [sp, #0x90]
0xfffffff0086f4480: f44f0aa9  stp	x20, x19, [sp, #0xa0]
0xfffffff0086f4484: fd7b0ba9  stp	x29, x30, [sp, #0xb0]
0xfffffff0086f4488: fdc30291  add	x29, sp, #0xb0
0xfffffff0086f448c: f90307aa  mov	x25, x7
0xfffffff0086f4490: e65700b9  str	w6, [sp, #0x54]
0xfffffff0086f4494: fa0305aa  mov	x26, x5
0xfffffff0086f4498: f70304aa  mov	x23, x4
0xfffffff0086f449c: f40303aa  mov	x20, x3
0xfffffff0086f44a0: f60302aa  mov	x22, x2
0xfffffff0086f44a4: fb0301aa  mov	x27, x1
0xfffffff0086f44a8: f30300aa  mov	x19, x0
0xfffffff0086f44ac: 08b38752  mov	w8, #0x3d98
0xfffffff0086f44b0: 1800088b  add	x24, x0, x8
0xfffffff0086f44b4: 1c585cf9  ldr	x28, [x0, #0x38b0]
0xfffffff0086f44b8: 810b00f9  str	x1, [x28, #0x10]
0xfffffff0086f44bc: 088045f9  ldr	x8, [x0, #0xb00]
0xfffffff0086f44c0: 154141b9  ldr	w21, [x8, #0x140]
0xfffffff0086f44c4: 7f080071  cmp	w3, #2
0xfffffff0086f44c8: 6b020054  b.lt	#0xfffffff0086f4514
0xfffffff0086f44cc: 89e34039  ldrb	w9, [x28, #0x38]
0xfffffff0086f44d0: 29020035  cbnz	w9, #0xfffffff0086f4514
0xfffffff0086f44d4: 006d40f9  ldr	x0, [x8, #0xd8]
0xfffffff0086f44d8: e10315aa  mov	x1, x21
0xfffffff0086f44dc: 30520194  bl	#0xfffffff008748d9c
0xfffffff0086f44e0: a0010034  cbz	w0, #0xfffffff0086f4514
0xfffffff0086f44e4: fa52ffb0  adrp	x26, #0xfffffff007151000
0xfffffff0086f44e8: 5a4b1591  add	x26, x26, #0x552
0xfffffff0086f44ec: fa0300a9  stp	x26, x0, [sp]
0xfffffff0086f44f0: e051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086f44f4: 00403691  add	x0, x0, #0xd90
0xfffffff0086f44f8: 4198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f44fc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f4500: 0352ff90  adrp	x3, #0xfffffff007134000
0xfffffff0086f4504: 63303291  add	x3, x3, #0xc8c
0xfffffff0086f4508: 02008052  mov	w2, #0
0xfffffff0086f450c: 09fbf097  bl	#0xfffffff008333130
0xfffffff0086f4510: 0c010014  b	#0xfffffff0086f4940
0xfffffff0086f4514: 08034039  ldrb	w8, [x24]
0xfffffff0086f4518: f62700f9  str	x22, [sp, #0x48]
0xfffffff0086f451c: 68000034  cbz	w8, #0xfffffff0086f4528
0xfffffff0086f4520: 1f030039  strb	wzr, [x24]
0xfffffff0086f4524: 07000014  b	#0xfffffff0086f4540
0xfffffff0086f4528: 88e34039  ldrb	w8, [x28, #0x38]
0xfffffff0086f452c: a8000035  cbnz	w8, #0xfffffff0086f4540
0xfffffff0086f4530: 60625cf9  ldr	x0, [x19, #0x38c0]
0xfffffff0086f4534: 686e49f9  ldr	x8, [x19, #0x12d8]
0xfffffff0086f4538: 01110091  add	x1, x8, #4
0xfffffff0086f453c: 01dcff97  bl	#0xfffffff0086eb540
0xfffffff0086f4540: 60625cf9  ldr	x0, [x19, #0x38c0]
0xfffffff0086f4544: 68ba78b9  ldr	w8, [x19, #0x38b8]
0xfffffff0086f4548: 09118052  mov	w9, #0x88
0xfffffff0086f454c: 084d099b  madd	x8, x8, x9, x19
0xfffffff0086f4550: 013d46f9  ldr	x1, [x8, #0xc78]
0xfffffff0086f4554: 5edaff97  bl	#0xfffffff0086eaecc
0xfffffff0086f4558: f60313aa  mov	x22, x19
0xfffffff0086f455c: d6ccfdf2  movk	x22, #0xee66, lsl #48
0xfffffff0086f4560: ff060031  cmn	w23, #1
0xfffffff0086f4564: e0020054  b.eq	#0xfffffff0086f45c0
0xfffffff0086f4568: ff2f00f9  str	xzr, [sp, #0x58]
0xfffffff0086f456c: 700240f9  ldr	x16, [x19]
