; Candidate 3787
; ADRP+ADD at VM 0xfffffff00875c430 (fileoff 0x1758430): page=0x1ff2a8000 add_imm=0xde8

0xfffffff00875c3b0: a082c13c  ldur	q0, [x21, #0x18]
0xfffffff00875c3b4: a182c23c  ldur	q1, [x21, #0x28]
0xfffffff00875c3b8: a282c33c  ldur	q2, [x21, #0x38]
0xfffffff00875c3bc: a382c43c  ldur	q3, [x21, #0x48]
0xfffffff00875c3c0: e28f02ad  stp	q2, q3, [sp, #0x50]
0xfffffff00875c3c4: e08701ad  stp	q0, q1, [sp, #0x30]
0xfffffff00875c3c8: a082c53c  ldur	q0, [x21, #0x58]
0xfffffff00875c3cc: a182c63c  ldur	q1, [x21, #0x68]
0xfffffff00875c3d0: a282c73c  ldur	q2, [x21, #0x78]
0xfffffff00875c3d4: a94640f9  ldr	x9, [x21, #0x88]
0xfffffff00875c3d8: e95300f9  str	x9, [sp, #0xa0]
0xfffffff00875c3dc: e10b04ad  stp	q1, q2, [sp, #0x80]
0xfffffff00875c3e0: e01f803d  str	q0, [sp, #0x70]
0xfffffff00875c3e4: e8a30239  strb	w8, [sp, #0xa8]
0xfffffff00875c3e8: e1830091  add	x1, sp, #0x20
0xfffffff00875c3ec: e2630091  add	x2, sp, #0x18
0xfffffff00875c3f0: 9ae80094  bl	#0xfffffff008796658
0xfffffff00875c3f4: f60300aa  mov	x22, x0
0xfffffff00875c3f8: c0010034  cbz	w0, #0xfffffff00875c430
0xfffffff00875c3fc: f4cf00a9  stp	x20, x19, [sp, #8]
0xfffffff00875c400: e84fffb0  adrp	x8, #0xfffffff007159000
0xfffffff00875c404: 08952791  add	x8, x8, #0x9e5
0xfffffff00875c408: e80300f9  str	x8, [sp]
0xfffffff00875c40c: a04effb0  adrp	x0, #0xfffffff007131000
0xfffffff00875c410: 00403691  add	x0, x0, #0xd90
0xfffffff00875c414: 0195ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00875c418: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00875c41c: 234fffb0  adrp	x3, #0xfffffff007141000
0xfffffff00875c420: 639c3e91  add	x3, x3, #0xfa7
0xfffffff00875c424: 02008052  mov	w2, #0
0xfffffff00875c428: 425bef97  bl	#0xfffffff008333130
0xfffffff00875c42c: 0a000014  b	#0xfffffff00875c454
0xfffffff00875c430: 4095ff90  adrp	x0, #0xfffffff007a04000
0xfffffff00875c434: 00a03791  add	x0, x0, #0xde8
0xfffffff00875c438: e10315aa  mov	x1, x21
0xfffffff00875c43c: b4e8ef97  bl	#0xfffffff00835670c
0xfffffff00875c440: 7f060071  cmp	w19, #1
0xfffffff00875c444: 61000054  b.ne	#0xfffffff00875c450
0xfffffff00875c448: ff0200f9  str	xzr, [x23]
0xfffffff00875c44c: 02000014  b	#0xfffffff00875c454
0xfffffff00875c450: 1f0300f9  str	xzr, [x24]
0xfffffff00875c454: e00316aa  mov	x0, x22
0xfffffff00875c458: fd7b4ea9  ldp	x29, x30, [sp, #0xe0]
0xfffffff00875c45c: f44f4da9  ldp	x20, x19, [sp, #0xd0]
0xfffffff00875c460: f6574ca9  ldp	x22, x21, [sp, #0xc0]
0xfffffff00875c464: f85f4ba9  ldp	x24, x23, [sp, #0xb0]
0xfffffff00875c468: ffc30391  add	sp, sp, #0xf0
0xfffffff00875c46c: ff0f5fd6  retab	
0xfffffff00875c470: 5f2403d5  bti	c
0xfffffff00875c474: 08284039  ldrb	w8, [x0, #0xa]
0xfffffff00875c478: 68000034  cbz	w8, #0xfffffff00875c484
0xfffffff00875c47c: 00605779  ldrh	w0, [x0, #0xbb0]
0xfffffff00875c480: c0035fd6  ret	
0xfffffff00875c484: 44020034  cbz	w4, #0xfffffff00875c4cc
0xfffffff00875c488: 4900010b  add	w9, w2, w1
0xfffffff00875c48c: 681c0011  add	w8, w3, #7
0xfffffff00875c490: 2a0c480b  add	w10, w1, w8, lsr #3
0xfffffff00875c494: eb03042a  mov	w11, w4
0xfffffff00875c498: 08008012  mov	w8, #-1
0xfffffff00875c49c: ac0040b9  ldr	w12, [x5]
0xfffffff00875c4a0: cc000034  cbz	w12, #0xfffffff00875c4b8
0xfffffff00875c4a4: cc0040b9  ldr	w12, [x6]
0xfffffff00875c4a8: 8d010a4b  sub	w13, w12, w10
0xfffffff00875c4ac: 9f01096b  cmp	w12, w9
