; Candidate 6076
; ADRP+ADD at VM 0xfffffff0088130f4 (fileoff 0x180f0f4): page=0x1fe9d6000 add_imm=0xe80

0xfffffff008813074: e9758052  mov	w9, #0x3af
0xfffffff008813078: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00881307c: 4850ffd0  adrp	x8, #0xfffffff00721d000
0xfffffff008813080: 08992491  add	x8, x8, #0x926
0xfffffff008813084: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008813088: 880e8052  mov	w8, #0x74
0xfffffff00881308c: f42300a9  stp	x20, x8, [sp]
0xfffffff008813090: a04effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008813094: 00003a91  add	x0, x0, #0xe80
0xfffffff008813098: a18fffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00881309c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088130a0: a351ff90  adrp	x3, #0xfffffff007247000
0xfffffff0088130a4: 63f43891  add	x3, x3, #0xe3d
0xfffffff0088130a8: 02008052  mov	w2, #0
0xfffffff0088130ac: 2180ec97  bl	#0xfffffff008333130
0xfffffff0088130b0: 42ffff17  b	#0xfffffff008812db8
0xfffffff0088130b4: 3e840294  bl	#0xfffffff0088b41ac
0xfffffff0088130b8: f40300aa  mov	x20, x0
0xfffffff0088130bc: 80008052  mov	w0, #4
0xfffffff0088130c0: e4a10194  bl	#0xfffffff00887b850
0xfffffff0088130c4: e80240b9  ldr	w8, [x23]
0xfffffff0088130c8: f6a303a9  stp	x22, x8, [sp, #0x38]
0xfffffff0088130cc: 4850ffd0  adrp	x8, #0xfffffff00721d000
0xfffffff0088130d0: 08392891  add	x8, x8, #0xa0e
0xfffffff0088130d4: e9748052  mov	w9, #0x3a7
0xfffffff0088130d8: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0088130dc: 4850ffd0  adrp	x8, #0xfffffff00721d000
0xfffffff0088130e0: 08992491  add	x8, x8, #0x926
0xfffffff0088130e4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088130e8: 880e8052  mov	w8, #0x74
0xfffffff0088130ec: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088130f0: f40300f9  str	x20, [sp]
0xfffffff0088130f4: a04effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088130f8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088130fc: a18fffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008813100: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008813104: a351ff90  adrp	x3, #0xfffffff007247000
0xfffffff008813108: 63c43791  add	x3, x3, #0xdf1
0xfffffff00881310c: 02008052  mov	w2, #0
0xfffffff008813110: 0880ec97  bl	#0xfffffff008333130
0xfffffff008813114: 29ffff17  b	#0xfffffff008812db8
0xfffffff008813118: 7f2303d5  pacibsp	
0xfffffff00881311c: ffc301d1  sub	sp, sp, #0x70
0xfffffff008813120: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff008813124: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff008813128: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff00881312c: fd830191  add	x29, sp, #0x60
0xfffffff008813130: f30300aa  mov	x19, x0
0xfffffff008813134: 88319052  mov	w8, #0x818c
0xfffffff008813138: 2800a072  movk	w8, #1, lsl #16
0xfffffff00881313c: 366868b8  ldr	w22, [x1, x8]
0xfffffff008813140: df060071  cmp	w22, #1
0xfffffff008813144: 80010054  b.eq	#0xfffffff008813174
0xfffffff008813148: b6020035  cbnz	w22, #0xfffffff00881319c
0xfffffff00881314c: e00313aa  mov	x0, x19
0xfffffff008813150: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff008813154: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff008813158: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff00881315c: ffc30191  add	sp, sp, #0x70
0xfffffff008813160: ff2303d5  autibsp	
0xfffffff008813164: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008813168: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008813170
0xfffffff00881316c: 208e38d4  brk	#0xc471
0xfffffff008813170: 33fdff17  b	#0xfffffff00881263c
