; Candidate 10506
; ADRP+ADD at VM 0xfffffff008d7ca58 (fileoff 0x1d78a58): page=0x1581000 add_imm=0xe48

0xfffffff008d7c9d8: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff008d7c9dc: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff008d7c9e0: ff030291  add	sp, sp, #0x80
0xfffffff008d7c9e4: ff0f5fd6  retab	
0xfffffff008d7c9e8: 5f2403d5  bti	c
0xfffffff008d7c9ec: 429fd517  b	#0xfffffff0082e46f4
0xfffffff008d7c9f0: 5f2403d5  bti	c
0xfffffff008d7c9f4: c0035fd6  ret	
0xfffffff008d7c9f8: 5f2403d5  bti	c
0xfffffff008d7c9fc: c0035fd6  ret	
0xfffffff008d7ca00: 5f2403d5  bti	c
0xfffffff008d7ca04: 3c9fd517  b	#0xfffffff0082e46f4
0xfffffff008d7ca08: 5f2403d5  bti	c
0xfffffff008d7ca0c: 3a9fd517  b	#0xfffffff0082e46f4
0xfffffff008d7ca10: 7f2303d5  pacibsp	
0xfffffff008d7ca14: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008d7ca18: fd030091  mov	x29, sp
0xfffffff008d7ca1c: 8031fff0  adrp	x0, #0xfffffff0073af000
0xfffffff008d7ca20: 00e01e91  add	x0, x0, #0x7b8
0xfffffff008d7ca24: 5bb2d697  bl	#0xfffffff008329390
0xfffffff008d7ca28: 08ac00f0  adrp	x8, #0xfffffff00a2ff000
0xfffffff008d7ca2c: 008901f9  str	x0, [x8, #0x310]
0xfffffff008d7ca30: 8031fff0  adrp	x0, #0xfffffff0073af000
0xfffffff008d7ca34: 002c1f91  add	x0, x0, #0x7cb
0xfffffff008d7ca38: 56b2d697  bl	#0xfffffff008329390
0xfffffff008d7ca3c: 08ac00f0  adrp	x8, #0xfffffff00a2ff000
0xfffffff008d7ca40: 008d01f9  str	x0, [x8, #0x318]
0xfffffff008d7ca44: 8031fff0  adrp	x0, #0xfffffff0073af000
0xfffffff008d7ca48: 00841f91  add	x0, x0, #0x7e1
0xfffffff008d7ca4c: 51b2d697  bl	#0xfffffff008329390
0xfffffff008d7ca50: 08ac00f0  adrp	x8, #0xfffffff00a2ff000
0xfffffff008d7ca54: 009101f9  str	x0, [x8, #0x320]
0xfffffff008d7ca58: 00ac00b0  adrp	x0, #0xfffffff00a2fd000
0xfffffff008d7ca5c: 00203991  add	x0, x0, #0xe48
0xfffffff008d7ca60: c131ffb0  adrp	x1, #0xfffffff0073b5000
0xfffffff008d7ca64: 21d82b91  add	x1, x1, #0xaf6
0xfffffff008d7ca68: 02ac00b0  adrp	x2, #0xfffffff00a2fd000
0xfffffff008d7ca6c: 42402891  add	x2, x2, #0xa10
0xfffffff008d7ca70: 03068052  mov	w3, #0x30
0xfffffff008d7ca74: 319cd597  bl	#0xfffffff0082e3b38
0xfffffff008d7ca78: f06afff0  adrp	x16, #0xfffffff007adb000
0xfffffff008d7ca7c: 10e21c91  add	x16, x16, #0x738
0xfffffff008d7ca80: 10420091  add	x16, x16, #0x10
0xfffffff008d7ca84: f10300aa  mov	x17, x0
0xfffffff008d7ca88: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008d7ca8c: 300ac1da  pacda	x16, x17
0xfffffff008d7ca90: 100000f9  str	x16, [x0]
0xfffffff008d7ca94: 00ac00b0  adrp	x0, #0xfffffff00a2fd000
0xfffffff008d7ca98: 00c03991  add	x0, x0, #0xe70
0xfffffff008d7ca9c: c131ffb0  adrp	x1, #0xfffffff0073b5000
0xfffffff008d7caa0: 21b42c91  add	x1, x1, #0xb2d
0xfffffff008d7caa4: 02ac00d0  adrp	x2, #0xfffffff00a2fe000
0xfffffff008d7caa8: 42600d91  add	x2, x2, #0x358
0xfffffff008d7caac: 03058052  mov	w3, #0x28
0xfffffff008d7cab0: 229cd597  bl	#0xfffffff0082e3b38
0xfffffff008d7cab4: f06afff0  adrp	x16, #0xfffffff007adb000
0xfffffff008d7cab8: 10e22191  add	x16, x16, #0x878
0xfffffff008d7cabc: 10420091  add	x16, x16, #0x10
0xfffffff008d7cac0: f10300aa  mov	x17, x0
0xfffffff008d7cac4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008d7cac8: 300ac1da  pacda	x16, x17
0xfffffff008d7cacc: 100000f9  str	x16, [x0]
0xfffffff008d7cad0: 00ac00b0  adrp	x0, #0xfffffff00a2fd000
0xfffffff008d7cad4: 00603a91  add	x0, x0, #0xe98
