; Candidate 13321
; ADRP+ADD at VM 0xfffffff009288fe8 (fileoff 0x2284fe8): page=0x1fe233000 add_imm=0xe91

0xfffffff009288f68: c10a8052  mov	w1, #0x56
0xfffffff009288f6c: 762dc897  bl	#0xfffffff008494544
0xfffffff009288f70: 7f2303d5  pacibsp	
0xfffffff009288f74: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009288f78: fd030091  mov	x29, sp
0xfffffff009288f7c: 8011fff0  adrp	x0, #0xfffffff0074bb000
0xfffffff009288f80: 00443a91  add	x0, x0, #0xe91
0xfffffff009288f84: 8211fff0  adrp	x2, #0xfffffff0074bb000
0xfffffff009288f88: 42fc3f91  add	x2, x2, #0xfff
0xfffffff009288f8c: 810a8052  mov	w1, #0x54
0xfffffff009288f90: 6d2dc897  bl	#0xfffffff008494544
0xfffffff009288f94: 7f2303d5  pacibsp	
0xfffffff009288f98: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009288f9c: fd030091  mov	x29, sp
0xfffffff009288fa0: 8011fff0  adrp	x0, #0xfffffff0074bb000
0xfffffff009288fa4: 00443a91  add	x0, x0, #0xe91
0xfffffff009288fa8: 8211fff0  adrp	x2, #0xfffffff0074bb000
0xfffffff009288fac: 42143f91  add	x2, x2, #0xfc5
0xfffffff009288fb0: 210a8052  mov	w1, #0x51
0xfffffff009288fb4: 642dc897  bl	#0xfffffff008494544
0xfffffff009288fb8: 7f2303d5  pacibsp	
0xfffffff009288fbc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009288fc0: fd030091  mov	x29, sp
0xfffffff009288fc4: 8011fff0  adrp	x0, #0xfffffff0074bb000
0xfffffff009288fc8: 00443a91  add	x0, x0, #0xe91
0xfffffff009288fcc: 8211fff0  adrp	x2, #0xfffffff0074bb000
0xfffffff009288fd0: 42543d91  add	x2, x2, #0xf55
0xfffffff009288fd4: a1088052  mov	w1, #0x45
0xfffffff009288fd8: 5b2dc897  bl	#0xfffffff008494544
0xfffffff009288fdc: 7f2303d5  pacibsp	
0xfffffff009288fe0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009288fe4: fd030091  mov	x29, sp
0xfffffff009288fe8: 8011fff0  adrp	x0, #0xfffffff0074bb000
0xfffffff009288fec: 00443a91  add	x0, x0, #0xe91
0xfffffff009288ff0: 8211fff0  adrp	x2, #0xfffffff0074bb000
0xfffffff009288ff4: 42603c91  add	x2, x2, #0xf18
0xfffffff009288ff8: 01088052  mov	w1, #0x40
0xfffffff009288ffc: 522dc897  bl	#0xfffffff008494544
0xfffffff009289000: 7f2303d5  pacibsp	
0xfffffff009289004: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009289008: fd030091  mov	x29, sp
0xfffffff00928900c: 8011fff0  adrp	x0, #0xfffffff0074bc000
0xfffffff009289010: 002c0891  add	x0, x0, #0x20b
0xfffffff009289014: 3e2dc897  bl	#0xfffffff00849450c
0xfffffff009289018: 7f2303d5  pacibsp	
0xfffffff00928901c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009289020: fd030091  mov	x29, sp
0xfffffff009289024: 8011fff0  adrp	x0, #0xfffffff0074bc000
0xfffffff009289028: 002c0891  add	x0, x0, #0x20b
0xfffffff00928902c: 382dc897  bl	#0xfffffff00849450c
0xfffffff009289030: 7f2303d5  pacibsp	
0xfffffff009289034: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009289038: fd030091  mov	x29, sp
0xfffffff00928903c: 8011fff0  adrp	x0, #0xfffffff0074bc000
0xfffffff009289040: 002c0891  add	x0, x0, #0x20b
0xfffffff009289044: 322dc897  bl	#0xfffffff00849450c
0xfffffff009289048: 7f2303d5  pacibsp	
0xfffffff00928904c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009289050: fd030091  mov	x29, sp
0xfffffff009289054: 8011fff0  adrp	x0, #0xfffffff0074bc000
0xfffffff009289058: 002c0891  add	x0, x0, #0x20b
0xfffffff00928905c: 2c2dc897  bl	#0xfffffff00849450c
0xfffffff009289060: 7f2303d5  pacibsp	
0xfffffff009289064: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
