; Candidate 4384
; ADRP+ADD at VM 0xfffffff0087ab7a8 (fileoff 0x17a77a8): page=0x1fe986000 add_imm=0xd90

0xfffffff0087ab728: 8b011633  bfi	w11, w12, #0xa, #1
0xfffffff0087ab72c: 0b2d00b9  str	w11, [x8, #0x2c]
0xfffffff0087ab730: 4a595e39  ldrb	w10, [x10, #0x796]
0xfffffff0087ab734: 6b791412  and	w11, w11, #0xfffff7ff
0xfffffff0087ab738: 6a2d0a2a  orr	w10, w11, w10, lsl #11
0xfffffff0087ab73c: 0a2d00b9  str	w10, [x8, #0x2c]
0xfffffff0087ab740: 2b3d40b9  ldr	w11, [x9, #0x3c]
0xfffffff0087ab744: 6a0d1133  bfi	w10, w11, #0xf, #4
0xfffffff0087ab748: 0a2d00b9  str	w10, [x8, #0x2c]
0xfffffff0087ab74c: 2b3940b9  ldr	w11, [x9, #0x38]
0xfffffff0087ab750: 6a0d0d33  bfi	w10, w11, #0x13, #4
0xfffffff0087ab754: 0a2d00b9  str	w10, [x8, #0x2c]
0xfffffff0087ab758: 291d40b9  ldr	w9, [x9, #0x1c]
0xfffffff0087ab75c: 2a050833  bfi	w10, w9, #0x18, #2
0xfffffff0087ab760: 0a2d00b9  str	w10, [x8, #0x2c]
0xfffffff0087ab764: 00008052  mov	w0, #0
0xfffffff0087ab768: c0035fd6  ret	
0xfffffff0087ab76c: 5f2403d5  bti	c
0xfffffff0087ab770: e2000034  cbz	w2, #0xfffffff0087ab78c
0xfffffff0087ab774: 5f000071  cmp	w2, #0
0xfffffff0087ab778: 48a4821a  cinc	w8, w2, lt
0xfffffff0087ab77c: 087d0113  asr	w8, w8, #1
0xfffffff0087ab780: 0839010b  add	w8, w8, w1, lsl #14
0xfffffff0087ab784: 000dc21a  sdiv	w0, w8, w2
0xfffffff0087ab788: c0035fd6  ret	
0xfffffff0087ab78c: 7f2303d5  pacibsp	
0xfffffff0087ab790: ff8300d1  sub	sp, sp, #0x20
0xfffffff0087ab794: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0087ab798: fd430091  add	x29, sp, #0x10
0xfffffff0087ab79c: 884dffd0  adrp	x8, #0xfffffff00715d000
0xfffffff0087ab7a0: 082d1f91  add	x8, x8, #0x7cb
0xfffffff0087ab7a4: e87f00a9  stp	x8, xzr, [sp]
0xfffffff0087ab7a8: 204cffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087ab7ac: 00403691  add	x0, x0, #0xd90
0xfffffff0087ab7b0: 8192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087ab7b4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087ab7b8: e34cfff0  adrp	x3, #0xfffffff00714a000
0xfffffff0087ab7bc: 63f43b91  add	x3, x3, #0xefd
0xfffffff0087ab7c0: 5c1eee97  bl	#0xfffffff008333130
0xfffffff0087ab7c4: 00008012  mov	w0, #-1
0xfffffff0087ab7c8: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0087ab7cc: ff830091  add	sp, sp, #0x20
0xfffffff0087ab7d0: ff2303d5  autibsp	
0xfffffff0087ab7d4: c0035fd6  ret	
0xfffffff0087ab7d8: 5f2403d5  bti	c
0xfffffff0087ab7dc: e2010034  cbz	w2, #0xfffffff0087ab818
0xfffffff0087ab7e0: 687c021b  mul	w8, w3, w2
0xfffffff0087ab7e4: 0839014b  sub	w8, w8, w1, lsl #14
0xfffffff0087ab7e8: 2900024b  sub	w9, w1, w2
0xfffffff0087ab7ec: 29491353  lsl	w9, w9, #0xd
0xfffffff0087ab7f0: 5f000071  cmp	w2, #0
0xfffffff0087ab7f4: 4aa4821a  cinc	w10, w2, lt
0xfffffff0087ab7f8: 29058a0b  add	w9, w9, w10, asr #1
0xfffffff0087ab7fc: 290dc21a  sdiv	w9, w9, w2
0xfffffff0087ab800: 1f010071  cmp	w8, #0
0xfffffff0087ab804: 08a5881a  cinc	w8, w8, lt
0xfffffff0087ab808: 2805484b  sub	w8, w9, w8, lsr #1
0xfffffff0087ab80c: 08010211  add	w8, w8, #0x80
0xfffffff0087ab810: 00350012  and	w0, w8, #0x3fff
0xfffffff0087ab814: c0035fd6  ret	
0xfffffff0087ab818: 7f2303d5  pacibsp	
0xfffffff0087ab81c: ff8300d1  sub	sp, sp, #0x20
0xfffffff0087ab820: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0087ab824: fd430091  add	x29, sp, #0x10
