; Candidate 3054
; ADRP+ADD at VM 0xfffffff00870f7d4 (fileoff 0x170b7d4): page=0x1fea22000 add_imm=0xd90

0xfffffff00870f754: 0082803c  stur	q0, [x16, #8]
0xfffffff00870f758: 010e00fd  str	d1, [x16, #0x18]
0xfffffff00870f75c: 082a0429  stp	w8, w10, [x16, #0x20]
0xfffffff00870f760: 0c260529  stp	w12, w9, [x16, #0x28]
0xfffffff00870f764: 0e3200b9  str	w14, [x16, #0x30]
0xfffffff00870f768: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff00870f76c: 0042833c  stur	q0, [x16, #0x34]
0xfffffff00870f770: 0042843c  stur	q0, [x16, #0x44]
0xfffffff00870f774: 0042853c  stur	q0, [x16, #0x54]
0xfffffff00870f778: 0042863c  stur	q0, [x16, #0x64]
0xfffffff00870f77c: 1f7600b9  str	wzr, [x16, #0x74]
0xfffffff00870f780: 700240f9  ldr	x16, [x19]
0xfffffff00870f784: f10313aa  mov	x17, x19
0xfffffff00870f788: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff00870f78c: 301ac1da  autda	x16, x17
0xfffffff00870f790: 080e46f8  ldr	x8, [x16, #0x60]!
0xfffffff00870f794: e90310aa  mov	x9, x16
0xfffffff00870f798: e00313aa  mov	x0, x19
0xfffffff00870f79c: a1028052  mov	w1, #0x15
0xfffffff00870f7a0: 020080d2  mov	x2, #0
0xfffffff00870f7a4: f10309aa  mov	x17, x9
0xfffffff00870f7a8: 1174f2f2  movk	x17, #0x93a0, lsl #48
0xfffffff00870f7ac: 11093fd7  blraa	x8, x17
0xfffffff00870f7b0: 55020034  cbz	w21, #0xfffffff00870f7f8
0xfffffff00870f7b4: 688245f9  ldr	x8, [x19, #0xb00]
0xfffffff00870f7b8: 014141b9  ldr	w1, [x8, #0x140]
0xfffffff00870f7bc: 006d40f9  ldr	x0, [x8, #0xd8]
0xfffffff00870f7c0: 49e50094  bl	#0xfffffff008748ce4
0xfffffff00870f7c4: 20020034  cbz	w0, #0xfffffff00870f808
0xfffffff00870f7c8: 0852ffd0  adrp	x8, #0xfffffff007151000
0xfffffff00870f7cc: 08491591  add	x8, x8, #0x552
0xfffffff00870f7d0: e80300a9  stp	x8, x0, [sp]
0xfffffff00870f7d4: 0051ffd0  adrp	x0, #0xfffffff007131000
0xfffffff00870f7d8: 00403691  add	x0, x0, #0xd90
0xfffffff00870f7dc: 6197ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00870f7e0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00870f7e4: 02008052  mov	w2, #0
0xfffffff00870f7e8: 4351ff90  adrp	x3, #0xfffffff007137000
0xfffffff00870f7ec: 63ac2891  add	x3, x3, #0xa2b
0xfffffff00870f7f0: 508ef097  bl	#0xfffffff008333130
0xfffffff00870f7f4: 05000014  b	#0xfffffff00870f808
0xfffffff00870f7f8: 68d251f9  ldr	x8, [x19, #0x23a0]
0xfffffff00870f7fc: 69824cb9  ldr	w9, [x19, #0xc80]
0xfffffff00870f800: 087969b8  ldr	w8, [x8, x9, lsl #2]
0xfffffff00870f804: c8030035  cbnz	w8, #0xfffffff00870f87c
0xfffffff00870f808: 601a45f9  ldr	x0, [x19, #0xa30]
0xfffffff00870f80c: 100040f9  ldr	x16, [x0]
0xfffffff00870f810: f10300aa  mov	x17, x0
0xfffffff00870f814: f136f8f2  movk	x17, #0xc1b7, lsl #48
0xfffffff00870f818: 301ac1da  autda	x16, x17
0xfffffff00870f81c: 088e48f8  ldr	x8, [x16, #0x88]!
0xfffffff00870f820: e90310aa  mov	x9, x16
0xfffffff00870f824: f10309aa  mov	x17, x9
0xfffffff00870f828: 91a4f1f2  movk	x17, #0x8d24, lsl #48
0xfffffff00870f82c: 11093fd7  blraa	x8, x17
0xfffffff00870f830: 68d251f9  ldr	x8, [x19, #0x23a0]
0xfffffff00870f834: 69824cb9  ldr	w9, [x19, #0xc80]
0xfffffff00870f838: 1f7929b8  str	wzr, [x8, x9, lsl #2]
0xfffffff00870f83c: 601a45f9  ldr	x0, [x19, #0xa30]
0xfffffff00870f840: 100040f9  ldr	x16, [x0]
0xfffffff00870f844: f10300aa  mov	x17, x0
0xfffffff00870f848: f136f8f2  movk	x17, #0xc1b7, lsl #48
0xfffffff00870f84c: 301ac1da  autda	x16, x17
0xfffffff00870f850: 080e48f8  ldr	x8, [x16, #0x80]!
