; Candidate 12309
; ADRP+ADD at VM 0xfffffff0090878b0 (fileoff 0x20838b0): page=0x1fe3d2000 add_imm=0xe24

0xfffffff009087830: 00800e91  add	x0, x0, #0x3a0
0xfffffff009087834: fb3dcb97  bl	#0xfffffff008357020
0xfffffff009087838: 68aa42f9  ldr	x8, [x19, #0x550]
0xfffffff00908783c: 694a45b9  ldr	w9, [x19, #0x548]
0xfffffff009087840: 0901098b  add	x9, x8, x9
0xfffffff009087844: 8a1efff0  adrp	x10, #0xfffffff00745a000
0xfffffff009087848: 4a9d2191  add	x10, x10, #0x867
0xfffffff00908784c: 06000014  b	#0xfffffff009087864
0xfffffff009087850: 090080d2  mov	x9, #0
0xfffffff009087854: 080080d2  mov	x8, #0
0xfffffff009087858: 7faa02f9  str	xzr, [x19, #0x550]
0xfffffff00908785c: 8a1efff0  adrp	x10, #0xfffffff00745a000
0xfffffff009087860: 4a891691  add	x10, x10, #0x5a2
0xfffffff009087864: 69ae02f9  str	x9, [x19, #0x558]
0xfffffff009087868: ab024039  ldrb	w11, [x21]
0xfffffff00908786c: 7fa10071  cmp	w11, #0x28
0xfffffff009087870: 68020054  b.hi	#0xfffffff0090878bc
0xfffffff009087874: ea5b02a9  stp	x10, x22, [sp, #0x20]
0xfffffff009087878: b31eff90  adrp	x19, #0xfffffff00745b000
0xfffffff00908787c: 73120991  add	x19, x19, #0x244
0xfffffff009087880: 941effd0  adrp	x20, #0xfffffff007459000
0xfffffff009087884: 942e3f91  add	x20, x20, #0xfcb
0xfffffff009087888: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff00908788c: f44f00a9  stp	x20, x19, [sp]
0xfffffff009087890: a01eff90  adrp	x0, #0xfffffff00745b000
0xfffffff009087894: 005c0f91  add	x0, x0, #0x3d7
0xfffffff009087898: e23dcb97  bl	#0xfffffff008357020
0xfffffff00908789c: a8024039  ldrb	w8, [x21]
0xfffffff0090878a0: 1f290071  cmp	w8, #0xa
0xfffffff0090878a4: c8000054  b.hi	#0xfffffff0090878bc
0xfffffff0090878a8: f3ff00a9  stp	x19, xzr, [sp, #8]
0xfffffff0090878ac: f40300f9  str	x20, [sp]
0xfffffff0090878b0: 801effd0  adrp	x0, #0xfffffff007459000
0xfffffff0090878b4: 00903891  add	x0, x0, #0xe24
0xfffffff0090878b8: da3dcb97  bl	#0xfffffff008357020
0xfffffff0090878bc: 00008052  mov	w0, #0
0xfffffff0090878c0: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff0090878c4: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff0090878c8: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff0090878cc: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff0090878d0: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff0090878d4: fc6f45a9  ldp	x28, x27, [sp, #0x50]
0xfffffff0090878d8: ffc30291  add	sp, sp, #0xb0
0xfffffff0090878dc: ff0f5fd6  retab	
0xfffffff0090878e0: 080080d2  mov	x8, #0
0xfffffff0090878e4: 697a45b9  ldr	w9, [x19, #0x578]
0xfffffff0090878e8: 3f010071  cmp	w9, #0
0xfffffff0090878ec: e9179f1a  cset	w9, eq
0xfffffff0090878f0: 69861539  strb	w9, [x19, #0x561]
0xfffffff0090878f4: 6affff17  b	#0xfffffff00908769c
0xfffffff0090878f8: 7f2303d5  pacibsp	
0xfffffff0090878fc: ff0302d1  sub	sp, sp, #0x80
0xfffffff009087900: fa6703a9  stp	x26, x25, [sp, #0x30]
0xfffffff009087904: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff009087908: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff00908790c: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff009087910: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff009087914: fdc30191  add	x29, sp, #0x70
0xfffffff009087918: f30300aa  mov	x19, x0
0xfffffff00908791c: 579400d0  adrp	x23, #0xfffffff00a311000
0xfffffff009087920: f7a20391  add	x23, x23, #0xe8
0xfffffff009087924: e8024039  ldrb	w8, [x23]
0xfffffff009087928: b51eff90  adrp	x21, #0xfffffff00745b000
0xfffffff00908792c: b5421091  add	x21, x21, #0x410
