; Candidate 16408
; ADRP+ADD at VM 0xfffffff009e953e8 (fileoff 0x2e913e8): page=0x1fd9b6000 add_imm=0xdbf

0xfffffff009e95368: e40309aa  mov	x4, x9
0xfffffff009e9536c: 0c0c0394  bl	#0xfffffff009f5839c
0xfffffff009e95370: 081b41b9  ldr	w8, [x24, #0x118]
0xfffffff009e95374: a8010034  cbz	w8, #0xfffffff009e953a8
0xfffffff009e95378: 080740f9  ldr	x8, [x24, #8]
0xfffffff009e9537c: fb2301a9  stp	x27, x8, [sp, #0x10]
0xfffffff009e95380: a94f8252  mov	w9, #0x127d
0xfffffff009e95384: 48cdfe90  adrp	x8, #0xfffffff00783d000
0xfffffff009e95388: 08a10491  add	x8, x8, #0x128
0xfffffff009e9538c: e82700a9  stp	x8, x9, [sp]
0xfffffff009e95390: 40cdfe90  adrp	x0, #0xfffffff00783d000
0xfffffff009e95394: 00f80891  add	x0, x0, #0x23e
0xfffffff009e95398: 2aa9ff97  bl	#0xfffffff009e7f840
0xfffffff009e9539c: e00314aa  mov	x0, x20
0xfffffff009e953a0: e10318aa  mov	x1, x24
0xfffffff009e953a4: d1e6ff97  bl	#0xfffffff009e8eee8
0xfffffff009e953a8: 084f40f9  ldr	x8, [x24, #0x98]
0xfffffff009e953ac: 08017cb2  orr	x8, x8, #0x10
0xfffffff009e953b0: 084f00f9  str	x8, [x24, #0x98]
0xfffffff009e953b4: e00314aa  mov	x0, x20
0xfffffff009e953b8: e10318aa  mov	x1, x24
0xfffffff009e953bc: 22008052  mov	w2, #1
0xfffffff009e953c0: e30319aa  mov	x3, x25
0xfffffff009e953c4: 0a720194  bl	#0xfffffff009ef1bec
0xfffffff009e953c8: 60010034  cbz	w0, #0xfffffff009e953f4
0xfffffff009e953cc: 080740f9  ldr	x8, [x24, #8]
0xfffffff009e953d0: e88301a9  stp	x8, x0, [sp, #0x18]
0xfffffff009e953d4: 88508252  mov	w8, #0x1284
0xfffffff009e953d8: e8ef00a9  stp	x8, x27, [sp, #8]
0xfffffff009e953dc: 48cdfe90  adrp	x8, #0xfffffff00783d000
0xfffffff009e953e0: 08a10491  add	x8, x8, #0x128
0xfffffff009e953e4: e80300f9  str	x8, [sp]
0xfffffff009e953e8: a0cdfed0  adrp	x0, #0xfffffff00784b000
0xfffffff009e953ec: 00fc3691  add	x0, x0, #0xdbf
0xfffffff009e953f0: 35a9ff97  bl	#0xfffffff009e7f8c4
0xfffffff009e953f4: 19008052  mov	w25, #0
0xfffffff009e953f8: 0c000014  b	#0xfffffff009e95428
0xfffffff009e953fc: e90319aa  mov	x9, x25
0xfffffff009e95400: 19008052  mov	w25, #0
0xfffffff009e95404: 084f40f9  ldr	x8, [x24, #0x98]
0xfffffff009e95408: 08f95492  and	x8, x8, #0xfffff7ffffffffff
0xfffffff009e9540c: 08017db2  orr	x8, x8, #8
0xfffffff009e95410: 084f00f9  str	x8, [x24, #0x98]
0xfffffff009e95414: e00314aa  mov	x0, x20
0xfffffff009e95418: e10318aa  mov	x1, x24
0xfffffff009e9541c: e20315aa  mov	x2, x21
0xfffffff009e95420: e30309aa  mov	x3, x9
0xfffffff009e95424: 17710194  bl	#0xfffffff009ef1880
0xfffffff009e95428: 08774239  ldrb	w8, [x24, #0x9d]
0xfffffff009e9542c: 48011036  tbz	w8, #2, #0xfffffff009e95454
0xfffffff009e95430: 806a40f9  ldr	x0, [x20, #0xd0]
0xfffffff009e95434: 610a40f9  ldr	x1, [x19, #0x10]
0xfffffff009e95438: 020080d2  mov	x2, #0
0xfffffff009e9543c: 03008092  mov	x3, #-1
0xfffffff009e95440: 04008052  mov	w4, #0
0xfffffff009e95444: 25ee0294  bl	#0xfffffff009f50cd8
0xfffffff009e95448: 084f40f9  ldr	x8, [x24, #0x98]
0xfffffff009e9544c: 08f95592  and	x8, x8, #0xfffffbffffffffff
0xfffffff009e95450: 084f00f9  str	x8, [x24, #0x98]
0xfffffff009e95454: e00316aa  mov	x0, x22
0xfffffff009e95458: 6ce38197  bl	#0xfffffff007f0e208
0xfffffff009e9545c: 82130091  add	x2, x28, #4
0xfffffff009e95460: e00314aa  mov	x0, x20
0xfffffff009e95464: 41008052  mov	w1, #2
