; Candidate 7344
; ADRP+ADD at VM 0xfffffff008868edc (fileoff 0x1864edc): page=0x1fe981000 add_imm=0xe80

0xfffffff008868e5c: 404dffd0  adrp	x0, #0xfffffff007212000
0xfffffff008868e60: 00d41a91  add	x0, x0, #0x6b5
0xfffffff008868e64: f52300a9  stp	x21, x8, [sp]
0xfffffff008868e68: 7e39d597  bl	#0xfffffff007db7460
0xfffffff008868e6c: b40400b4  cbz	x20, #0xfffffff008868f00
0xfffffff008868e70: 60e20391  add	x0, x19, #0xf8
0xfffffff008868e74: e10314aa  mov	x1, x20
0xfffffff008868e78: 8048fe97  bl	#0xfffffff0087fb078
0xfffffff008868e7c: e00313aa  mov	x0, x19
0xfffffff008868e80: e10314aa  mov	x1, x20
0xfffffff008868e84: 22008052  mov	w2, #1
0xfffffff008868e88: 91000094  bl	#0xfffffff0088690cc
0xfffffff008868e8c: e00313aa  mov	x0, x19
0xfffffff008868e90: e10314aa  mov	x1, x20
0xfffffff008868e94: 02008052  mov	w2, #0
0xfffffff008868e98: 8d000094  bl	#0xfffffff0088690cc
0xfffffff008868e9c: 15008052  mov	w21, #0
0xfffffff008868ea0: 51000014  b	#0xfffffff008868fe4
0xfffffff008868ea4: c22c0194  bl	#0xfffffff0088b41ac
0xfffffff008868ea8: f50300aa  mov	x21, x0
0xfffffff008868eac: c0008052  mov	w0, #6
0xfffffff008868eb0: 684a0094  bl	#0xfffffff00887b850
0xfffffff008868eb4: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff008868eb8: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff008868ebc: 084effb0  adrp	x8, #0xfffffff007229000
0xfffffff008868ec0: 08a12691  add	x8, x8, #0x9a8
0xfffffff008868ec4: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008868ec8: e84dfff0  adrp	x8, #0xfffffff007227000
0xfffffff008868ecc: 08811191  add	x8, x8, #0x460
0xfffffff008868ed0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008868ed4: 680c8052  mov	w8, #0x63
0xfffffff008868ed8: f52300a9  stp	x21, x8, [sp]
0xfffffff008868edc: 004cffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008868ee0: 00003a91  add	x0, x0, #0xe80
0xfffffff008868ee4: 018dff90  adrp	x1, #0xfffffff007a08000
0xfffffff008868ee8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008868eec: 634ffff0  adrp	x3, #0xfffffff007257000
0xfffffff008868ef0: 63d01b91  add	x3, x3, #0x6f4
0xfffffff008868ef4: 02008052  mov	w2, #0
0xfffffff008868ef8: 8e28eb97  bl	#0xfffffff008333130
0xfffffff008868efc: b4fbffb5  cbnz	x20, #0xfffffff008868e70
0xfffffff008868f00: 600c8052  mov	w0, #0x63
0xfffffff008868f04: 81008052  mov	w1, #4
0xfffffff008868f08: 324a0094  bl	#0xfffffff00887b7d0
0xfffffff008868f0c: a0060034  cbz	w0, #0xfffffff008868fe0
0xfffffff008868f10: 600c8052  mov	w0, #0x63
0xfffffff008868f14: 414a0094  bl	#0xfffffff00887b818
0xfffffff008868f18: f60300aa  mov	x22, x0
0xfffffff008868f1c: a42c0194  bl	#0xfffffff0088b41ac
0xfffffff008868f20: f50300aa  mov	x21, x0
0xfffffff008868f24: 80008052  mov	w0, #4
0xfffffff008868f28: 4a4a0094  bl	#0xfffffff00887b850
0xfffffff008868f2c: 76020034  cbz	w22, #0xfffffff008868f78
0xfffffff008868f30: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff008868f34: 694dffb0  adrp	x9, #0xfffffff007215000
0xfffffff008868f38: 29691591  add	x9, x9, #0x55a
0xfffffff008868f3c: e87f04a9  stp	x8, xzr, [sp, #0x40]
0xfffffff008868f40: e94f03a9  stp	x9, x19, [sp, #0x30]
0xfffffff008868f44: 28bb8052  mov	w8, #0x5d9
0xfffffff008868f48: 094effb0  adrp	x9, #0xfffffff007229000
0xfffffff008868f4c: 29a12691  add	x9, x9, #0x9a8
0xfffffff008868f50: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008868f54: e84dfff0  adrp	x8, #0xfffffff007227000
0xfffffff008868f58: 08811191  add	x8, x8, #0x460
