# Thread/Task Symbol Analysis

## vtable for _IOConfigThread

VM Address: 0xfffffff00792e080
File Offset: 0x-eff6d1f80

## vtable for _IOConfigThread::MetaClass

VM Address: 0xfffffff00792e110
File Offset: 0x-eff6d1ef0

## vtable for IOGPUTask

VM Address: 0xfffffff007c61af0
File Offset: 0x-eff39e510

## vtable for IOGPUTask::MetaClass

VM Address: 0xfffffff007c61bb0
File Offset: 0x-eff39e450

## vtable for SCSITask

VM Address: 0xfffffff007ca5800
File Offset: 0x-eff35a800

## vtable for SCSITask::MetaClass

VM Address: 0xfffffff007ca5890
File Offset: 0x-eff35a770

## task_dyld_process_info_notify_get_trap

VM Address: 0xfffffff007d860e8
File Offset: 0x-eff279f18

## task_self_trap

VM Address: 0xfffffff007d9fd88
File Offset: 0x-eff260278

## thread_self_trap

VM Address: 0xfffffff007da0000
File Offset: 0x-eff260000

## thread_get_special_reply_port_trap

VM Address: 0xfffffff007da01c8
File Offset: 0x-eff25fe38

## semaphore_signal_thread_trap

VM Address: 0xfffffff007dd1a44
File Offset: 0x-eff22e5bc

## thread_switch_trap

VM Address: 0xfffffff007dd3058
File Offset: 0x-eff22cfa8

## _Xthread_wire

VM Address: 0xfffffff007e11d3c
File Offset: 0x-eff1ee2c4

## _Xtask_set_port_space

VM Address: 0xfffffff007e14db8
File Offset: 0x-eff1eb248

## _Xtask_restartable_ranges_synchronize

VM Address: 0xfffffff007e182ec
File Offset: 0x-eff1e7d14

## _Xtask_restartable_ranges_register

VM Address: 0xfffffff007e18390
File Offset: 0x-eff1e7c70

## task_restartable_server_routine

VM Address: 0xfffffff007e18470
File Offset: 0x-eff1e7b90

## _Xprocessor_set_tasks_with_flavor

VM Address: 0xfffffff007e1e5f0
File Offset: 0x-eff1e1a10

## _Xprocessor_set_threads

VM Address: 0xfffffff007e1e8d0
File Offset: 0x-eff1e1730

## _Xprocessor_set_tasks

VM Address: 0xfffffff007e1e934
File Offset: 0x-eff1e16cc

## _Xtask_map_kcdata_object_64

VM Address: 0xfffffff007e1ebc8
File Offset: 0x-eff1e1438

## _Xtask_test_async_upcall_propagation

VM Address: 0xfffffff007e1ecec
File Offset: 0x-eff1e1314

## _Xtask_set_corpse_forking_behavior

VM Address: 0xfffffff007e1edb0
File Offset: 0x-eff1e1250

## _Xtask_test_sync_upcall
