# plist (62 files)

     2.8 MiB  BuildManifest.plist
     5.2 KiB  Restore.plist
     2.4 KiB  Firmware/ICE18-6.00.00.Release.plist
     1.7 KiB  Firmware/ICE19-5.00.00.Release.plist
     1.2 KiB  Firmware/vinyl_05.plist
     1.0 KiB  Firmware/Yonkers/Yonkers.1A01_2A01_2201_3201_Dev.fw.plist
     1.0 KiB  Firmware/Yonkers/Yonkers.1A01_2A01_2201_3201_Prod.fw.plist
       622 B  Firmware/Yonkers/Yonkers.EA01_F201_Dev.fw.plist
       620 B  Firmware/Yonkers/Yonkers.EA01_F201_Prod.fw.plist
       491 B  SystemVersion.plist
       474 B  Firmware/all_flash/sep-firmware.j317.RELEASE.im4p.plist
       474 B  Firmware/all_flash/sep-firmware.j317x.RELEASE.im4p.plist
       474 B  Firmware/all_flash/sep-firmware.j318.RELEASE.im4p.plist
       474 B  Firmware/all_flash/sep-firmware.j318x.RELEASE.im4p.plist
       474 B  Firmware/all_flash/sep-firmware.j320.RELEASE.im4p.plist
       474 B  Firmware/all_flash/sep-firmware.j320x.RELEASE.im4p.plist
       474 B  Firmware/all_flash/sep-firmware.j321.RELEASE.im4p.plist
       474 B  Firmware/all_flash/sep-firmware.j321x.RELEASE.im4p.plist
       474 B  Firmware/all_flash/sep-firmware.j417.RELEASE.im4p.plist
       474 B  Firmware/all_flash/sep-firmware.j418.RELEASE.im4p.plist
       474 B  Firmware/all_flash/sep-firmware.j420.RELEASE.im4p.plist
       474 B  Firmware/all_flash/sep-firmware.j421.RELEASE.im4p.plist
       358 B  RestoreVersion.plist
       331 B  Firmware/all_flash/LLB.j317.RELEASE.im4p.plist
       331 B  Firmware/all_flash/LLB.j317x.RELEASE.im4p.plist
       331 B  Firmware/all_flash/LLB.j320.RELEASE.im4p.plist
       331 B  Firmware/all_flash/LLB.j320x.RELEASE.im4p.plist
       331 B  Firmware/all_flash/LLB.j417.RELEASE.im4p.plist
       331 B  Firmware/all_flash/LLB.j420.RELEASE.im4p.plist
       331 B  Firmware/all_flash/iBoot.j317.RELEASE.im4p.plist
       331 B  Firmware/all_flash/iBoot.j317x.RELEASE.im4p.plist
       331 B  Firmware/all_flash/iBoot.j320.RELEASE.im4p.plist
       331 B  Firmware/all_flash/iBoot.j320x.RELEASE.im4p.plist
       331 B  Firmware/all_flash/iBoot.j417.RELEASE.im4p.plist
       331 B  Firmware/all_flash/iBoot.j420.RELEASE.im4p.plist
       331 B  Firmware/dfu/iBEC.j317.RELEASE.im4p.plist
       331 B  Firmware/dfu/iBEC.j317x.RELEASE.im4p.plist
       331 B  Firmware/dfu/iBEC.j320.RELEASE.im4p.plist
       331 B  Firmware/dfu/iBEC.j320x.RELEASE.im4p.plist
       331 B  Firmware/dfu/iBEC.j417.RELEASE.im4p.plist
       331 B  Firmware/dfu/iBEC.j420.RELEASE.im4p.plist
       331 B  Firmware/dfu/iBSS.j317.RELEASE.im4p.plist
       331 B  Firmware/dfu/iBSS.j317x.RELEASE.im4p.plist
       331 B  Firmware/dfu/iBSS.j320.RELEASE.im4p.plist
       331 B  Firmware/dfu/iBSS.j320x.RELEASE.im4p.plist
       331 B  Firmware/dfu/iBSS.j417.RELEASE.im4p.plist
       331 B  Firmware/dfu/iBSS.j420.RELEASE.im4p.plist
       326 B  Firmware/Savage/Savage.B0-Prod.vt.fw.plist
       326 B  Firmware/Savage/Savage.B2-Prod.vt.fw.plist
       325 B  Firmware/Savage/Savage.B2-Dev.vt.fw.plist
       324 B  Firmware/Savage/Savage.B0-Prod.fw.plist
       324 B  Firmware/Savage/Savage.B2-Prod.fw.plist
       324 B  Firmware/Savage/Savage.BA-Prod.fw.plist
       324 B  Firmware/Savage/Savage.BE-Prod.fw.plist
       324 B  Firmware/Savage/Savage.BF-Prod.fw.plist
       323 B  Firmware/Savage/Savage.B0-Dev.fw.plist
       323 B  Firmware/Savage/Savage.B2-Dev.fw.plist
       323 B  Firmware/Savage/Savage.BA-Dev.fw.plist
       323 B  Firmware/Savage/Savage.BE-Dev.fw.plist
       323 B  Firmware/Savage/Savage.BF-Dev.fw.plist
       319 B  Firmware/Savage/Savage.B0-Dev.vt.fw.plist
       205 B  Firmware/SE/Stockholm5.RELEASE.sefw.plist
